count,source_column,raw_value,normalized_value,destination,category,confidence,note
61,Host Disease,Respiratory disease,respiratory disease,Host_Health_State_SD,diseased,medium,health state
59,Environment Medium,blood [ENVO:02000020],blood envo 02000020,Sample_Type_SD,blood,high,clinical material
57,Isolation Source,pig fecal swab,pig fecal swab,Sample_Type_SD,feces/stool,high,fecal material
57,Environment (Local Scale),Soil,soil,Environment_Medium_SD,soil,high,environmental medium
55,Environment Medium,sputum,sputum,Sample_Type_SD,sputum,high,respiratory material
54,Isolation Source,diseased pig,diseased pig,Host_Health_State_SD,diseased,medium,health state
54,Environment Medium,Fecal sample,fecal sample,Sample_Type_SD,feces/stool,high,fecal material
53,Host Disease,Parkinson Disease,parkinson disease,Host_Health_State_SD,diseased,medium,health state
53,Host Disease,Gastric disease,gastric disease,Host_Health_State_SD,diseased,medium,health state
52,Isolation Source,fecal sample from patient with Hemolytic Uremic Syndrome,fecal sample from patient with hemolytic uremic syndrome,Sample_Type_SD,feces/stool,high,fecal material
50,Environment (Local Scale),sea water,seawater,Environment_Medium_SD,seawater,high,water type
50,Isolation Source,10 mM sulfoquinovose-amended vegetarian human fecal microcosm,10 mm sulfoquinovose amended vegetarian human fecal microcosm,Sample_Type_SD,feces/stool,high,fecal material
50,Environment Medium,Fecal slurry in 10 mM bicarbonate buffer,fecal slurry in 10 mm bicarbonate buffer,Sample_Type_SD,feces/stool,high,fecal material
49,Isolation Source,human fecal sample,human fecal sample,Sample_Type_SD,feces/stool,high,fecal material
48,Isolation Source,feedlot cattle feces,feedlot cattle feces,Sample_Type_SD,feces/stool,high,fecal material
48,Isolation Source,Pooled sheep fecal samples collected from floor of farm,pooled sheep fecal samples collected from floor of farm,Sample_Type_SD,feces/stool,high,fecal material
46,Isolation Source,"Human, Faeces",human faeces,Sample_Type_SD,feces/stool,high,fecal material
46,Isolation Source,Blood sample from septic human participant,blood sample from septic human participant,Sample_Type_SD,blood,high,clinical material
45,Isolation Source,mucosal tissue from Crohns disease patient,mucosal tissue from crohns disease patient,Host_Health_State_SD,diseased,medium,health state
44,Isolation Source,feral swine feces,feral swine feces,Sample_Type_SD,feces/stool,high,fecal material
44,Environment Medium,Sputum,sputum,Sample_Type_SD,sputum,high,respiratory material
44,Environment (Local Scale),rice paddy soil,rice paddy soil,Environment_Medium_SD,soil,high,environmental medium
42,Environment (Local Scale),Deep nasal swab,deep nasal swab,Sample_Type_SD,nasal swab,high,upper respiratory swab
41,Isolation Source,human blood culture,human blood culture,Sample_Type_SD,blood,high,clinical material
40,Isolation Source,"Fattening pig, feces",fattening pig feces,Sample_Type_SD,feces/stool,high,fecal material
40,Environment (Local Scale),Soil NFGNB,soil nfgnb,Environment_Medium_SD,soil,high,environmental medium
40,Environment (Local Scale),biofilm [ENVO_00002034],biofilm envo 00002034,Environment_Medium_SD,biofilm,high,environmental medium
39,Isolation Source,Healthy dairy cow (Bos taurus),healthy dairy cow,Host_Health_State_SD,healthy/no disease reported,medium,health state
39,Isolation Source,dairy cow feces,dairy cow feces,Sample_Type_SD,feces/stool,high,fecal material
38,Isolation Source,feces (cloacal swab/caeca) from domestic chicken,feces from domestic chicken,Sample_Type_SD,feces/stool,high,fecal material
37,Isolation Source,Animal-Swine-Feces,animal swine feces,Sample_Type_SD,feces/stool,high,fecal material
37,Host Disease,Lung disease,lung disease,Host_Health_State_SD,diseased,medium,health state
36,Isolation Source,sheep feces,sheep feces,Sample_Type_SD,feces/stool,high,fecal material
36,Isolation Source,Human fecal samples,human fecal samples,Sample_Type_SD,feces/stool,high,fecal material
36,Environment (Local Scale),intertidal sediment,intertidal sediment,Environment_Medium_SD,sediment,high,environmental medium
35,Isolation Source,"cattle feces, cows",cattle feces cows,Sample_Type_SD,feces/stool,high,fecal material
35,Isolation Source,Cow Feces,cow feces,Sample_Type_SD,feces/stool,high,fecal material
35,Isolation Source,sputum of adult cystic fibrosis patient,sputum of adult cystic fibrosis patient,Sample_Type_SD,sputum,high,respiratory material
35,Environment (Broad Scale),biofilm metagenome,biofilm metagenome,Environment_Medium_SD,biofilm,high,environmental medium
32,Isolation Source,Poultry faeces,poultry faeces,Sample_Type_SD,feces/stool,high,fecal material
32,Isolation Site,Fecal sample,fecal sample,Sample_Type_SD,feces/stool,high,fecal material
32,Environment (Local Scale),landfill soil,landfill soil,Environment_Medium_SD,soil,high,environmental medium
32,Host Disease,invasive disease,invasive disease,Host_Health_State_SD,diseased,medium,health state
32,Environment (Local Scale),Seawater biome,seawater biome,Environment_Medium_SD,seawater,high,water type
31,Isolation Source,feces pig,feces pig,Sample_Type_SD,feces/stool,high,fecal material
30,Isolation Source,chicken stool,chicken stool,Sample_Type_SD,feces/stool,high,fecal material
30,Isolation Source,human stool samples,human stool samples,Sample_Type_SD,feces/stool,high,fecal material
30,Isolation Source,sputum from cystic fibrosis patient,sputum from cystic fibrosis patient,Sample_Type_SD,sputum,high,respiratory material
30,Host Disease,alcoholic liver disease,alcoholic liver disease,Host_Health_State_SD,diseased,medium,health state
29,Isolation Source,sputum from CF patient,sputum from cf patient,Sample_Type_SD,sputum,high,respiratory material
28,Isolation Source,Cow feces,cow feces,Sample_Type_SD,feces/stool,high,fecal material
28,Isolation Source,human feces in bioreactor,human feces in bioreactor,Sample_Type_SD,feces/stool,high,fecal material
27,Isolation Source,feces from asymptomatic of infected patient,feces from asymptomatic of infected patient,Sample_Type_SD,feces/stool,high,fecal material
27,Isolation Source,Fecal samples of broiler chickens,fecal samples of broiler chickens,Sample_Type_SD,feces/stool,high,fecal material
26,Isolation Source,Pig faeces,pig faeces,Sample_Type_SD,feces/stool,high,fecal material
26,Isolation Source,Human Blood,human blood,Sample_Type_SD,blood,high,clinical material
26,Environment (Local Scale),Sputum sample,sputum sample,Sample_Type_SD,sputum,high,respiratory material
26,Environment Medium,stool,stool,Sample_Type_SD,feces/stool,high,fecal material
26,Isolation Source,fecal sample from patient with diarrhea,fecal sample from patient with diarrhea,Sample_Type_SD,feces/stool,high,fecal material
25,Isolation Source,Human Blood culture,human blood culture,Sample_Type_SD,blood,high,clinical material
25,Isolation Source,"human, blood",human blood,Sample_Type_SD,blood,high,clinical material
25,Host Disease,Blood stream infection,blood stream infection,Sample_Type_SD,blood,high,clinical material
25,Host Disease,other (flavoring or seasoning),other,Sample_Type_SD,metadata descriptor/non-source,high,metadata/admin descriptor
25,Environment (Local Scale),near-shore sediment,near shore sediment,Environment_Medium_SD,sediment,high,environmental medium
24,Isolation Source,cow feces,cow feces,Sample_Type_SD,feces/stool,high,fecal material
24,Isolation Source,swine feces,swine feces,Sample_Type_SD,feces/stool,high,fecal material
24,Isolation Source,clinically healthy pig,clinically healthy pig,Host_Health_State_SD,healthy/no disease reported,medium,health state
24,Host Disease,mass screening,mass screening,Sample_Type_SD,surveillance sample,medium,screening/surveillance descriptor
23,Host Disease,Legionnaires disease,legionnaires disease,Host_Health_State_SD,diseased,medium,health state
23,Isolation Source,human blood monocytes,human blood monocytes,Sample_Type_SD,blood,high,clinical material
23,Environment Medium,Healthy skin,healthy skin,Host_Health_State_SD,healthy/no disease reported,medium,health state
22,Isolation Source,poultry soil,poultry soil,Environment_Medium_SD,soil,high,environmental medium
22,Isolation Source,feces market swine,feces market swine,Sample_Type_SD,feces/stool,high,fecal material
22,Isolation Source,Pig (baby) - fecal,pig fecal,Sample_Type_SD,feces/stool,high,fecal material
22,Host Disease,Peptic ulcer disease (PUD),peptic ulcer disease,Host_Health_State_SD,diseased,medium,health state
21,Isolation Source,steer feces,steer feces,Sample_Type_SD,feces/stool,high,fecal material
21,Environment (Local Scale),forestry [ENVO:01001432]|soil [ENVO:00002003],forestry envo 01001432 soil envo 00002003,Environment_Medium_SD,soil,high,environmental medium
21,Host Disease,dairy| other animal,dairy other animal,Sample_Type_SD,metadata descriptor/non-source,high,metadata/admin descriptor
21,Environment (Local Scale),marine hydrothermal sediment,marine hydrothermal sediment,Environment_Medium_SD,sediment,high,environmental medium
20,Isolation Source,pig faeces,pig faeces,Sample_Type_SD,feces/stool,high,fecal material
20,Environment (Local Scale),South China Sea sediment,south china sea sediment,Environment_Medium_SD,sediment,high,environmental medium
20,Environment (Local Scale),sludge [ENVO:00002044],sludge envo 00002044,Environment_Medium_SD,sludge,high,environmental medium
19,Isolation Source,chicken field feces,chicken field feces,Sample_Type_SD,feces/stool,high,fecal material
19,Isolation Source,"Human, Feces",human feces,Sample_Type_SD,feces/stool,high,fecal material
19,Isolation Source,"human, missing",human missing,Sample_Type_SD,metadata descriptor/non-source,high,metadata/admin descriptor
19,Environment (Local Scale),blood,blood,Sample_Type_SD,blood,high,clinical material
19,Host Disease,Celiac Disease,celiac disease,Host_Health_State_SD,diseased,medium,health state
19,Isolation Site,Soil,soil,Environment_Medium_SD,soil,high,environmental medium
19,Environment (Local Scale),marine water mass [ENVO:01000686],marine water mass envo 01000686,Environment_Medium_SD,seawater,high,water type
18,Isolation Source,"Human, Blood culture",human blood culture,Sample_Type_SD,blood,high,clinical material
18,Isolation Source,Patient Blood,patient blood,Sample_Type_SD,blood,high,clinical material
18,Isolation Source,tonsil from Healthy pig in slaughterhouse,tonsil from healthy pig in slaughterhouse,Host_Health_State_SD,healthy/no disease reported,medium,health state
18,Environment (Local Scale),surface sediment,surface sediment,Environment_Medium_SD,sediment,high,environmental medium
18,Host Disease,sour skin disease,sour skin disease,Host_Health_State_SD,diseased,medium,health state
18,Host Disease,Bovine Respiratory Disease,bovine respiratory disease,Host_Health_State_SD,diseased,medium,health state
18,Environment (Local Scale),sandy sediment [ENVO:01000118],sandy sediment envo 01000118,Environment_Medium_SD,sediment,high,environmental medium
17,Isolation Source,feces young chicken,feces young chicken,Sample_Type_SD,feces/stool,high,fecal material
17,Isolation Source,Stool from hospitalized human,stool from hospitalized human,Sample_Type_SD,feces/stool,high,fecal material
17,Environment (Local Scale),waste water,wastewater,Environment_Medium_SD,wastewater,high,environmental medium
17,Environment (Local Scale),Surface seawater,surface seawater,Environment_Medium_SD,seawater,high,water type
16,Isolation Source,feces dairy cow (Bos taurus),feces dairy cow,Sample_Type_SD,feces/stool,high,fecal material
16,Isolation Source,feces heifer,feces heifer,Sample_Type_SD,feces/stool,high,fecal material
16,Host Disease,nontuberculous mycobacterial lung disease,nontuberculous mycobacterial lung disease,Host_Health_State_SD,diseased,medium,health state
16,Host Disease,Alzheimer Disease,alzheimer disease,Host_Health_State_SD,diseased,medium,health state
16,Environment (Broad Scale),Biofilm metagenome,biofilm metagenome,Environment_Medium_SD,biofilm,high,environmental medium
16,Host Disease,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,Host_Health_State_SD,diseased,medium,health state
16,Host Disease,Bovine Respiratory Disease Complex,bovine respiratory disease complex,Host_Health_State_SD,diseased,medium,health state
16,Environment (Local Scale),sediment; water,sediment water,Environment_Medium_SD,sediment,high,environmental medium
16,Environment (Local Scale),red clay soil,red clay soil,Environment_Medium_SD,soil,high,environmental medium
15,Isolation Source,swine fecal,swine fecal,Sample_Type_SD,feces/stool,high,fecal material
15,Isolation Source,pooled poultry feces,pooled poultry feces,Sample_Type_SD,feces/stool,high,fecal material
15,Isolation Source,Human sputum sample,human sputum sample,Sample_Type_SD,sputum,high,respiratory material
15,Isolation Source,Patient sputum,patient sputum,Sample_Type_SD,sputum,high,respiratory material
15,Isolation Source,Poultry/Soil,poultry soil,Environment_Medium_SD,soil,high,environmental medium
15,Host Disease,blood stream infection,blood stream infection,Sample_Type_SD,blood,high,clinical material
15,Environment (Local Scale),anthropogenic environement [ENVO:01000313]|rhizosphere environment [ENVO:01000999],anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,Environment_Medium_SD,soil,high,environmental medium
15,Host Disease,Cerebrovascular disease hemiplegia,cerebrovascular disease hemiplegia,Host_Health_State_SD,diseased,medium,health state
15,Environment (Broad Scale),Disease in fish,disease in fish,Host_Health_State_SD,diseased,medium,health state
14,Isolation Source,Infected Human Urine,infected human urine,Sample_Type_SD,urine,high,clinical material
14,Isolation Source,"turkey, faecal samples",turkey faecal samples,Sample_Type_SD,feces/stool,high,fecal material
14,Isolation Source,sputum of child cystic fibrosis patient,sputum of child cystic fibrosis patient,Sample_Type_SD,sputum,high,respiratory material
14,Environment Medium,Fecal pellets,fecal pellets,Sample_Type_SD,feces/stool,high,fecal material
14,Host Disease,Anthrax disease,anthrax disease,Host_Health_State_SD,diseased,medium,health state
14,Isolation Site,faecal,fecal,Sample_Type_SD,feces/stool,high,fecal material
14,Environment (Local Scale),creosote-contaminated soil,creosote contaminated soil,Environment_Medium_SD,soil,high,environmental medium
14,Environment (Local Scale),landscaping soil,landscaping soil,Environment_Medium_SD,soil,high,environmental medium
13,Isolation Source,Cattle fecal sample,cattle fecal sample,Sample_Type_SD,feces/stool,high,fecal material
13,Isolation Source,feces young turkey,feces young turkey,Sample_Type_SD,feces/stool,high,fecal material
13,Isolation Source,Swine feces,swine feces,Sample_Type_SD,feces/stool,high,fecal material
13,Isolation Source,Cattle faecal sample,cattle faecal sample,Sample_Type_SD,feces/stool,high,fecal material
13,Isolation Source,blood from critically ill patient,blood from critically ill patient,Sample_Type_SD,blood,high,clinical material
13,Host Disease,Blood infection,blood infection,Sample_Type_SD,blood,high,clinical material
13,Environment (Broad Scale),Metagenome assambled genome of coral reef macroalgae biofilm,metagenome assambled genome of coral reef macroalgae biofilm,Environment_Medium_SD,biofilm,high,environmental medium
13,Environment (Local Scale),Blood,blood,Sample_Type_SD,blood,high,clinical material
13,Environment (Broad Scale),fecal sample,fecal sample,Sample_Type_SD,feces/stool,high,fecal material
13,Environment (Local Scale),healthy group,healthy group,Host_Health_State_SD,healthy/no disease reported,medium,health state
13,Host Disease,Cold water disease,cold water disease,Host_Health_State_SD,diseased,medium,health state
13,Environment (Local Scale),forest soil,forest soil,Environment_Medium_SD,soil,high,environmental medium
13,Environment Medium,Diseased tissue,diseased tissue,Host_Health_State_SD,diseased,medium,health state
13,Environment (Local Scale),Diseased tissue,diseased tissue,Host_Health_State_SD,diseased,medium,health state
12,Isolation Source,patient fecal,patient fecal,Sample_Type_SD,feces/stool,high,fecal material
12,Isolation Source,Isolated from feces from dairy cow,isolated from feces from dairy cow,Sample_Type_SD,feces/stool,high,fecal material
12,Isolation Source,Homo sapiens faeces,homo sapiens faeces,Sample_Type_SD,feces/stool,high,fecal material
12,Environment (Local Scale),Brachypodium rhizosphere enrichment,brachypodium rhizosphere enrichment,Environment_Medium_SD,soil,high,environmental medium
12,Environment (Local Scale),Rhizosphere,rhizosphere,Environment_Medium_SD,soil,high,environmental medium
12,Environment (Local Scale),swine faeces,swine faeces,Sample_Type_SD,feces/stool,high,fecal material
12,Environment Medium,fecal swabs,fecal swabs,Sample_Type_SD,feces/stool,high,fecal material
12,Host Disease,Coronary Artery Disease,coronary artery disease,Host_Health_State_SD,diseased,medium,health state
12,Environment Medium,Faecal sample,faecal sample,Sample_Type_SD,feces/stool,high,fecal material
12,Environment (Local Scale),fecal,fecal,Sample_Type_SD,feces/stool,high,fecal material
12,Host Disease,non-progressive alcoholic liver disease,non progressive alcoholic liver disease,Host_Health_State_SD,diseased,medium,health state
12,Environment (Local Scale),wastewater,wastewater,Environment_Medium_SD,wastewater,high,environmental medium
12,Isolation Source,Human stool samples,human stool samples,Sample_Type_SD,feces/stool,high,fecal material
12,Host Disease,brucella disease,brucella disease,Host_Health_State_SD,diseased,medium,health state
12,Environment (Local Scale),Seawater,seawater,Environment_Medium_SD,seawater,high,water type
12,Environment (Local Scale),hypersaline lagoon sediment,hypersaline lagoon sediment,Environment_Medium_SD,sediment,high,environmental medium
12,Environment (Local Scale),Active sludge,active sludge,Environment_Medium_SD,sludge,high,environmental medium
12,Host Disease,Glasser's disease,glasser s disease,Host_Health_State_SD,diseased,medium,health state
12,Environment (Local Scale),marine sediment,marine sediment,Environment_Medium_SD,sediment,high,environmental medium
12,Environment (Local Scale),mooring chain links surface biofilm,mooring chain links surface biofilm,Environment_Medium_SD,biofilm,high,environmental medium
12,Environment (Local Scale),Sludge [ENVO: 00002044],sludge envo 00002044,Environment_Medium_SD,sludge,high,environmental medium
11,Isolation Source,Human faecal,human faecal,Sample_Type_SD,feces/stool,high,fecal material
11,Isolation Source,a feces sample of swine origin,a feces sample of swine origin,Sample_Type_SD,feces/stool,high,fecal material
11,Isolation Source,patient blood culture samples,patient blood culture samples,Sample_Type_SD,blood,high,clinical material
11,Isolation Source,Pig (sow) - fecal,pig fecal,Sample_Type_SD,feces/stool,high,fecal material
11,Environment (Broad Scale),Urine,urine,Sample_Type_SD,urine,high,clinical material
11,Host Disease,other animal,other animal,Sample_Type_SD,metadata descriptor/non-source,high,metadata/admin descriptor
11,Host Disease,MAC lung disease,mac lung disease,Host_Health_State_SD,diseased,medium,health state
11,Host Disease,pulmonary disease,pulmonary disease,Host_Health_State_SD,diseased,medium,health state
11,Environment (Local Scale),soil adjacent to cadaver decomposition,soil adjacent to cadaver decomposition,Environment_Medium_SD,soil,high,environmental medium
11,Environment (Local Scale),anaerobic sediment [ENVO:00002045],anaerobic sediment envo 00002045,Environment_Medium_SD,sediment,high,environmental medium
11,Environment Medium,hypersaline pond,hypersaline pond,Environment_Medium_SD,pond water,high,water type
10,Isolation Source,Human Urine,human urine,Sample_Type_SD,urine,high,clinical material
10,Isolation Source,patient blood,patient blood,Sample_Type_SD,blood,high,clinical material
10,Isolation Source,Human fecal sample,human fecal sample,Sample_Type_SD,feces/stool,high,fecal material
10,Isolation Source,Poultry faecal material,poultry faecal material,Sample_Type_SD,feces/stool,high,fecal material
10,Isolation Source,"pig, feces",pig feces,Sample_Type_SD,feces/stool,high,fecal material
10,Isolation Source,"cattle feces, juveniles",cattle feces juveniles,Sample_Type_SD,feces/stool,high,fecal material
10,Isolation Source,Patient's blood,patient s blood,Sample_Type_SD,blood,high,clinical material
10,Isolation Source,Human healthy carriers,human healthy carriers,Host_Health_State_SD,healthy/no disease reported,medium,health state
10,Environment (Local Scale),soil environment [ENVO:01001044],soil environment envo 01001044,Environment_Medium_SD,soil,high,environmental medium
10,Environment (Local Scale),saline soil,saline soil,Environment_Medium_SD,soil,high,environmental medium
10,Host Disease,Mycobacterium avium complex disease,mycobacterium avium complex disease,Host_Health_State_SD,diseased,medium,health state
10,Host Disease,Helicobacter pylori peptic ulcer disease,helicobacter pylori peptic ulcer disease,Host_Health_State_SD,diseased,medium,health state
10,Environment (Local Scale),CF sputum,cf sputum,Sample_Type_SD,sputum,high,respiratory material
10,Host Disease,hemorrhagic disease,hemorrhagic disease,Host_Health_State_SD,diseased,medium,health state
10,Host Disease,respiratory disease,respiratory disease,Host_Health_State_SD,diseased,medium,health state
10,Isolation Source,fecal sample from diarrhoea affected cattle B,fecal sample from diarrhoea affected cattle b,Sample_Type_SD,feces/stool,high,fecal material
10,Environment (Local Scale),Bashi Channel sediment,bashi channel sediment,Environment_Medium_SD,sediment,high,environmental medium
9,Isolation Source,Animal-Poultry-Feces,animal poultry feces,Sample_Type_SD,feces/stool,high,fecal material
9,Isolation Source,fecal pasture close to dairy cow,fecal pasture close to dairy cow,Sample_Type_SD,feces/stool,high,fecal material
9,Isolation Source,feces cattle,feces cattle,Sample_Type_SD,feces/stool,high,fecal material
9,Isolation Source,stool specimen from a Guillain-Barre syndrome patient,stool specimen from a guillain barre syndrome patient,Sample_Type_SD,feces/stool,high,fecal material
9,Isolation Source,pig slaughterhouse wastewater,pig slaughterhouse wastewater,Environment_Medium_SD,wastewater,high,environmental medium
9,Isolation Source,Cattle/Soil,cattle soil,Environment_Medium_SD,soil,high,environmental medium
9,Environment (Local Scale),Domestic Wastewater,domestic wastewater,Environment_Medium_SD,wastewater,high,environmental medium
9,Host Disease,infectious disease,infectious disease,Host_Health_State_SD,diseased,medium,health state
9,Environment (Local Scale),Soil isolate,soil isolate,Environment_Medium_SD,soil,high,environmental medium
9,Isolation Site,Lake Washington,lake washington,Environment_Medium_SD,lake water,high,water type
9,Environment (Local Scale),bottom seawater near Chesterfield Inlet,bottom seawater near chesterfield inlet,Environment_Medium_SD,seawater,high,water type
9,Environment (Local Scale),sputum,sputum,Sample_Type_SD,sputum,high,respiratory material
9,Host Disease,lung disease,lung disease,Host_Health_State_SD,diseased,medium,health state
9,Environment Medium,Blood,blood,Sample_Type_SD,blood,high,clinical material
9,Host Disease,Bovine respiratory disease,bovine respiratory disease,Host_Health_State_SD,diseased,medium,health state
9,Environment (Local Scale),Deep marine sediment (ENVO:00002113),deep marine sediment,Environment_Medium_SD,sediment,high,environmental medium
