count,host_original,host_sd,taxid,host_method
5,sponge feces,Porifera,6040,context_broad_dictionary
5,Human clinical faeces,Homo sapiens,9606,context_dictionary
5,dairy cow feces (Bos taurus),Bos taurus,9913,context_cleaned_match
5,sour cow milk fermented,Bos taurus,9913,context_cleaned_match
5,Dog stool,Canis lupus familiaris,9615,context_cleaned_match
5,Pig specific (nasal swab),Sus scrofa,9823,context_cleaned_match
5,canine ear swab,Canis lupus familiaris,9615,context_cleaned_match
5,patient environment,Homo sapiens,9606,context_dictionary
5,human urine,Homo sapiens,9606,context_dictionary
5,Grass with Pig Manure,Sus scrofa,9823,context_cleaned_match
5,human breast milk,Homo sapiens,9606,context_dictionary
5,Sour horse milk,Equus caballus,9796,context_cleaned_match
5,aquaculture water of Penaeus vannamei,Penaeus vannamei,6689,context_cleaned_match
5,gut of abalone,Haliotis,6452,context_broad_dictionary
5,Aquatic bird feces,Aves,8782,context_broad_dictionary
5,Poultry manure,Aves,8782,broad_dictionary
5,Pig manure,Sus scrofa,9823,context_cleaned_match
5,Fish and aquatic environment of Lake Victoria,Actinopterygii,7898,context_broad_dictionary
5,Fermented mare milk,Equus caballus,9796,context_broad_dictionary
5,fish gut; co-assembled from multi-host: Siniperca knerii;Sinogastromyzon szechuanensis;Onychostoma simum;Leptobotia elongata,Actinopterygii,7898,context_broad_dictionary
5,Water from infected fish farm,Actinopterygii,7898,context_broad_dictionary
5,horse feces,Equus caballus,9796,context_cleaned_match
5,feces of bat,Chiroptera,9397,context_broad_dictionary
5,Leaf surface of Corylus cornuta from Eastern Canada,corylus,13450,context_broad_dictionary
5,sponge tissue,Porifera,6040,context_broad_dictionary
4,Swine (Meat),Sus scrofa,9823,context_dictionary
4,Chicken Environment,Gallus gallus,9031,context_cleaned_match
4,feces inside chicken tractor,Gallus gallus,9031,context_cleaned_match
4,laying hen faeces,Gallus gallus,9031,context_broad_dictionary
4,"Human, Rectal swab",Homo sapiens,9606,context_cleaned_match
4,feces dirt from tomato field,Solanum lycopersicum,4081,context_cleaned_match
4,Animal - Chicken-Environment swab,Gallus gallus,9031,context_cleaned_match
4,animal feed blood meal,Metazoa,33208,context_broad_dictionary
4,retail raw whole cow milk,Bos taurus,9913,context_cleaned_match
4,Calf's feces,Bos taurus,9913,context_dictionary
4,Tibetan antelope feces,Pantholops hodgsonii,59538,context_cleaned_match
4,Poultry water,Aves,8782,context_broad_dictionary
4,"Faecal sample from Agile wallaby, Notamacropus agilis",Macropodidae,9307,context_broad_dictionary
4,"Faecal sample from Common wombat, Vombatus ursinus",Vombatidae,29137,context_broad_dictionary
4,Porcine manure treated grass (week 1),Sus scrofa,9823,context_cleaned_match
4,"Pig Feces, Farm",Sus scrofa,9823,context_cleaned_match
4,Calf fecal,Bos taurus,9913,context_dictionary
4,feces chicken house front,Gallus gallus,9031,context_cleaned_match
4,fecal swabs from commercial chicken farm,Gallus gallus,9031,context_cleaned_match
4,Fresh water fish,Actinopterygii,7898,broad_dictionary
4,Raw Cow Milk,Bos taurus,9913,context_cleaned_match
4,Sheep feces,Ovis aries,9940,context_cleaned_match
4,Chicken cloacal swab (Gallus gallus),Gallus gallus,9031,context_cleaned_match
4,Swine feces,Sus scrofa,9823,context_cleaned_match
4,Pig Special Project (Sampling of Livestock and Poultry Environment),Sus scrofa,9823,context_cleaned_match
4,cow sheep milk cheese,Bos taurus,9913,context_cleaned_match
4,fish gut; co-assembled from multi-host: Triplophysa bleekeri;Pseudorasbora parva;Triplophysa daqiaoensis;Homatula variegata;Abbottina rivularis;Schizothorax davidi;Paramisgurnus dabryanus;Claea dabryi;Triplophysa stoliczkai;Misgurnus anguillicaudatus,Actinopterygii,7898,context_broad_dictionary
4,fish gut; co-assembled from multi-host: Percocypris pingi;Hemiculterella sauvagei;Rhinogobius similis;Discogobio yunnanensis;Pseudogyrinocheilus prochilus;Glyptothorax fokiensis;Hemiculter leucisculus,Actinopterygii,7898,context_broad_dictionary
4,Pig (nursery) - fecal,Sus scrofa,9823,context_cleaned_match
4,feces from giant panda,panda,212257,context_broad_dictionary
4,sour goat milk,Capra hircus,9925,context_cleaned_match
4,catfish Homogenized Tissue Dillution,Siluriformes,7997,context_broad_dictionary
4,adult red blood cells,Homo sapiens,9606,context_dictionary
4,individual cow milk,Bos taurus,9913,context_cleaned_match
4,Sea sponge tissue,Porifera,6040,context_broad_dictionary
4,fish gut,Actinopterygii,7898,context_broad_dictionary
4,enriched culture from Antartic soil contaminated with penguin feces,Spheniscidae,9231,context_broad_dictionary
4,Fecal samples from slaughtered sheep,Ovis aries,9940,context_cleaned_match
4,goat milk from farm,Capra hircus,9925,context_cleaned_match
4,"strawberry, ragi, and rice with milk cereal",Oryza sativa,4530,context_cleaned_match
4,milk-based infant and baby foods,Homo sapiens,9606,context_dictionary
4,Water from fish tank,Actinopterygii,7898,context_broad_dictionary
4,poultry feces,Aves,8782,context_broad_dictionary
4,the intestinal contents of Marmot,Marmota,9992,context_broad_dictionary
3,water source from yak farm,Bos grunniens,30521,context_cleaned_match
3,Turtle water,Testudines,8459,context_broad_dictionary
3,porcine feces,Sus scrofa,9823,context_cleaned_match
3,Chicken - Boot swab,Gallus gallus,9031,context_cleaned_match
3,Duck faeces,Anas platyrhynchos,8839,context_cleaned_match
3,intestinal contents of broiler,Gallus gallus,9031,context_cleaned_match
3,sheep shelter feces,Ovis aries,9940,context_cleaned_match
3,calf feces,Bos taurus,9913,context_dictionary
3,chick bedding sample,Gallus gallus,9031,context_broad_dictionary
3,equine hospital environmental,Equus caballus,9796,context_cleaned_match
3,cow manure (Bos primigenius),Bos taurus,9913,context_cleaned_match
3,equine feces (Equus ferus caballus),Equus caballus,9796,context_cleaned_match
3,chicken evisceration tank water (Gallus gallus),Gallus gallus,9031,context_cleaned_match
3,Human Feces,Homo sapiens,9606,context_cleaned_match
3,cloacal swab live duck,Anas platyrhynchos,8839,context_cleaned_match
3,poultry water,Aves,8782,context_broad_dictionary
3,"Animal clinical, bovine feces",Bos taurus,9913,context_cleaned_match
3,livestock feces (cattle),Mammalia,40674,context_broad_dictionary
3,External surface of flies,Diptera,7147,context_broad_dictionary
3,Human urine sample,Homo sapiens,9606,context_cleaned_match
3,poultry caceal sample,Aves,8782,context_broad_dictionary
3,pig ceacal sample,Sus scrofa,9823,context_cleaned_match
3,Sheep manure,Ovis aries,9940,context_cleaned_match
3,Hand swab from chicken handler,Gallus gallus,9031,context_cleaned_match
3,Human biopsy,Homo sapiens,9606,context_cleaned_match
3,Feline urine,Felis catus,9685,context_cleaned_match
3,cattle manure with soil,Bos taurus,9913,context_cleaned_match
3,retail raw whole goat milk,Capra hircus,9925,context_cleaned_match
3,soil bird dropping manure,Aves,8782,context_broad_dictionary
3,feces goose branta,Anser anser,8843,context_cleaned_match
3,feces duck,Anas platyrhynchos,8839,context_cleaned_match
3,raw whole milk cow,Bos taurus,9913,context_cleaned_match
3,Whole fish sold as Asian bighead carp; Surface swab,Actinopterygii,7898,context_broad_dictionary
3,camel milk,Camelus dromedarius,9838,context_cleaned_match
3,yak milk,Bos grunniens,30521,context_cleaned_match
3,sheep gut metagenome,Ovis aries,9940,context_cleaned_match
3,chicken fecal material,Gallus gallus,9031,context_cleaned_match
3,Poultry meat,Aves,8782,broad_dictionary
3,Camel milk,Camelus dromedarius,9838,context_cleaned_match
3,Pig (body surface),Sus scrofa,9823,context_dictionary
3,canine skin swab,Canis lupus familiaris,9615,context_cleaned_match
3,human fecal sample,Homo sapiens,9606,context_cleaned_match
3,bulk-tank raw milk of sheep farms,Ovis aries,9940,context_cleaned_match
3,raw cow milk hard cheese,Bos taurus,9913,context_cleaned_match
3,animal nasal swab,Metazoa,33208,context_broad_dictionary
3,Chicken manure,Gallus gallus,9031,context_cleaned_match
3,Raw cow milk,Bos taurus,9913,context_cleaned_match
3,ground water from background well at DOE's FRC site at Oak Ridge,Quercus,3511,context_broad_dictionary
3,animals feces,Metazoa,33208,context_broad_dictionary
3,Cleopatra sp. freshwater snail feces,Gastropoda,6448,context_broad_dictionary
3,adult mosquito gut,Homo sapiens,9606,context_dictionary
3,pigeon farm environment,Columba livia,8932,context_cleaned_match
