isolation_source_sd,assembly_count,signal_classes,recommended_action
Animal-Calf-Formula-fed Veal,90,host_taxon_or_context,route_to_host_context
Gastric tissue,87,sample_type,route_to_sample_type
animal feed,85,host_taxon_or_context,route_to_host_context
internal-site swab,82,sample_type,route_to_sample_type
chemically distinct water,74,environment_medium,route_to_environment_medium
mud/sediment,74,environment_medium,route_to_environment_medium
Broncho-alveolar lavage,73,sample_type,route_to_sample_type
Mouse embryonic cells,64,host_taxon_or_context,route_to_host_context
fermented milk/dairy product,64,sample_type,route_to_sample_type
Tick tissue,63,sample_type,route_to_sample_type
tissue pool,62,sample_type,route_to_sample_type
Bladder,61,body_site,route_to_isolation_site
Infected tissue,55,sample_type|disease,route_to_disease_or_health_state
periprosthetic tissue,55,sample_type,route_to_sample_type
Gall bladder tissue,54,body_site|sample_type,route_to_sample_type
Domestic animal,47,host_taxon_or_context,route_to_host_context
drainage/runoff water,44,environment_medium,route_to_environment_medium
Animal-Goat,43,host_taxon_or_context,route_to_host_context
metagenomic assembly,43,metadata_descriptor,route_to_non_source_descriptor
teat/nipple swab,43,sample_type,route_to_sample_type
lavage,41,sample_type,route_to_sample_type
plasma,40,sample_type,route_to_sample_type
Animal feed,37,host_taxon_or_context,route_to_host_context
Soft tissue,37,sample_type,route_to_sample_type
broncho-alveolar lavage,35,sample_type,route_to_sample_type
Tissue Pool,30,sample_type,route_to_sample_type
Tissue fragment,30,sample_type,route_to_sample_type
Animal-Calf-Non Formula-fed Veal,29,host_taxon_or_context,route_to_host_context
Deep Tissue,29,sample_type,route_to_sample_type
surface water,29,environment_medium,route_to_environment_medium
Animal Tissue,27,sample_type|host_taxon_or_context,route_to_sample_type
coral tissue,27,sample_type,route_to_sample_type
serum,27,sample_type,route_to_sample_type
infected vegetal samples,26,disease,route_to_disease_or_health_state
poultry meat,26,host_taxon_or_context,route_to_food_source
bladder,25,body_site,route_to_isolation_site
oyster product,25,host_taxon_or_context,route_to_food_source
Nasopharygneal lavage,24,sample_type,route_to_sample_type
environmental sample,24,sample_type|metadata_descriptor,route_to_non_source_descriptor
Plasma,23,sample_type,route_to_sample_type
food-processing water,23,environment_medium,route_to_environment_medium
Computer keyboard and mouse,22,host_taxon_or_context,route_to_host_context
Macroalgal tissue,22,sample_type,route_to_sample_type
kelp blade whole tissue extract,22,sample_type,route_to_sample_type
citrus infected tissue,21,sample_type|disease,route_to_disease_or_health_state
tissue composite,21,sample_type,route_to_sample_type
animal feed canola meal,20,host_taxon_or_context,route_to_host_context
Domestic cat,19,host_taxon_or_context,route_to_host_context
Wild animal,19,host_taxon_or_context,route_to_host_context
dog chew,18,host_taxon_or_context,route_to_host_context
Mouse ES Cells,17,host_taxon_or_context,route_to_host_context
Tumor tissue,17,sample_type,route_to_sample_type
tissue samples,17,sample_type,route_to_sample_type
dog treat,16,host_taxon_or_context,route_to_host_context
gall bladder,16,body_site,route_to_isolation_site
hot dog,16,host_taxon_or_context,route_to_host_context
mine water,16,environment_medium,route_to_environment_medium
Deep tissue,15,sample_type,route_to_sample_type
ENVO_01000248,15,raw_code_or_artifact,route_to_non_source_descriptor
Gall bladder,15,body_site,route_to_isolation_site
Tracheal lavage,15,sample_type,route_to_sample_type
cave/cryoconite water,15,environment_medium,route_to_environment_medium
prostatic tissue,15,sample_type,route_to_sample_type
Homogenized tissue,14,sample_type,route_to_sample_type
Pooled Tissue,13,sample_type,route_to_sample_type
Soft Tissue,13,sample_type,route_to_sample_type
"combination of 24 samples (8 from lake Croche, 8 from Montjoie and 8 from Simoncouche) collected from 2013 through 2014",13,environment_medium,route_to_environment_medium
guttural pouch lavage,13,sample_type,route_to_sample_type
mouse spinal cord microglia,13,host_taxon_or_context,route_to_host_context
BLDP1,12,raw_code_or_artifact,route_to_non_source_descriptor
Cat nape,12,host_taxon_or_context,route_to_host_context
Coral tissue,12,sample_type,route_to_sample_type
Infected person,12,disease,route_to_disease_or_health_state
Pig product,12,host_taxon_or_context,route_to_host_context
Toe Tissue,12,sample_type,route_to_sample_type
curd_Producer_2,12,raw_code_or_artifact,route_to_non_source_descriptor
curd_Producer_3,12,raw_code_or_artifact,route_to_non_source_descriptor
periprosthetic tissue specimen,12,sample_type,route_to_sample_type
EFB infected honey bee larva,11,disease,route_to_disease_or_health_state
Guttural pouch lavage,11,sample_type,route_to_sample_type
Hip Tissue,11,sample_type,route_to_sample_type
Kulhuse3,11,raw_code_or_artifact,route_to_non_source_descriptor
"Tissue, Ankle",11,sample_type,route_to_sample_type
"Tissue, Finger",11,sample_type,route_to_sample_type
"Tissue, Hand",11,sample_type,route_to_sample_type
Whole animal,11,host_taxon_or_context,route_to_host_context
animal feed wheat,11,host_taxon_or_context,route_to_host_context
bacteriome tissue,11,sample_type,route_to_sample_type
Anholt2,10,raw_code_or_artifact,route_to_non_source_descriptor
Balb/C mouse gall bladder,10,body_site|host_taxon_or_context,route_to_isolation_site
Bronchalveolar Lavage,10,sample_type,route_to_sample_type
Dyre1,10,raw_code_or_artifact,route_to_non_source_descriptor
FredPark1,10,raw_code_or_artifact,route_to_non_source_descriptor
LPD bulk tissue,10,sample_type,route_to_sample_type
Rat,10,host_taxon_or_context,route_to_host_context
"Tissue, Elbow",10,sample_type,route_to_sample_type
"Tissue, Knee",10,sample_type,route_to_sample_type
Whole tissue homogenate,10,sample_type,route_to_sample_type
matmal3,10,raw_code_or_artifact,route_to_non_source_descriptor
polyp tissue,10,sample_type,route_to_sample_type
sterile tissue,10,sample_type,route_to_sample_type
Bornholm3,9,raw_code_or_artifact,route_to_non_source_descriptor
CWH_63,9,raw_code_or_artifact,route_to_non_source_descriptor
Pooled tissue,9,sample_type,route_to_sample_type
Sam3,9,raw_code_or_artifact,route_to_non_source_descriptor
Tissue from head,9,sample_type,route_to_sample_type
Tissue specimen,9,sample_type,route_to_sample_type
"Tissue, Thigh",9,sample_type,route_to_sample_type
animal-associated,9,host_taxon_or_context,route_to_host_context
colorectal cancer tissue,9,sample_type|disease,route_to_disease_or_health_state
left ventricle apex tissue,9,sample_type,route_to_sample_type
retail raw cream cow,9,host_taxon_or_context,route_to_host_context
Infected pancreatic necrosis,8,disease,route_to_disease_or_health_state
K562,8,raw_code_or_artifact,route_to_non_source_descriptor
Kulhuse1,8,raw_code_or_artifact,route_to_non_source_descriptor
Mouse,8,host_taxon_or_context,route_to_host_context
Nasobronchial lavage,8,sample_type,route_to_sample_type
Tissue pool,8,sample_type,route_to_sample_type
"Tissue, Arm",8,sample_type,route_to_sample_type
computer keyboard/mouse,8,host_taxon_or_context,route_to_host_context
frozen feeder mouse,8,host_taxon_or_context,route_to_host_context
guineaPig7,8,raw_code_or_artifact,route_to_non_source_descriptor
running water,8,environment_medium,route_to_environment_medium
whole animal,8,host_taxon_or_context,route_to_host_context
young gall tissue,8,sample_type,route_to_sample_type
Animal hide,7,host_taxon_or_context,route_to_host_context
Bornholm1,7,raw_code_or_artifact,route_to_non_source_descriptor
ENVO_00000115,7,raw_code_or_artifact,route_to_non_source_descriptor
Gastric Tissue (Unspecified),7,sample_type,route_to_sample_type
HCT116,7,raw_code_or_artifact,route_to_non_source_descriptor
HEK293,7,raw_code_or_artifact,route_to_non_source_descriptor
Room_1_C_Organism_2,7,raw_code_or_artifact,route_to_non_source_descriptor
Tissue ulcer,7,sample_type,route_to_sample_type
"Tissue, Forearm",7,sample_type,route_to_sample_type
booties (outside chicken tractor),7,host_taxon_or_context,route_to_food_source
broncoalveolar lavage,7,sample_type,route_to_sample_type
gastric lavage,7,sample_type,route_to_sample_type
keyboard/mouse,7,host_taxon_or_context,route_to_host_context
"ward, keyboard mouse",7,host_taxon_or_context,route_to_host_context
Animal Feed,6,host_taxon_or_context,route_to_host_context
Animal-Calf,6,host_taxon_or_context,route_to_host_context
Bladder tumor,6,body_site,route_to_isolation_site
Bornholm2,6,raw_code_or_artifact,route_to_non_source_descriptor
Broncheoalveolar lavage,6,sample_type,route_to_sample_type
CWH_62,6,raw_code_or_artifact,route_to_non_source_descriptor
Cutaneous tissue,6,sample_type,route_to_sample_type
Dog treat,6,host_taxon_or_context,route_to_host_context
Host Tissue,6,sample_type,route_to_sample_type
Human melanoma cell line,6,host_taxon_or_context,route_to_host_context
"K562 cells, mouse embryonic fibroblasts",6,host_taxon_or_context,route_to_host_context
Mouse frontal cortex,6,host_taxon_or_context,route_to_host_context
Room_4_E_Organism_2,6,raw_code_or_artifact,route_to_non_source_descriptor
Room_5_E_Organism_1,6,raw_code_or_artifact,route_to_non_source_descriptor
U2932,6,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P26_BU28,6,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P2_BU1,6,raw_code_or_artifact,route_to_non_source_descriptor
anastomotic tissue,6,sample_type,route_to_sample_type
cervicovaginal lavage,6,sample_type,route_to_sample_type
final product sale animal origin,6,host_taxon_or_context,route_to_host_context
gastric cancer cells,6,disease,route_to_disease_or_health_state
guineaPig1,6,raw_code_or_artifact,route_to_non_source_descriptor
guineaPig6,6,raw_code_or_artifact,route_to_non_source_descriptor
mouse deer,6,host_taxon_or_context,route_to_host_context
Anholt10,5,raw_code_or_artifact,route_to_non_source_descriptor
Bladder Stone,5,body_site,route_to_isolation_site
Bronco-Alveolar Lavage,5,sample_type,route_to_sample_type
Domestic dog,5,host_taxon_or_context,route_to_host_context
MDA-MB-231-1833,5,raw_code_or_artifact,route_to_non_source_descriptor
MDA-MB-231p27CK-DD,5,raw_code_or_artifact,route_to_non_source_descriptor
PO_0009046,5,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_C_Organism_2,5,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_C_Organism_3,5,raw_code_or_artifact,route_to_non_source_descriptor
Room_5_E_Organism_2,5,raw_code_or_artifact,route_to_non_source_descriptor
Sam1,5,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P91_BU9,5,raw_code_or_artifact,route_to_non_source_descriptor
animal waste,5,host_taxon_or_context,route_to_host_context
brochoalveolar lavage,5,sample_type,route_to_sample_type
cow udder,5,host_taxon_or_context,route_to_host_context
huh7,5,raw_code_or_artifact,route_to_non_source_descriptor
mouse mature T-cells,5,host_taxon_or_context,route_to_host_context
raw pig,5,host_taxon_or_context,route_to_host_context
sacral tissue,5,sample_type,route_to_sample_type
Animal - Avian,4,host_taxon_or_context,route_to_host_context
Animal Bedding,4,host_taxon_or_context,route_to_host_context
Bos taurus (Cow),4,host_taxon_or_context,route_to_host_context
Buhl_2016,4,raw_code_or_artifact,route_to_non_source_descriptor
CWH_64,4,raw_code_or_artifact,route_to_non_source_descriptor
DyreVideo4,4,raw_code_or_artifact,route_to_non_source_descriptor
ENVO_00000447,4,raw_code_or_artifact,route_to_non_source_descriptor
ENVO_01001055,4,raw_code_or_artifact,route_to_non_source_descriptor
EVB2,4,raw_code_or_artifact,route_to_non_source_descriptor
FredPark2,4,raw_code_or_artifact,route_to_non_source_descriptor
Gastric cancer,4,disease,route_to_disease_or_health_state
Knee Tissue,4,sample_type,route_to_sample_type
MDA-MB-231,4,raw_code_or_artifact,route_to_non_source_descriptor
Pulmonary tissue,4,sample_type,route_to_sample_type
Room_2_C_Organism_1,4,raw_code_or_artifact,route_to_non_source_descriptor
Room_3_C_Organism_3,4,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_C_Organism_1,4,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_E_Organism_3,4,raw_code_or_artifact,route_to_non_source_descriptor
Room_5_C_Organism_1,4,raw_code_or_artifact,route_to_non_source_descriptor
Sam2,4,raw_code_or_artifact,route_to_non_source_descriptor
"TSA (Difco, France) plates containing 5% inactivated newborn bovine serum",4,sample_type,route_to_sample_type
Tissue samples,4,sample_type,route_to_sample_type
"Tissue, Pleura",4,sample_type,route_to_sample_type
"Tissue, Toe",4,sample_type,route_to_sample_type
Unspecified Organ/Tissue,4,sample_type,route_to_sample_type
Whole wing tissue,4,sample_type,route_to_sample_type
animal feed feather meal,4,host_taxon_or_context,route_to_host_context
bovine tissue,4,sample_type,route_to_sample_type
catfish Homogenized Tissue Dillution,4,sample_type,route_to_sample_type
curd_Producer_1,4,raw_code_or_artifact,route_to_non_source_descriptor
dog bite,4,host_taxon_or_context,route_to_host_context
guineaPig8,4,raw_code_or_artifact,route_to_non_source_descriptor
interior clove tissue,4,sample_type,route_to_sample_type
mouse jejunal,4,host_taxon_or_context,route_to_host_context
pathological tissue,4,sample_type,route_to_sample_type
patient2,4,raw_code_or_artifact,route_to_non_source_descriptor
rawhide dog chew,4,host_taxon_or_context,route_to_host_context
transport swab,4,sample_type,route_to_sample_type
under Pandanus Unknown,4,metadata_descriptor,route_to_non_source_descriptor
AHPND infected Litopenaeus vannamei,3,disease,route_to_disease_or_health_state
Aamose2,3,raw_code_or_artifact,route_to_non_source_descriptor
Anholt16,3,raw_code_or_artifact,route_to_non_source_descriptor
Anholt9,3,raw_code_or_artifact,route_to_non_source_descriptor
Animal Protein Products,3,host_taxon_or_context,route_to_host_context
BLDL1,3,raw_code_or_artifact,route_to_non_source_descriptor
Bladder Wall,3,body_site,route_to_isolation_site
Bovine Unknown,3,metadata_descriptor,route_to_non_source_descriptor
Broncho-Alveolar Lavage,3,sample_type,route_to_sample_type
Captive animal,3,host_taxon_or_context,route_to_host_context
Cultured from Crassostrea gigas tissue,3,sample_type,route_to_sample_type
Disc Tissue,3,sample_type,route_to_sample_type
Dog Conch,3,host_taxon_or_context,route_to_host_context
Dog nape,3,host_taxon_or_context,route_to_host_context
"Dog, pet",3,host_taxon_or_context,route_to_host_context
ENVO_00000446,3,raw_code_or_artifact,route_to_non_source_descriptor
EVB15,3,raw_code_or_artifact,route_to_non_source_descriptor
EVB16,3,raw_code_or_artifact,route_to_non_source_descriptor
EVB4,3,raw_code_or_artifact,route_to_non_source_descriptor
EVB6,3,raw_code_or_artifact,route_to_non_source_descriptor
EVB9,3,raw_code_or_artifact,route_to_non_source_descriptor
FOODON_00002403,3,raw_code_or_artifact,route_to_non_source_descriptor
Gall Bladder,3,body_site,route_to_isolation_site
Gastric lavage,3,sample_type,route_to_sample_type
HET.02_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
HET.06_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
HET.18_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
HET.24_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
Host tissue,3,sample_type,route_to_sample_type
Hot Dog,3,host_taxon_or_context,route_to_host_context
Kulhuse2,3,raw_code_or_artifact,route_to_non_source_descriptor
Lavage,3,sample_type,route_to_sample_type
MDA-MB-231-1833shp27,3,raw_code_or_artifact,route_to_non_source_descriptor
"Mouse fibroblast, L929",3,host_taxon_or_context,route_to_host_context
Mstd3,3,raw_code_or_artifact,route_to_non_source_descriptor
Nebuliser_P91_BU9,3,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_2_D_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_2_D_Organism_2,3,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_2_D_Organism_3,3,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_3_D_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_4_D_Organism_2,3,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_4_D_Organism_3,3,raw_code_or_artifact,route_to_non_source_descriptor
Product-Rinse-Unknown species,3,metadata_descriptor,route_to_non_source_descriptor
Room_1_C_Organism_3,3,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_E_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor
Room_6_E_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor
Room_6_E_Organism_2,3,raw_code_or_artifact,route_to_non_source_descriptor
Stethoscope_P91_BU9,3,raw_code_or_artifact,route_to_non_source_descriptor
TD2_unenriched,3,raw_code_or_artifact,route_to_non_source_descriptor
Table-1,3,raw_code_or_artifact,route_to_non_source_descriptor
Table-2,3,raw_code_or_artifact,route_to_non_source_descriptor
Thigh Tissue,3,sample_type,route_to_sample_type
Tissue Right Shoulder COLLAR MEMBRANE,3,sample_type,route_to_sample_type
Tissue Right Shoulder GLENOID,3,sample_type,route_to_sample_type
Tissue Right Shoulder HUMERAL MEMBRANE,3,sample_type,route_to_sample_type
"Tissue, Calf",3,sample_type,route_to_sample_type
"Tissue, Hip",3,sample_type,route_to_sample_type
"Tissue, Shoulder",3,sample_type,route_to_sample_type
"Tissue, Thumb",3,sample_type,route_to_sample_type
"Tissue, Tibia",3,sample_type,route_to_sample_type
Ventilator_P101_BU22,3,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P19_BU20,3,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P22_BU23,3,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P25_BU27,3,raw_code_or_artifact,route_to_non_source_descriptor
WT.02_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
WT.06_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
WT.18_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
WT.24_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor
abdominal tissue,3,sample_type,route_to_sample_type
alpaca multiple tissue,3,sample_type,route_to_sample_type
animal associated,3,host_taxon_or_context,route_to_host_context
animal calf bob veal,3,host_taxon_or_context,route_to_host_context
animal feed distiller dry grain cake,3,host_taxon_or_context,route_to_host_context
animal feed soybean meal,3,host_taxon_or_context,route_to_host_context
animal feed wheat bran,3,host_taxon_or_context,route_to_host_context
animal tissue,3,sample_type|host_taxon_or_context,route_to_sample_type
aquarium/aquaculture water,3,environment_medium,route_to_environment_medium
baked dog treat,3,host_taxon_or_context,route_to_host_context
bladder (Canis lupus familiaris),3,body_site,route_to_isolation_site
bovine dog treat,3,host_taxon_or_context,route_to_host_context
bronchioalveolar lavage,3,sample_type,route_to_sample_type
canola meal for animal feed,3,host_taxon_or_context,route_to_host_context
cherry tissue,3,sample_type,route_to_sample_type
dog paws,3,host_taxon_or_context,route_to_host_context
duodenum of female CD1 mouse,3,host_taxon_or_context,route_to_host_context
feather animal meal,3,host_taxon_or_context,route_to_host_context
femur_chicken1,3,raw_code_or_artifact,route_to_non_source_descriptor
frozen animal feed adult mouse,3,host_taxon_or_context,route_to_host_context
frozen animal feed baby mouse,3,host_taxon_or_context,route_to_host_context
frozen animal feed young mouse,3,host_taxon_or_context,route_to_host_context
gastric tissue,3,sample_type,route_to_sample_type
"hip,tissue",3,sample_type,route_to_sample_type
house mouse,3,host_taxon_or_context,route_to_host_context
hydrolyzed feather animal meal,3,host_taxon_or_context,route_to_host_context
landfill/leachate water,3,environment_medium,route_to_environment_medium
matmal2,3,raw_code_or_artifact,route_to_non_source_descriptor
mouse colonic,3,host_taxon_or_context,route_to_host_context
muscle tissue,3,sample_type,route_to_sample_type
rainbow trout tissue,3,sample_type,route_to_sample_type
rat poison,3,host_taxon_or_context,route_to_host_context
retting water,3,environment_medium,route_to_environment_medium
soft tissue inflammation site,3,sample_type,route_to_sample_type
source/sample material,3,sample_type|metadata_descriptor,route_to_non_source_descriptor
soybean meal animal feed,3,host_taxon_or_context,route_to_host_context
tissue pool (Sus scrofa domesticus),3,sample_type,route_to_sample_type
tumor tissue,3,sample_type,route_to_sample_type
ulcer tissue,3,sample_type,route_to_sample_type
1-BSinkInterior,2,raw_code_or_artifact,route_to_non_source_descriptor
AHPND infected Penaeus japonicus,2,disease,route_to_disease_or_health_state
Aamose4,2,raw_code_or_artifact,route_to_non_source_descriptor
Aamose8,2,raw_code_or_artifact,route_to_non_source_descriptor
"Amphibian, Wild Animal, Frog",2,host_taxon_or_context,route_to_host_context
Anholt1,2,raw_code_or_artifact,route_to_non_source_descriptor
Animal-Bearded Dragon,2,host_taxon_or_context,route_to_host_context
Animal-Bison,2,host_taxon_or_context,route_to_host_context
Animal-Calf-Heavy Calf,2,host_taxon_or_context,route_to_host_context
Animal-Turtle,2,host_taxon_or_context,route_to_host_context
Ankle Tissue,2,sample_type,route_to_sample_type
Bladder stones,2,body_site,route_to_isolation_site
Bos (cattle),2,host_taxon_or_context,route_to_food_source
Broncho alveolaire lavage,2,sample_type,route_to_sample_type
Broncho alveolar lavage,2,sample_type,route_to_sample_type
C201R,2,raw_code_or_artifact,route_to_non_source_descriptor
C201R-female,2,raw_code_or_artifact,route_to_non_source_descriptor
CWH_40,2,raw_code_or_artifact,route_to_non_source_descriptor
"Cat, pet",2,host_taxon_or_context,route_to_host_context
Catether (Blood),2,sample_type,route_to_sample_type
Cerebrospinal,2,sample_type,route_to_sample_type
Chest Tissue,2,sample_type,route_to_sample_type
Dog Treats,2,host_taxon_or_context,route_to_host_context
"Dog, lip",2,host_taxon_or_context,route_to_host_context
Dyre2,2,raw_code_or_artifact,route_to_non_source_descriptor
DyreVideo1,2,raw_code_or_artifact,route_to_non_source_descriptor
EVB10,2,raw_code_or_artifact,route_to_non_source_descriptor
EVB3,2,raw_code_or_artifact,route_to_non_source_descriptor
EVB7,2,raw_code_or_artifact,route_to_non_source_descriptor
Elaeagnus angustifolia foliage harboring unknown insect,2,metadata_descriptor,route_to_non_source_descriptor
Elanco Animal Health,2,host_taxon_or_context,route_to_host_context
Elbow tissue,2,sample_type,route_to_sample_type
"Feed, animal-based",2,host_taxon_or_context,route_to_host_context
Finger Tissue,2,sample_type,route_to_sample_type
GI: Gall Bladder,2,body_site,route_to_isolation_site
H9-mesoderm_IFI16sh1865,2,raw_code_or_artifact,route_to_non_source_descriptor
HIV infected cell supernatant,2,disease,route_to_disease_or_health_state
HOT DOG,2,host_taxon_or_context,route_to_host_context
HeLa-S3,2,raw_code_or_artifact,route_to_non_source_descriptor
Heel Tissue,2,sample_type,route_to_sample_type
HepG2,2,raw_code_or_artifact,route_to_non_source_descriptor
Hip tissue,2,sample_type,route_to_sample_type
Hot Dog Sausage,2,host_taxon_or_context,route_to_host_context
Hot dog-parowka,2,host_taxon_or_context,route_to_host_context
Intraabdominal tissue,2,sample_type,route_to_sample_type
Joint Tissue,2,sample_type,route_to_sample_type
L hip tissue,2,sample_type,route_to_sample_type
LEFT HEEL TISSUE,2,sample_type,route_to_sample_type
LNCaP_GSK24H,2,raw_code_or_artifact,route_to_non_source_descriptor
LNCaP_GSK4H,2,raw_code_or_artifact,route_to_non_source_descriptor
Lemvig_2016,2,raw_code_or_artifact,route_to_non_source_descriptor
Livestock animal,2,host_taxon_or_context,route_to_host_context
Lizards faeces,2,sample_type,route_to_sample_type
Locker_P26_BU28,2,raw_code_or_artifact,route_to_non_source_descriptor
Locker_P29_BU6,2,raw_code_or_artifact,route_to_non_source_descriptor
Lohmann Animal Health,2,host_taxon_or_context,route_to_host_context
LysMC8flx_mono_D20,2,raw_code_or_artifact,route_to_non_source_descriptor
MCF-7,2,raw_code_or_artifact,route_to_non_source_descriptor
