field	standardized_value	semantic_class	proposed_destination	reason	assembly_accession	biosample	organism	raw_attribute_name	raw_value	Host	Host_SD	Host_Context_SD	Host_Disease_SD	Host_Health_State_SD	Host_Production_Context_SD	Host_Anatomical_Site_SD	Isolation Source	Isolation_Source_SD	Isolation_Source_SD_Broad	Sample Type	Sample_Type_SD	Sample_Type_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Medium_SD_Broad	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Collection Date	Country
Host_Health_State_SD	patient	host_context	Host_Context_SD	Host_Health_State_SD should contain strict health states only.	GCA_000016945.1	SAMN02604043	Yersinia pseudotuberculosis IP 31758	Isolation Source	stool of a patient presenting with scarlet-like fever in the Primorski region of the former USSR; in 1971 sent to the Institut Pasteur (Paris, France) by Dr. Timofeeva (Antiplague Institute, Irkoutsk)	absent	Homo sapiens			patient		feces/stool	stool of a patient presenting with scarlet-like fever in the Primorski region of the former USSR; in 1971 sent to the Institut Pasteur (Paris, France) by Dr. Timofeeva (Antiplague Institute, Irkoutsk)				feces/stool	feces/stool				host-associated gut/oral/fecal environment	gut/fecal local context	1966	France
Host_Anatomical_Site_SD	feces/stool	sample_material	Sample_Type_SD	Site field contains non-anatomical context/material.	GCA_000016945.1	SAMN02604043	Yersinia pseudotuberculosis IP 31758	Host	absent	absent	Homo sapiens			patient		feces/stool	stool of a patient presenting with scarlet-like fever in the Primorski region of the former USSR; in 1971 sent to the Institut Pasteur (Paris, France) by Dr. Timofeeva (Antiplague Institute, Irkoutsk)				feces/stool	feces/stool				host-associated gut/oral/fecal environment	gut/fecal local context	1966	France
Isolation_Source_SD	fermented milk/dairy product	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000019245.3	SAMN02603933	Lacticaseibacillus paracasei	Host	absent	absent							koumiss (fermented mare's milk)	fermented milk/dairy product	food/dairy		fermented milk/dairy product	food/dairy						absent	China
Sample_Type_SD_Broad	clinical/host-associated material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000019825.1	SAMN02603350	Streptococcus pneumoniae G54	Host	absent	absent							respiratory sample	clinical/host-associated material	clinical/host-associated material		respiratory sample	clinical/host-associated material	respiratory tract					1991	Italy
Sample_Type_SD	respiratory sample	metadata_descriptor	suppress/provenance only	Sample_Type fields should contain physical specimen/material values only.	GCA_000019825.1	SAMN02603350	Streptococcus pneumoniae G54	Isolation Source	respiratory sample	absent							respiratory sample	clinical/host-associated material	clinical/host-associated material		respiratory sample	clinical/host-associated material	respiratory tract					1991	Italy
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale	Environment_Broad_Scale_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000021885.1	SAMN02603313	Glaesserella parasuis SH0165	Host	swine	swine	Sus scrofa			diseased			isolated from a Glasser's disease outbreak farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment					farm	absent	China
Sample_Type_SD	farm	environment_local_scale	Environment_Local_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000021885.1	SAMN02603313	Glaesserella parasuis SH0165	Isolation Source	isolated from a Glasser's disease outbreak farm	swine	Sus scrofa			diseased			isolated from a Glasser's disease outbreak farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment					farm	absent	China
Sample_Type_SD_Broad	clinical/host-associated material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000024065.1	SAMN02598439	Jonesia denitrificans DSM 20603	Host	Ox	Ox	Bos taurus						Boiled ox blood	clinical/host-associated material	clinical/host-associated material		blood	clinical/host-associated material						absent	absent
Sample_Type_SD	clinical sample	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000025085.1	SAMN02603957	Staphylococcus lugdunensis HKU09-01	Host	Homo sapiens	Homo sapiens	Homo sapiens						clinical specimen	clinical/host-associated material	clinical/host-associated material		clinical sample	clinical/host-associated material				clinical/host-associated material		absent	Hong Kong
Host_Disease_SD	healthy/no disease reported	health_state	Host_Health_State_SD	Host_Disease_SD should contain named diseases or defensible disease classes only.	GCA_000026605.1	SAMEA2272197	Streptococcus equi subsp. zooepidemicus	Host	absent	absent			healthy/no disease reported	healthy		nasal cavity/sinus/upper respiratory tract	nasal swab taken from a healthy Thoroughbred racehorse	clinical/host-associated material	clinical/host-associated material		nasal swab	swab	nasal cavity/sinus/upper respiratory tract					2000	United Kingdom
Sample_Type_SD_Broad	swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000026605.1	SAMEA2272197	Streptococcus equi subsp. zooepidemicus	Isolation Source	nasal swab taken from a healthy Thoroughbred racehorse	absent			healthy/no disease reported	healthy		nasal cavity/sinus/upper respiratory tract	nasal swab taken from a healthy Thoroughbred racehorse	clinical/host-associated material	clinical/host-associated material		nasal swab	swab	nasal cavity/sinus/upper respiratory tract					2000	United Kingdom
Sample_Type_SD	nasal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000026605.1	SAMEA2272197	Streptococcus equi subsp. zooepidemicus	Isolation Source	nasal swab taken from a healthy Thoroughbred racehorse	absent			healthy/no disease reported	healthy		nasal cavity/sinus/upper respiratory tract	nasal swab taken from a healthy Thoroughbred racehorse	clinical/host-associated material	clinical/host-associated material		nasal swab	swab	nasal cavity/sinus/upper respiratory tract					2000	United Kingdom
Sample_Type_SD_Broad	plant-associated material	host_context	Host_Context_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000092245.1	SAMN02598489	Arcobacter nitrofigilis DSM 7299	Host	Sporobolus alterniflorus	Sporobolus alterniflorus	Sporobolus alterniflorus						roots	clinical/host-associated material	clinical/host-associated material		root	plant-associated material	plant root/rhizosphere			plant-associated environment		absent	Canada
Sample_Type_SD	root	anatomical_site	Host_Anatomical_Site_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000092245.1	SAMN02598489	Arcobacter nitrofigilis DSM 7299	Isolation Source	roots	Sporobolus alterniflorus	Sporobolus alterniflorus						roots	clinical/host-associated material	clinical/host-associated material		root	plant-associated material	plant root/rhizosphere			plant-associated environment		absent	Canada
Host_Disease_SD	healthy/no disease reported	health_state	Host_Health_State_SD	Host_Disease_SD should contain named diseases or defensible disease classes only.	GCA_000092845.1	SAMN00001910	Brachyspira murdochii DSM 12563	Host	Swine	Swine	Sus scrofa		healthy/no disease reported	healthy		gastrointestinal tract	intestinal contents of healthy swine	clinical/host-associated material	clinical/host-associated material		gut content	gut content	gastrointestinal tract				gut/fecal local context	1992	Canada
Isolation_Source_SD_Broad	culture	sample_processing	Sample_Processing_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000143745.1	SAMN00001478	Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	Host	Homo sapiens	Homo sapiens	Homo sapiens						ATCC 14917, IAM 12477	culture	culture					biological product	biological/clinical product	terrestrial environment		absent	absent
Isolation_Source_SD_Broad	culture	sample_processing	Sample_Processing_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000143765.1	SAMN00001488	Sphingobacterium spiritivorum ATCC 33861	Host	Homo sapiens	Homo sapiens	Homo sapiens						ATCC 33861, CDC E7288, JCM 1277, NCTC 11386	culture	culture					biological product	biological/clinical product	terrestrial environment		absent	absent
Isolation_Site_SD	abscess	sample_material	Sample_Type_SD	Site field contains non-anatomical context/material.	GCA_000144675.2	SAMN02604117	Corynebacterium pseudotuberculosis C231	Isolation Source	caseous lymphadenitis abscess	sheep	Ovis aries						caseous lymphadenitis abscess	clinical/host-associated material	clinical/host-associated material		abscess	clinical fluid/material	abscess					absent	Brazil
Isolation_Site_SD	abscess	sample_material	Sample_Type_SD	Site field contains non-anatomical context/material.	GCA_000144935.3	SAMN02603609	Corynebacterium pseudotuberculosis 1002	Isolation Source	caseous lymphedenitis abscess	goat	Capra hircus						caseous lymphedenitis abscess	clinical/host-associated material	clinical/host-associated material		abscess	clinical fluid/material	abscess					absent	Brazil
Sample_Type_SD	respiratory sample	metadata_descriptor	suppress/provenance only	Sample_Type fields should contain physical specimen/material values only.	GCA_000145705.1	SAMN02603209	Mesomycoplasma hyorhinis HUB-1	Host	swine	swine	Sus scrofa						respiratory tract of swine	clinical/host-associated material	clinical/host-associated material		respiratory sample	clinical/host-associated material	respiratory tract					absent	China
Sample_Type_SD	microbial isolate	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000148365.1	SAMN02603258	Escherichia coli ABU 83972	Host	Homo sapiens	Homo sapiens	Homo sapiens			asymptomatic			isolate from a young female with long term asymptomatic bacteriuria (ABU)	clinical/host-associated material	clinical/host-associated material		microbial isolate	culture/isolate						absent	absent
Sample_Type_SD_Broad	culture/isolate	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000148365.1	SAMN02603258	Escherichia coli ABU 83972	Host	Homo sapiens	Homo sapiens	Homo sapiens			asymptomatic			isolate from a young female with long term asymptomatic bacteriuria (ABU)	clinical/host-associated material	clinical/host-associated material		microbial isolate	culture/isolate						absent	absent
Sample_Type_SD	biological product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000149145.2	SAMN00115035	Lactobacillus iners SPIN 2503V10-D	Isolation Source	biological product [ENVO:02000043]	Homo sapiens	Homo sapiens						biological product [ENVO:02000043]	environmental material	environmental material		biological product	biological/clinical product		biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD_Broad	biological/clinical product	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000149145.2	SAMN00115035	Lactobacillus iners SPIN 2503V10-D	Host	Homo sapiens	Homo sapiens	Homo sapiens						biological product [ENVO:02000043]	environmental material	environmental material		biological product	biological/clinical product		biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD	clinical sample	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000152065.3	SAMN02603739	Corynebacterium pseudotuberculosis I19	Host	bovine	bovine	Bos taurus		mastitis	diseased			mastitis abscess from cow with severe clinical mastitis in two quarters	clinical/host-associated material	clinical/host-associated material		clinical sample	clinical/host-associated material	abscess			clinical/host-associated material		absent	Israel
Isolation_Site_SD	abscess	sample_material	Sample_Type_SD	Site field contains non-anatomical context/material.	GCA_000152065.3	SAMN02603739	Corynebacterium pseudotuberculosis I19	Isolation Source	mastitis abscess from cow with severe clinical mastitis in two quarters	bovine	Bos taurus		mastitis	diseased			mastitis abscess from cow with severe clinical mastitis in two quarters	clinical/host-associated material	clinical/host-associated material		clinical sample	clinical/host-associated material	abscess			clinical/host-associated material		absent	Israel
Host_Disease_SD	diseased	health_state	Host_Health_State_SD	Host_Disease_SD should contain named diseases or defensible disease classes only.	GCA_000153605.1	SAMN00253843	Paenibacillus larvae subsp. larvae BRL-230010	Isolation Source	scales collected from a single severely diseased honey bee colony from Berkeley, CA, USA	absent	Apis mellifera		diseased	diseased			scales collected from a single severely diseased honey bee colony from Berkeley, CA, USA	clinical/host-associated material	clinical/host-associated material									absent	United States
Sample_Type_SD	biological product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000155915.2	SAMN02463685	Lactobacillus jensenii 1153	Isolation Source	biological product [ENVO:02000043]	Homo sapiens	Homo sapiens						biological product [ENVO:02000043]	environmental material	environmental material		biological product	biological/clinical product		biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD_Broad	biological/clinical product	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000155915.2	SAMN02463685	Lactobacillus jensenii 1153	Host	Homo sapiens	Homo sapiens	Homo sapiens						biological product [ENVO:02000043]	environmental material	environmental material		biological product	biological/clinical product		biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD_Broad	environmental/geologic material	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000158155.1	SAMN02436223	gamma proteobacterium NOR5-3	Isolation Source	top oxic layer of a muddy sediment core								top oxic layer of a muddy sediment core	environmental material	environmental material		core	environmental/geologic material		sediment	sediment	aquatic sediment environment		absent	Germany
Sample_Type_SD	core	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000158155.1	SAMN02436223	gamma proteobacterium NOR5-3	Isolation Source	top oxic layer of a muddy sediment core								top oxic layer of a muddy sediment core	environmental material	environmental material		core	environmental/geologic material		sediment	sediment	aquatic sediment environment		absent	Germany
Sample_Type_SD_Broad	environmental/geologic material	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000158175.1	SAMN02436313	Luminiphilus syltensis NOR5-1B	Host	absent	absent							top oxic layer of a muddy sediment core	environmental material	environmental material		core	environmental/geologic material		sediment	sediment	aquatic sediment environment		absent	Germany
Sample_Type_SD	core	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000158175.1	SAMN02436313	Luminiphilus syltensis NOR5-1B	Isolation Source	top oxic layer of a muddy sediment core	absent							top oxic layer of a muddy sediment core	environmental material	environmental material		core	environmental/geologic material		sediment	sediment	aquatic sediment environment		absent	Germany
Sample_Type_SD	biological product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000161895.2	SAMN02463727	Lactobacillus jensenii 27-2-CHN	Isolation Source	biological product [ENVO:02000043]	Homo sapiens	Homo sapiens						biological product [ENVO:02000043]	environmental material	environmental material		biological product	biological/clinical product		biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD_Broad	biological/clinical product	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000161895.2	SAMN02463727	Lactobacillus jensenii 27-2-CHN	Host	Homo sapiens	Homo sapiens	Homo sapiens						biological product [ENVO:02000043]	environmental material	environmental material		biological product	biological/clinical product		biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD_Broad	environmental material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000164925.2	SAMN00792434	Shigella dysenteriae 1617	Host	Homo sapiens	Homo sapiens	Homo sapiens						terrestrial biome [ENVO:00000446]	clinical/host-associated material	clinical/host-associated material		terrestrial environment	environmental material				terrestrial environment		1969	Guatemala
Sample_Type_SD	terrestrial environment	environment_broad_scale	Environment_Broad_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000164925.2	SAMN00792434	Shigella dysenteriae 1617	Host	Homo sapiens	Homo sapiens	Homo sapiens						terrestrial biome [ENVO:00000446]	clinical/host-associated material	clinical/host-associated material		terrestrial environment	environmental material				terrestrial environment		1969	Guatemala
Sample_Type_SD_Broad	environmental material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000165655.2	SAMN00792432	Escherichia coli 1827-70	Host	Homo sapiens	Homo sapiens	Homo sapiens						terrestrial biome [ENVO:00000446]	clinical/host-associated material	clinical/host-associated material		terrestrial environment	environmental material				terrestrial environment		1979	United States
Sample_Type_SD	terrestrial environment	environment_broad_scale	Environment_Broad_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000165655.2	SAMN00792432	Escherichia coli 1827-70	Host	Homo sapiens	Homo sapiens	Homo sapiens						terrestrial biome [ENVO:00000446]	clinical/host-associated material	clinical/host-associated material		terrestrial environment	environmental material				terrestrial environment		1979	United States
Sample_Type_SD_Broad	environmental material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000166355.1	SAMN00713562	Caldicellulosiruptor hydrothermalis 108	Host	absent	absent							terrestrial neutral geothermal spring	environmental material	environmental material		terrestrial environment	environmental material		hot spring water	water	geologic/extreme environment		absent	Russia
Sample_Type_SD	terrestrial environment	environment_broad_scale	Environment_Broad_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000166355.1	SAMN00713562	Caldicellulosiruptor hydrothermalis 108	Host	absent	absent							terrestrial neutral geothermal spring	environmental material	environmental material		terrestrial environment	environmental material		hot spring water	water	geologic/extreme environment		absent	Russia
Isolation_Source_SD_Broad	plant-associated material	host_context	Host_Context_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000166515.1	SAMN02470777	Pseudomonas fluorescens WH6	Host	absent	absent							wheat rhizosphere	plant-associated material	plant-associated material				plant root/rhizosphere	soil	soil	plant-associated environment		absent	United States
Sample_Type_SD	kimchi	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000166715.2	SAMN02470198	Leuconostoc gelidum subsp. gelidum KCTC 3527	Isolation Source	kimchi	absent							kimchi	plant/produce food product	food		kimchi	fermented food						absent	absent
Sample_Type_SD	kimchi	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000166735.2	SAMN02472184	Leuconostoc inhae KCTC 3774	Isolation Source	kimchi	absent							kimchi	plant/produce food product	food		kimchi	fermented food						absent	absent
Sample_Type_SD	clinical sample	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000167615.1	SAMN02363423	Streptococcus pneumoniae TIGR4	Host	Homo sapiens	Homo sapiens	Homo sapiens			patient			clinical isolate from the blood of a 30 year old patient	clinical/host-associated material	clinical/host-associated material		clinical sample	clinical/host-associated material				clinical/host-associated material		absent	Norway
Isolation_Source_SD_Broad	environmental/geologic material	unresolved	admin_review	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000168735.1	SAMN02471028	Candidatus Endoriftia persephone str. Hot96_1+Hot96_2	Host	Riftia pachyptila	Riftia pachyptila	Riftia pachyptila						collected between 9deg N and 13deg N of the East Pacific Rise (EPR) hydrothermal vent system during the HOT-96 cruise	collected between 9deg N and 13deg N of the East Pacific Rise (EPR) hydrothermal vent system during the HOT-96 cruise	environmental/geologic material							geologic/extreme environment		1996	absent
Sample_Type_SD_Broad	built environment	environment_broad_scale	Environment_Broad_Scale_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000170515.1	SAMN02470660	Burkholderia pseudomallei B7210	Host	absent	absent						lower respiratory tract/bronch/pleural cavity	empyema drain in an infected lung in South East Asia	clinical/host-associated material	clinical/host-associated material		drain	built environment	lower respiratory tract/bronch/pleural cavity					absent	absent
Sample_Type_SD	drain	environment_local_scale	Environment_Local_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000170515.1	SAMN02470660	Burkholderia pseudomallei B7210	Isolation Source	empyema drain in an infected lung in South East Asia	absent						lower respiratory tract/bronch/pleural cavity	empyema drain in an infected lung in South East Asia	clinical/host-associated material	clinical/host-associated material		drain	built environment	lower respiratory tract/bronch/pleural cavity					absent	absent
Sample_Type_SD_Broad	plant-associated material	host_context	Host_Context_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000171235.2	SAMN02256391	Geminisphaera colitermitum TAV2	Host	Termite	Termite	Termitoidae					gastrointestinal tract	Gut of a wood-feeding termite	clinical/host-associated material	clinical/host-associated material		wood	plant-associated material	gastrointestinal tract				gut/fecal local context	absent	absent
Sample_Type_SD	wood	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000171235.2	SAMN02256391	Geminisphaera colitermitum TAV2	Isolation Source	Gut of a wood-feeding termite	Termite	Termitoidae					gastrointestinal tract	Gut of a wood-feeding termite	clinical/host-associated material	clinical/host-associated material		wood	plant-associated material	gastrointestinal tract				gut/fecal local context	absent	absent
Sample_Type_SD	microbial isolate	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000172395.1	SAMN00000299	Pseudomonas aeruginosa PAb1	Host	Homo sapiens	Homo sapiens	Homo sapiens			patient			clininal isolate from frostbite patient				microbial isolate	culture/isolate						absent	absent
Sample_Type_SD_Broad	culture/isolate	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000172395.1	SAMN00000299	Pseudomonas aeruginosa PAb1	Host	Homo sapiens	Homo sapiens	Homo sapiens			patient			clininal isolate from frostbite patient				microbial isolate	culture/isolate						absent	absent
Host_Disease_SD	healthy/no disease reported	health_state	Host_Health_State_SD	Host_Disease_SD should contain named diseases or defensible disease classes only.	GCA_000172615.1	SAMN02471501	Enterococcus faecium E980	Host	Homo sapiens	Homo sapiens	Homo sapiens		healthy/no disease reported	healthy			healthy human volunteer											1998	Netherlands
Host_Health_State_SD	hospitalized	care_setting	Host_Care_Setting_SD	Care setting should move to Host_Care_Setting_SD.	GCA_000172655.1	SAMN02471502	Enterococcus faecium E1071	Isolation Source	feces of a hospitalized patient	Homo sapiens	Homo sapiens			hospitalized			feces of a hospitalized patient				feces/stool	feces/stool				host-associated gut/oral/fecal environment	gut/fecal local context	2000	Netherlands
Host_Health_State_SD	hospitalized	care_setting	Host_Care_Setting_SD	Care setting should move to Host_Care_Setting_SD.	GCA_000172675.1	SAMN02471503	Enterococcus faecium E1162	Isolation Source	bloodstream infection of a hospitalized patient	Homo sapiens	Homo sapiens		sepsis/bacteremia	hospitalized			bloodstream infection of a hospitalized patient	clinical/host-associated material	clinical/host-associated material		bloodstream	clinical fluid/material						1997	France
Sample_Type_SD	bloodstream	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000172675.1	SAMN02471503	Enterococcus faecium E1162	Isolation Source	bloodstream infection of a hospitalized patient	Homo sapiens	Homo sapiens		sepsis/bacteremia	hospitalized			bloodstream infection of a hospitalized patient	clinical/host-associated material	clinical/host-associated material		bloodstream	clinical fluid/material						1997	France
Sample_Type_SD	bloodstream	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000172835.1	SAMN02471514	Enterococcus faecium E1636	Isolation Source	bloodstream infection	Homo sapiens	Homo sapiens		sepsis/bacteremia	diseased			bloodstream infection	clinical/host-associated material	clinical/host-associated material		bloodstream	clinical fluid/material						1961	Netherlands
Sample_Type_SD	catheter	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000172875.1	SAMN02471504	Enterococcus faecium E1679	Isolation Source	vascular catheter tip	Homo sapiens	Homo sapiens						vascular catheter tip	clinical/host-associated material	clinical/host-associated material		catheter	medical device						1998	Brazil
Sample_Type_SD_Broad	medical device	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000172875.1	SAMN02471504	Enterococcus faecium E1679	Host	Homo sapiens	Homo sapiens	Homo sapiens						vascular catheter tip	clinical/host-associated material	clinical/host-associated material		catheter	medical device						1998	Brazil
Host_Health_State_SD	hospitalized	care_setting	Host_Care_Setting_SD	Care setting should move to Host_Care_Setting_SD.	GCA_000172915.1	SAMN02471515	Enterococcus faecium U0317	Isolation Source	urinary tract infection of a hospitalized patient	Homo sapiens	Homo sapiens		urinary tract infection	hospitalized			urinary tract infection of a hospitalized patient	urine	clinical/host-associated material									2005	Netherlands
Isolation_Source_SD	urine	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000172915.1	SAMN02471515	Enterococcus faecium U0317	Host	Homo sapiens	Homo sapiens	Homo sapiens		urinary tract infection	hospitalized			urinary tract infection of a hospitalized patient	urine	clinical/host-associated material									2005	Netherlands
Sample_Type_SD	microbial isolate	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000173395.1	SAMN02471436	Acinetobacter baumannii AB900	Host	Homo sapiens	Homo sapiens	Homo sapiens					skin/body surface	perineal isolate	clinical/host-associated material	clinical/host-associated material		microbial isolate	culture/isolate	skin/body surface					2003	United States
Sample_Type_SD_Broad	culture/isolate	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000173395.1	SAMN02471436	Acinetobacter baumannii AB900	Host	Homo sapiens	Homo sapiens	Homo sapiens					skin/body surface	perineal isolate	clinical/host-associated material	clinical/host-associated material		microbial isolate	culture/isolate	skin/body surface					2003	United States
