field	standardized_value	semantic_class	compatible_with_field_contract	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	built environment	environment_broad_scale	true	109	Broad environmental setting.	environment_broad_scale
Environment_Local_Scale_SD	gut/fecal local context	unresolved	false	407314	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	lake	environment_local_scale	true	42079	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	healthcare facility	environment_local_scale	true	26917	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	coastal area	unresolved	false	17767	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	hot spring	environment_local_scale	true	16510	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	activated sludge	environment_medium	false	13130	Environmental medium.	environment_local_scale
Environment_Local_Scale_SD	groundwater	environment_medium	false	12834	Environmental medium.	environment_local_scale
Environment_Local_Scale_SD	river	environment_local_scale	true	12246	Freshwater local feature.	environment_local_scale
Environment_Local_Scale_SD	wetland	unresolved	false	10771	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	stream	environment_local_scale	true	8963	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	farm	environment_local_scale	true	7259	Agricultural local feature.	environment_local_scale
Environment_Local_Scale_SD	urban area	unresolved	false	6195	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	agricultural land	unresolved	false	5599	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	estuary	unresolved	false	4819	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	cold seep	unresolved	false	4658	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	pond	environment_local_scale	true	3998	Freshwater local feature.	environment_local_scale
Environment_Local_Scale_SD	intensive care unit	care_setting	false	2869	Care setting term.	environment_local_scale
Environment_Local_Scale_SD	cave	environment_local_scale	true	2697	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	laboratory	environment_local_scale	true	2481	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	agricultural environment	environment_broad_scale	false	1441	Broad environmental setting.	environment_local_scale
Environment_Local_Scale_SD	food processing facility	environment_local_scale	true	1415	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	dairy farm	environment_local_scale	true	1225	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	glacier	unresolved	false	1175	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	canal	environment_local_scale	true	952	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	subsurface shale	unresolved	false	881	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	long-term care facility	care_setting	false	843	Care setting term.	environment_local_scale
Environment_Local_Scale_SD	irrigation canal	environment_local_scale	true	840	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	non-food-contact surface	study_group	false	809	Study group term.	environment_local_scale
Environment_Local_Scale_SD	surface water layer	environment_medium	false	795	Environmental medium.	environment_local_scale
Environment_Local_Scale_SD	agricultural field	unresolved	false	579	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	rumen/gut content	sample_material	false	474	Physical specimen/material.	environment_local_scale
Environment_Local_Scale_SD	food-contact surface	study_group	false	373	Study group term.	environment_local_scale
Environment_Local_Scale_SD	cleanroom floor	environment_local_scale	true	325	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	cleanroom	environment_local_scale	true	181	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	environmental surface	unresolved	false	174	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	agricultural ecosystem	unresolved	false	127	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	mariculture biome	unresolved	false	43	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	agricultural feature	unresolved	false	25	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	healthcare facility surface	environment_local_scale	true	5	Local environmental/facility feature.	environment_local_scale
Environment_Local_Scale_SD	biofilter	unresolved	false	3	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	hypolithic environment	unresolved	false	3	No deterministic semantic class assigned by audit rules.	environment_local_scale
Environment_Local_Scale_SD	built environment surface	environment_broad_scale	false	1	Broad environmental setting.	environment_local_scale
Environment_Medium_SD	soil	environment_medium	true	97507	Environmental medium.	environment_medium
Environment_Medium_SD	sediment	environment_medium	true	64607	Environmental medium.	environment_medium
Environment_Medium_SD	marine	unresolved	false	40376	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	wastewater	environment_medium	true	38809	Environmental medium.	environment_medium
Environment_Medium_SD	agricultural/food-production water	environment_medium	true	34580	Environmental medium.	environment_medium
Environment_Medium_SD	air	environment_medium	true	33033	Environmental medium.	environment_medium
Environment_Medium_SD	seawater	environment_medium	true	30305	Environmental medium.	environment_medium
Environment_Medium_SD	freshwater	environment_medium	true	24058	Environmental medium.	environment_medium
Environment_Medium_SD	lake water	environment_medium	true	17515	Environmental medium.	environment_medium
Environment_Medium_SD	groundwater	environment_medium	true	11342	Environmental medium.	environment_medium
Environment_Medium_SD	activated sludge	environment_medium	true	8104	Environmental medium.	environment_medium
Environment_Medium_SD	environmental material	source_context	false	7929	Broad source/sample context.	environment_medium
Environment_Medium_SD	biofilm	environment_medium	true	6560	Environmental medium.	environment_medium
Environment_Medium_SD	estuarine water	environment_medium	true	6379	Environmental medium.	environment_medium
Environment_Medium_SD	river water	environment_medium	true	6305	Environmental medium.	environment_medium
Environment_Medium_SD	marine sediment	environment_medium	true	6246	Environmental medium.	environment_medium
Environment_Medium_SD	sewage	environment_medium	true	5921	Environmental medium.	environment_medium
Environment_Medium_SD	water	environment_medium	true	5560	Environmental medium.	environment_medium
Environment_Medium_SD	tidal flat sediment	environment_medium	true	5263	Environmental medium.	environment_medium
Environment_Medium_SD	manure	sample_material	false	4625	Agricultural fecal material; not anatomical site.	environment_medium
Environment_Medium_SD	leachate	unresolved	false	3937	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	sludge	environment_medium	true	3204	Environmental medium.	environment_medium
Environment_Medium_SD	environmental water	environment_medium	true	2924	Environmental medium.	environment_medium
Environment_Medium_SD	surface water	environment_medium	true	2882	Environmental medium.	environment_medium
Environment_Medium_SD	laboratory	environment_local_scale	false	2251	Local environmental/facility feature.	environment_medium
Environment_Medium_SD	culture medium	sample_processing	false	2229	Processing or molecular preparation term.	environment_medium
Environment_Medium_SD	pond water	environment_medium	true	2221	Environmental medium.	environment_medium
Environment_Medium_SD	hot spring water	environment_medium	true	1989	Environmental medium.	environment_medium
Environment_Medium_SD	saline/brine water	environment_medium	true	1919	Environmental medium.	environment_medium
Environment_Medium_SD	hospital wastewater	environment_medium	true	1445	Environmental medium.	environment_medium
Environment_Medium_SD	built-environment water	environment_medium	true	1374	Environmental medium.	environment_medium
Environment_Medium_SD	sea ice	unresolved	false	1317	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	healthcare facility	environment_local_scale	false	1029	Local environmental/facility feature.	environment_medium
Environment_Medium_SD	drinking/distribution water	environment_medium	true	996	Environmental medium.	environment_medium
Environment_Medium_SD	water column	environment_medium	true	972	Environmental medium.	environment_medium
Environment_Medium_SD	hospital sewage	environment_medium	true	942	Environmental medium.	environment_medium
Environment_Medium_SD	brackish water	environment_medium	true	852	Environmental medium.	environment_medium
Environment_Medium_SD	subsurface shale	unresolved	false	847	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	cryoconite	unresolved	false	835	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	biological product	unresolved	false	826	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	biological waste material	unresolved	false	796	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	canal water	environment_medium	true	741	Environmental medium.	environment_medium
Environment_Medium_SD	chemically distinct water	environment_medium	true	634	Environmental medium.	environment_medium
Environment_Medium_SD	spring water	environment_medium	true	625	Environmental medium.	environment_medium
Environment_Medium_SD	environmental sample	metadata_descriptor	false	463	Generic descriptor or missing value.	environment_medium
Environment_Medium_SD	glacier	unresolved	false	434	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	compost	environment_medium	true	395	Environmental medium.	environment_medium
Environment_Medium_SD	built environment surface	environment_broad_scale	false	384	Broad environmental setting.	environment_medium
Environment_Medium_SD	dust	environment_medium	true	380	Environmental medium.	environment_medium
Environment_Medium_SD	surface/open water	environment_medium	true	379	Environmental medium.	environment_medium
Environment_Medium_SD	agricultural organic material	unresolved	false	297	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	natural/free-living	unresolved	false	290	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	irrigation water	environment_medium	true	261	Environmental medium.	environment_medium
Environment_Medium_SD	agricultural/aquaculture water	environment_medium	true	217	Environmental medium.	environment_medium
Environment_Medium_SD	geologic/produced water	environment_medium	true	153	Environmental medium.	environment_medium
Environment_Medium_SD	metadata descriptor/non-source	metadata_descriptor	false	146	Generic descriptor or missing value.	environment_medium
Environment_Medium_SD	produced water	environment_medium	true	121	Environmental medium.	environment_medium
Environment_Medium_SD	salt marsh sediment	environment_medium	true	116	Environmental medium.	environment_medium
Environment_Medium_SD	ice water	environment_medium	true	100	Environmental medium.	environment_medium
Environment_Medium_SD	Oyster pond	environment_local_scale	false	86	Local environmental/facility feature.	environment_medium
Environment_Medium_SD	mud/sediment	environment_medium	true	77	Environmental medium.	environment_medium
Environment_Medium_SD	drainage/runoff water	environment_medium	true	51	Environmental medium.	environment_medium
Environment_Medium_SD	domestic wastewater	environment_medium	true	29	Environmental medium.	environment_medium
Environment_Medium_SD	mine water	environment_medium	true	27	Environmental medium.	environment_medium
Environment_Medium_SD	food-processing water	environment_medium	true	23	Environmental medium.	environment_medium
Environment_Medium_SD	cave/cryoconite water	environment_medium	true	22	Environmental medium.	environment_medium
Environment_Medium_SD	pond sediment	environment_medium	true	22	Environmental medium.	environment_medium
Environment_Medium_SD	drainage water	environment_medium	true	14	Environmental medium.	environment_medium
Environment_Medium_SD	wastewater/sewage treatment plant	environment_medium	true	11	Environmental medium.	environment_medium
Environment_Medium_SD	water/sediment mixture	environment_medium	true	10	Environmental medium.	environment_medium
Environment_Medium_SD	running water	environment_medium	true	8	Environmental medium.	environment_medium
Environment_Medium_SD	land crag	unresolved	false	6	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	stormwater	unresolved	false	6	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	aquarium/aquaculture water	environment_medium	true	4	Environmental medium.	environment_medium
Environment_Medium_SD	landfill/leachate water	environment_medium	true	3	Environmental medium.	environment_medium
Environment_Medium_SD	retting water	environment_medium	true	3	Environmental medium.	environment_medium
Environment_Medium_SD	mine tailings	unresolved	false	2	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	healthcare facility surface	environment_local_scale	false	1	Local environmental/facility feature.	environment_medium
Environment_Medium_SD	microplastic/plastic	unresolved	false	1	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD	river sediment	environment_medium	true	1	Environmental medium.	environment_medium
Environment_Medium_SD_Broad	water	environment_medium	true	192665	Environmental medium.	environment_medium
Environment_Medium_SD_Broad	soil	environment_medium	true	97507	Environmental medium.	environment_medium
Environment_Medium_SD_Broad	sediment	environment_medium	true	76342	Environmental medium.	environment_medium
Environment_Medium_SD_Broad	environmental material	source_context	false	42562	Broad source/sample context.	environment_medium
Environment_Medium_SD_Broad	wastewater/sewage	environment_medium	true	19627	Environmental medium.	environment_medium
Environment_Medium_SD_Broad	biofilm	environment_medium	true	6560	Environmental medium.	environment_medium
Environment_Medium_SD_Broad	agricultural fecal material	unresolved	false	4625	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD_Broad	laboratory environment	environment_local_scale	false	2251	Local environmental/facility feature.	environment_medium
Environment_Medium_SD_Broad	culture medium	sample_processing	false	2229	Processing or molecular preparation term.	environment_medium
Environment_Medium_SD_Broad	built environment	environment_broad_scale	false	1758	Broad environmental setting.	environment_medium
Environment_Medium_SD_Broad	healthcare-associated environment	environment_broad_scale	false	1030	Broad environmental setting.	environment_medium
Environment_Medium_SD_Broad	biological/clinical product	source_context	false	826	Broad source/sample context.	environment_medium
Environment_Medium_SD_Broad	environmental/geologic material	unresolved	false	434	No deterministic semantic class assigned by audit rules.	environment_medium
Environment_Medium_SD_Broad	surface sample	metadata_descriptor	false	379	Generic descriptor or missing value.	environment_medium
Environment_Medium_SD_Broad	metadata descriptor / non-source	metadata_descriptor	false	146	Generic descriptor or missing value.	environment_medium
Environment_Medium_SD_Broad	clinical fluid/material	sample_material	false	65	Broad clinical fluid or purulent material class.	environment_medium
Host_Anatomical_Site_SD	gastrointestinal tract	anatomical_site	true	103923	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	rectum/perianal region	anatomical_site	true	36352	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	feces/stool	sample_material	false	23405	Physical specimen/material.	anatomical_site
Host_Anatomical_Site_SD	skin/body surface	anatomical_site	true	18793	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	lower respiratory tract/bronch/pleural cavity	anatomical_site	true	17996	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	nasal cavity/sinus/upper respiratory tract	anatomical_site	true	17926	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	oral cavity	anatomical_site	true	14437	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	cecal/gut content	sample_material	false	9821	Physical specimen/material.	anatomical_site
Host_Anatomical_Site_SD	urogenital tract	anatomical_site	true	6968	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	cervix	anatomical_site	true	1165	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	breast	anatomical_site	true	972	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	vagina	anatomical_site	true	675	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	tonsil/oropharyngeal site	anatomical_site	true	638	Anatomical site class.	anatomical_site
Host_Anatomical_Site_SD	cloaca	anatomical_site	true	326	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	uterus	anatomical_site	true	226	Anatomical site or plant part.	anatomical_site
Host_Anatomical_Site_SD	organ/tissue site	anatomical_site	true	18	Anatomical site class, not a specimen material.	anatomical_site
Host_Context_SD	fish	host_context	true	1401	Host-associated context.	host_context
Host_Context_SD	Escherichia coli/lab bacterial culture	sample_processing	false	364	Processing or molecular preparation term.	host_context
Host_Context_SD	algae	unresolved	false	313	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	pet/companion animal	host_context	true	253	Host-associated context.	host_context
Host_Context_SD	lab bacterial strain/culture	sample_processing	false	165	Processing or molecular preparation term.	host_context
Host_Context_SD	lichen	unresolved	false	46	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	microbial self/lab culture descriptor	sample_processing	false	28	Processing or molecular preparation term.	host_context
Host_Context_SD	zooplankton	unresolved	false	18	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	green algae	unresolved	false	6	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	marine invertebrate	unresolved	false	5	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	invertebrate	unresolved	false	4	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	fungus	unresolved	false	2	No deterministic semantic class assigned by audit rules.	host_context
Host_Context_SD	slime mold	unresolved	false	1	No deterministic semantic class assigned by audit rules.	host_context
Host_Disease_SD	infectious disease	disease	true	6364	Disease or disease class.	disease
Host_Disease_SD	Clostridioides difficile infection	disease	true	5801	Disease or disease class.	disease
Host_Disease_SD	healthy/no disease reported	health_state	false	4589	Health state/no disease report, not a disease.	disease
Host_Disease_SD	tuberculosis	disease	true	3724	Disease or disease class.	disease
Host_Disease_SD	cystic fibrosis	disease	true	3092	Disease or disease class.	disease
Host_Disease_SD	diarrheal disease	disease	true	3025	Disease or disease class.	disease
Host_Disease_SD	sepsis/bacteremia	disease	true	2568	Disease or disease class.	disease
Host_Disease_SD	listeriosis	disease	true	2527	Disease or disease class.	disease
Host_Disease_SD	urinary tract infection	disease	true	2360	Disease or disease class.	disease
Host_Disease_SD	pertussis	disease	true	1674	Disease or disease class.	disease
Host_Disease_SD	pneumonia	disease	true	1551	Disease or disease class.	disease
Host_Disease_SD	skin and soft tissue infection	disease	true	1393	Disease or disease class.	disease
Host_Disease_SD	gastritis	disease	true	1374	Disease or disease class.	disease
Host_Disease_SD	neoplasm/cancer	disease	true	1235	Disease or disease class.	disease
Host_Disease_SD	otitis media	disease	true	1090	Disease or disease class.	disease
Host_Disease_SD	diseased	health_state	false	1071	Generic health state; not a named disease.	disease
Host_Disease_SD	prostatic neoplasm	disease	true	965	Disease or disease class.	disease
Host_Disease_SD	obesity	disease	true	893	Disease or disease class.	disease
Host_Disease_SD	respiratory disease	disease	true	843	Disease or disease class.	disease
Host_Disease_SD	legionellosis	disease	true	761	Disease or disease class.	disease
Host_Disease_SD	mastitis	disease	true	742	Disease or disease class.	disease
Host_Disease_SD	breast neoplasm	disease	true	706	Disease or disease class.	disease
Host_Disease_SD	Buruli ulcer	disease	true	624	Disease or disease class.	disease
Host_Disease_SD	healthcare-associated infection	disease	true	603	Disease or disease class.	disease
Host_Disease_SD	tularemia	disease	true	591	Disease or disease class.	disease
Host_Disease_SD	yersiniosis	disease	true	513	Disease or disease class.	disease
Host_Disease_SD	syphilis	disease	true	495	Disease or disease class.	disease
Host_Disease_SD	brucellosis	disease	true	477	Disease or disease class.	disease
Host_Disease_SD	melioidosis	disease	true	468	Disease or disease class.	disease
Host_Disease_SD	gastroenteritis	disease	true	450	Disease or disease class.	disease
Host_Disease_SD	diphtheria	disease	true	426	Disease or disease class.	disease
Host_Disease_SD	respiratory infection	disease	true	424	Disease or disease class.	disease
Host_Disease_SD	leptospirosis	disease	true	398	Disease or disease class.	disease
Host_Disease_SD	Lyme disease	disease	true	350	Disease or disease class.	disease
Host_Disease_SD	colitis	disease	true	346	Disease or disease class.	disease
Host_Disease_SD	diabetes mellitus	disease	true	342	Disease or disease class.	disease
Host_Disease_SD	lung neoplasm	disease	true	342	Disease or disease class.	disease
Host_Disease_SD	scleroderma	disease	true	302	Disease or disease class.	disease
Host_Disease_SD	intra-abdominal infection	disease	true	280	Disease or disease class.	disease
Host_Disease_SD	endocarditis	disease	true	264	Disease or disease class.	disease
Host_Disease_SD	glaucoma	disease	true	237	Disease or disease class.	disease
Host_Disease_SD	bronchiectasis	disease	true	228	Disease or disease class.	disease
Host_Disease_SD	wound infection	disease	true	211	Disease or disease class.	disease
Host_Disease_SD	leukemia	disease	true	188	Disease or disease class.	disease
Host_Disease_SD	periodontal disease	disease	true	188	Disease or disease class.	disease
Host_Disease_SD	osteomyelitis	disease	true	164	Disease or disease class.	disease
Host_Disease_SD	abortion/reproductive disorder	disease	true	146	Disease or disease class.	disease
Host_Disease_SD	skin infection	disease	true	132	Disease or disease class.	disease
Host_Disease_SD	meningitis	disease	true	97	Disease or disease class.	disease
Host_Disease_SD	adenocarcinoma	disease	true	71	Disease or disease class.	disease
Host_Disease_SD	inflammatory bowel disease	disease	true	54	Disease or disease class.	disease
Host_Disease_SD	surgical site infection	disease	true	42	Disease or disease class.	disease
Host_Disease_SD	alcohol-related disorder	disease	true	8	Disease or disease class.	disease
Host_Disease_SD	traumatic brain injury	disease	true	7	Disease or disease class.	disease
Host_Disease_SD	dental caries	disease	true	5	Disease or disease class.	disease
Host_Disease_SD	lymphoma	disease	true	4	Disease or disease class.	disease
Host_Disease_SD	salmonellosis	disease	true	3	Disease or disease class.	disease
Host_Disease_SD	secondary infection	disease	true	2	Disease or disease class.	disease
Host_Disease_SD	plant disease, unspecified	disease	true	1	Disease or disease class.	disease
Host_Health_State_SD	diseased	health_state	true	53683	Generic health state; not a named disease.	health_state
Host_Health_State_SD	patient	host_context	false	7540	Patient is a clinical human subject/context, not a health state.	health_state
Host_Health_State_SD	healthy	health_state	true	3465	Health state.	health_state
Host_Health_State_SD	hospitalized	care_setting	false	1183	Hospitalization/care setting.	health_state
Host_Health_State_SD	healthy/control	study_group	false	1077	Study group/control signal; needs split if health is explicit.	health_state
Host_Health_State_SD	carrier	colonization_status	false	922	Carrier/colonization status.	health_state
Host_Health_State_SD	healthy/no disease reported	health_state	true	675	Health state/no disease report, not a disease.	health_state
Host_Health_State_SD	non-hospitalized	care_setting	false	497	Hospitalization/care setting.	health_state
Host_Health_State_SD	asymptomatic	health_state	true	465	Host health state.	health_state
Host_Health_State_SD	dead	vital_status	false	289	Vital status.	health_state
Host_Health_State_SD	symptomatic	health_state	true	224	Host health state.	health_state
Host_Health_State_SD	exposure/contact context	study_group	false	95	Study group term.	health_state
Host_Health_State_SD	specific pathogen free	host_context	false	56	Husbandry/production context, not health state.	health_state
Host_Health_State_SD	diseased/patient	health_state	true	50	Host health state.	health_state
Host_Health_State_SD	exacerbation	disease_stage	false	48	Disease stage.	health_state
Host_Health_State_SD	alive	vital_status	false	40	Vital status.	health_state
Host_Health_State_SD	colonized	colonization_status	false	18	Colonization status.	health_state
Host_Health_State_SD	convalescent	disease_stage	false	1	Disease stage.	health_state
Host_Production_Context_SD	sow	unresolved	false	1046	No deterministic semantic class assigned by audit rules.	host_context
Host_Production_Context_SD	steer	unresolved	false	1021	No deterministic semantic class assigned by audit rules.	host_context
Host_Production_Context_SD	market swine	environment_local_scale	false	836	Local environmental/facility feature.	host_context
Host_Production_Context_SD	heifer	unresolved	false	741	No deterministic semantic class assigned by audit rules.	host_context
Host_SD	Homo sapiens	host_taxon	true	1202434	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Gallus gallus	host_taxon	true	116591	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Bos taurus	host_taxon	true	77966	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Sus scrofa	host_taxon	true	51035	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Mus musculus	host_taxon	true	26530	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Meleagris gallopavo	host_taxon	true	23569	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Canis lupus familiaris	unresolved	false	16529	No deterministic semantic class assigned by audit rules.	host_taxon
Host_SD	Ovis aries	host_taxon	true	13712	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Sus scrofa domesticus	unresolved	false	12638	No deterministic semantic class assigned by audit rules.	host_taxon
Host_SD	Aves	host_taxon	true	8164	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Equus caballus	host_taxon	true	7033	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Metazoa	host_taxon	true	5002	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Capra hircus	host_taxon	true	4854	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Bos grunniens	host_taxon	true	4386	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Porifera	host_taxon	true	3396	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Pantholops hodgsonii	host_taxon	true	3312	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Felis catus	host_taxon	true	3239	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Macropodidae	host_taxon	true	2753	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Anas platyrhynchos	host_taxon	true	2586	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Viridiplantae	host_taxon	true	2554	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Oryza sativa	host_taxon	true	2400	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Zea mays	host_taxon	true	2058	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Solanum lycopersicum	host_taxon	true	1985	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Oryctolagus cuniculus	host_taxon	true	1853	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Macrocystis pyrifera	host_taxon	true	1821	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Cervidae	host_taxon	true	1797	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Actinopterygii	host_taxon	true	1796	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Solanum tuberosum	host_taxon	true	1600	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
Host_SD	Bubalus bubalis	host_taxon	true	1532	Looks like a taxonomic label; verify against Host_SD context.	host_taxon
