current_field	standardized_value	semantic_class	affected_rows	proposed_destination	decision	confidence	rationale	source_flags
Sample_Type_SD	environmental swab	collection_device	12999	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	environmental/geologic material	unresolved	12244	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	single cell	sample_processing	11833	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD_Broad	single cell	sample_processing	11833	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	microbial isolate	unresolved	11428	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	culture/isolate	sample_processing	11428	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	respiratory sample	metadata_descriptor	10983	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Anatomical_Site_SD	cecal/gut content	sample_material	9821	Sample_Type_SD	review_required	audit_suggested	Site field contains non-anatomical context/material.	conflicting_anatomical_site_fields
Isolation_Source_SD	blood	sample_material	9729	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	material_values_in_isolation_source
Isolation_Source_SD_Broad	clinical fluid/material	sample_material	9023	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	ambiguous_broad_source_categories|material_values_in_isolation_source
Isolation_Source_SD	clinical fluid/material	sample_material	9021	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	material_values_in_isolation_source
Sample_Type_SD	laboratory	environment_local_scale	8034	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	laboratory environment	environment_local_scale	8034	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	water	environment_medium	7606	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	respiratory sample	metadata_descriptor	7542	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Health_State_SD	patient	host_context	7540	Host_Context_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	non_health_values_in_host_health_state
Sample_Type_SD	nasal swab	collection_device	5989	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	swab	collection_device	5503	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	stream	environment_local_scale	5416	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	pure/single culture	sample_processing	5271	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Isolation_Site_SD	cerebrospinal fluid	sample_material	5264	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Isolation_Source_SD_Broad	water	environment_medium	5148	Environment_Medium_SD	review_required	audit_suggested	Broad source category mixes non-source semantic classes; document or migrate.	ambiguous_broad_source_categories
Sample_Type_SD	mixed culture	sample_processing	4790	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD	bacterial culture	sample_processing	4744	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Host_Disease_SD	healthy/no disease reported	health_state	4589	Host_Health_State_SD	review_required	audit_suggested	Host_Disease_SD should contain named diseases or defensible disease classes only.	non_disease_values_in_host_disease
Isolation_Site_SD	manure	sample_material	4577	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD	perianal/anal swab	collection_device	4462	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale	4379	Environment_Broad_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	plant-associated material	host_context	4349	Host_Context_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	drainage	unresolved	4174	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Site_SD	abscess	sample_material	4086	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD_Broad	agricultural fecal material	unresolved	4019	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	host-associated context	source_context	4000	Isolation_Source_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cold seep	unresolved	3866	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	wastewater/organic waste	environment_medium	3760	Environment_Medium_SD	review_required	audit_suggested	Broad source category mixes non-source semantic classes; document or migrate.	ambiguous_broad_source_categories
Sample_Type_SD	farm	environment_local_scale	3734	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	sponge	collection_device	3554	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	surface/sample collection material	metadata_descriptor	3554	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Site_SD	gut content	sample_material	3257	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD_Broad	built environment	environment_broad_scale	2990	Environment_Broad_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	deep-sea hydrothermal deposit	unresolved	2894	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD	urine	sample_material	2891	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	material_values_in_isolation_source
Isolation_Source_SD_Broad	environmental/geologic material	unresolved	2831	admin_review	review_required	audit_suggested	Broad source category mixes non-source semantic classes; document or migrate.	ambiguous_broad_source_categories
Sample_Type_SD_Broad	wastewater/sewage	environment_medium	2786	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	broiler	unresolved	2751	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Site_SD	pus	sample_material	2645	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD	wound swab	collection_device	2401	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	fecal/stool swab	collection_device	2278	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	catheter	collection_device	2137	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	medical device	unresolved	2137	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Site_SD	plant-associated material	host_context	2016	Host_Context_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	non_site_values_in_isolation_site
Sample_Type_SD	enrichment culture	sample_processing	1973	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD	clinical material	source_context	1956	Isolation_Source_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	secretion	unresolved	1917	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	spore release material	unresolved	1793	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	DNA extract	sample_processing	1792	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD_Broad	molecular extract	sample_processing	1792	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cave biofilm	environment_medium	1716	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	drain	environment_local_scale	1546	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	anaerobic digester	unresolved	1532	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	wastewater/organic waste	environment_medium	1532	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	skin/body-surface swab	collection_device	1517	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cloacal swab	collection_device	1483	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	nodule	unresolved	1462	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	surveillance swab	collection_device	1402	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	skin swab	collection_device	1333	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	sink	environment_local_scale	1323	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	saline water	environment_medium	1316	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	ice core section from central arctic ocean	unresolved	1201	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	hospital wastewater	environment_medium	1185	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Host_Health_State_SD	hospitalized	care_setting	1183	Host_Care_Setting_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	care_setting_values_in_health_state|non_health_values_in_host_health_state
Sample_Type_SD	bloodstream	unresolved	1123	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Health_State_SD	healthy/control	study_group	1077	Host_Study_Group_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	non_health_values_in_host_health_state|study_group_values_in_health_state
Host_Disease_SD	diseased	health_state	1071	Host_Health_State_SD	review_required	audit_suggested	Host_Disease_SD should contain named diseases or defensible disease classes only.	non_disease_values_in_host_disease
Sample_Type_SD	oral/oropharyngeal swab	collection_device	1069	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	core	unresolved	1049	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	culture	sample_processing	1041	Sample_Processing_SD	review_required	audit_suggested	Broad source category mixes non-source semantic classes; document or migrate.	ambiguous_broad_source_categories
Sample_Type_SD	microbial culture	sample_processing	957	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD	rectovaginal site	unresolved	933	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Health_State_SD	carrier	colonization_status	922	Host_Colonization_Status_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	colonization_values_in_health_state|non_health_values_in_host_health_state
Sample_Type_SD	hospital sewage	environment_medium	913	Environment_Medium_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	salmon	unresolved	878	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	terrestrial environment	environment_broad_scale	845	Environment_Broad_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	long-term care facility	care_setting	841	Host_Care_Setting_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	healthcare-associated environment	environment_broad_scale	841	Environment_Broad_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	leaves	unresolved	819	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	surface layer	unresolved	797	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	food/animal-production swab	collection_device	796	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	produced fluids from hydraulically fractured shales	unresolved	782	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	glacier	unresolved	736	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	vaginal swab	collection_device	736	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	anaerobic bioreactor effluent	unresolved	688	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	urogenital swab	collection_device	669	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	gill	unresolved	665	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	ear swab	collection_device	658	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	oropharyngeal/throat swab	collection_device	657	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	dairy farm	environment_local_scale	645	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	ice cream	unresolved	605	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	potato	unresolved	596	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	wood	unresolved	582	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	deciduous forest	unresolved	570	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cloacal sample	metadata_descriptor	533	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	cloacal sample	metadata_descriptor	533	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	enoki mushroom	unresolved	522	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	kratom	unresolved	520	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Health_State_SD	non-hospitalized	care_setting	497	Host_Care_Setting_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	care_setting_values_in_health_state|non_health_values_in_host_health_state
Sample_Type_SD	ready-to-eat product	unresolved	497	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cubital fossa	anatomical_site	487	Host_Anatomical_Site_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	rectal/cloacal/perianal swab	collection_device	437	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	dental plaque	unresolved	423	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	ascites	unresolved	417	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	intestinal epithelial cells	unresolved	411	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	gut/host-associated material	host_context	411	Host_Context_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	fluff/lint material	unresolved	384	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	trap sample	metadata_descriptor	378	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	wildlife	unresolved	371	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD	feces/stool	sample_material	343	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	material_values_in_isolation_source
Isolation_Source_SD_Broad	feces/stool	sample_material	343	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	ambiguous_broad_source_categories|material_values_in_isolation_source
Sample_Type_SD	wound/skin/pus swab	collection_device	320	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	lettuce	unresolved	313	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	nasopharyngeal swab	collection_device	308	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	peanut butter	unresolved	290	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Health_State_SD	dead	vital_status	289	Host_Vital_Status_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	non_health_values_in_host_health_state|vital_status_values_in_health_state
Sample_Type_SD	respiratory swab	collection_device	273	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	endovascular	unresolved	271	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	tree nut	unresolved	268	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	eye swab	collection_device	264	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	oral swab	collection_device	263	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	wound/lesion/abscess swab	collection_device	263	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Site_SD	bronchoalveolar lavage fluid	sample_material	258	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Isolation_Site_SD	gastric biopsy	sample_material	256	Sample_Type_SD	review_required	audit_suggested	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD	spinach	unresolved	256	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	root	anatomical_site	237	Host_Anatomical_Site_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	tomato	unresolved	219	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	catfish product	unresolved	200	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	avocado	unresolved	178	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	culture/isolate	sample_processing	158	Sample_Processing_SD	review_required	audit_suggested	Broad source category mixes non-source semantic classes; document or migrate.	ambiguous_broad_source_categories
Sample_Type_SD	rectal/perianal swab	collection_device	153	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cantaloupe	unresolved	125	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD	milk	sample_material	123	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	material_values_in_isolation_source
Sample_Type_SD	fish product	host_context	123	Host_Context_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	kimchi	unresolved	122	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cleanroom floor	environment_local_scale	121	Environment_Local_Scale_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	internal-site swab	collection_device	117	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	clinical swab	collection_device	109	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Health_State_SD	exposure/contact context	study_group	95	Host_Study_Group_SD	review_required	audit_suggested	Host_Health_State_SD should contain strict health states only.	non_health_values_in_host_health_state|study_group_values_in_health_state
Sample_Type_SD	cucumber	unresolved	86	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD	caeca content	sample_material	80	Sample_Type_SD	review_required	audit_suggested	Physical specimen/material values should not be represented as strict source context.	material_values_in_isolation_source
Sample_Type_SD	estuary	unresolved	77	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	probiotic product	unresolved	77	admin_review	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
