raw_value,affected_rows,current_signal_type,current_standardized_value,current_broad_value,current_recommended_action,contributing_raw_examples_if_available,reviewer_decision,proposed_host_context_sd,proposed_sample_type_sd,proposed_isolation_source_sd,proposed_isolation_source_broad,proposed_environment_medium_sd,proposed_environment_broad_scale_sd,proposed_environment_local_scale_sd,proposed_isolation_site_sd,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
oyster tissue,,host_context,,,review_signal_triage,oyster tissue,protect_animal_anatomy_from_human_site_mapping,aquatic invertebrate,tissue,host-associated context,host-associated context,,,,,medium-high,Aquatic animal tissue protected from human tissue/site routing.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
animal tissue,,host_context,,,review_signal_triage,animal tissue,split_sample_type_and_host_context,animal-associated,tissue,host-associated context,host-associated context,,,,,medium-high,Animal tissue preserved as host-associated sample context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
plant,,host_context,,,review_signal_triage,plant,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,,high,Plant-only label no longer food/sample/environment.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
leaf,,host_context,,,review_signal_triage,leaf,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant part context retained without environment medium.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
root,,host_context,,,review_signal_triage,root,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant part context retained without environment medium.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
stem,,host_context,,,review_signal_triage,stem,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant part context retained without clinical site.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
seed,,host_context,,,review_signal_triage,seed,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,,high,Plant part context retained without sample guessing.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
flower,,host_context,,,review_signal_triage,flower,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,,high,Plant part context retained without sample guessing.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
phyllosphere,,host_context,,,review_signal_triage,phyllosphere,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant surface context retained as plant-associated.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
endosphere,,host_context,,,review_signal_triage,endosphere,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant internal context retained as plant-associated.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
leaf tissue,,host_context,,,review_signal_triage,leaf tissue,split_sample_type_and_host_context,plant-associated,plant tissue,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant tissue sample plus leaf site/context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
root tissue,,host_context,,,review_signal_triage,root tissue,split_sample_type_and_host_context,plant-associated,plant tissue,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant tissue sample plus root site/context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
stem tissue,,host_context,,,review_signal_triage,stem tissue,split_sample_type_and_host_context,plant-associated,plant tissue,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant tissue sample plus stem site/context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
plant tissue,,host_context,,,review_signal_triage,plant tissue,split_sample_type_and_host_context,plant-associated,plant tissue,plant-associated material,plant-associated material,,,,,high,Plant tissue sample plus plant-associated context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
leaf surface,,host_context,,,review_signal_triage,leaf surface,preserve_plant_associated_context,plant-associated,,plant-associated material,plant-associated material,,,,leaf/root/stem/site context,high,Plant surface protected from human skin/body surface routing.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
rhizosphere soil,,host_context,,,review_signal_triage,rhizosphere soil,split_environment_and_host_context,plant-associated,,environmental material,environmental material,soil,,,,high,Soil medium plus plant/rhizosphere context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
root-associated soil,,host_context,,,review_signal_triage,root-associated soil,split_environment_and_host_context,plant-associated,,plant-associated material,plant-associated material,soil,,,leaf/root/stem/site context,high,Soil medium plus plant/root context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
poultry farm,,host_context,,,review_signal_triage,poultry farm,preserve_agricultural_context,poultry,,agricultural environment,agricultural environment,,,,,high,Explicit poultry farm -> agricultural context; no sample type.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
dairy farm,,host_context,,,review_signal_triage,dairy farm,preserve_agricultural_context,,,agricultural environment,agricultural environment,,,,,high,Dairy farm protected from dairy food routing.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
farm environment,,host_context,,,review_signal_triage,farm environment,preserve_agricultural_context,,,agricultural environment,agricultural environment,,,,,high,Farm environment protected from bogus environment medium.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
livestock market,,host_context,,,review_signal_triage,livestock market,preserve_agricultural_context,,,agricultural environment,agricultural environment,,,,,medium-high,Explicit livestock market -> agricultural context; bare market remains review.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
