raw_value,affected_rows,current_signal_type,current_recommended_action,contributing_raw_examples_if_available,reviewer_decision,proposed_destination_field,proposed_standardized_value,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
Bornholm2,6,raw_code_or_artifact,route_to_non_source_descriptor,Bornholm2 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
guineaPig1,6,raw_code_or_artifact,route_to_non_source_descriptor,guineaPig1 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
guineaPig6,6,raw_code_or_artifact,route_to_non_source_descriptor,guineaPig6 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_4_E_Organism_2,6,raw_code_or_artifact,route_to_non_source_descriptor,Room_4_E_Organism_2 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_5_E_Organism_1,6,raw_code_or_artifact,route_to_non_source_descriptor,Room_5_E_Organism_1 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
U2932,6,raw_code_or_artifact,route_to_non_source_descriptor,U2932 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P26_BU28,6,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P26_BU28 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P2_BU1,6,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P2_BU1 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Anholt10,5,raw_code_or_artifact,route_to_non_source_descriptor,Anholt10 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
huh7,5,raw_code_or_artifact,route_to_non_source_descriptor,huh7 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
MDA-MB-231-1833,5,raw_code_or_artifact,route_to_non_source_descriptor,MDA-MB-231-1833 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
MDA-MB-231p27CK-DD,5,raw_code_or_artifact,route_to_non_source_descriptor,MDA-MB-231p27CK-DD (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
PO_0009046,5,raw_code_or_artifact,route_to_non_source_descriptor,PO_0009046 (5),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_4_C_Organism_2,5,raw_code_or_artifact,route_to_non_source_descriptor,Room_4_C_Organism_2 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_4_C_Organism_3,5,raw_code_or_artifact,route_to_non_source_descriptor,Room_4_C_Organism_3 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_5_E_Organism_2,5,raw_code_or_artifact,route_to_non_source_descriptor,Room_5_E_Organism_2 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P91_BU9,5,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P91_BU9 (5),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
curd_Producer_1,4,raw_code_or_artifact,route_to_non_source_descriptor,curd_Producer_1 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
DyreVideo4,4,raw_code_or_artifact,route_to_non_source_descriptor,DyreVideo4 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
ENVO_00000447,4,raw_code_or_artifact,route_to_non_source_descriptor,ENVO_00000447 (4),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
ENVO_01001055,4,raw_code_or_artifact,route_to_non_source_descriptor,ENVO_01001055 (4),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
EVB2,4,raw_code_or_artifact,route_to_non_source_descriptor,EVB2 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
guineaPig8,4,raw_code_or_artifact,route_to_non_source_descriptor,guineaPig8 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
MDA-MB-231,4,raw_code_or_artifact,route_to_non_source_descriptor,MDA-MB-231 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
patient2,4,raw_code_or_artifact,route_to_non_source_descriptor,patient2 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_2_C_Organism_1,4,raw_code_or_artifact,route_to_non_source_descriptor,Room_2_C_Organism_1 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_3_C_Organism_3,4,raw_code_or_artifact,route_to_non_source_descriptor,Room_3_C_Organism_3 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_4_C_Organism_1,4,raw_code_or_artifact,route_to_non_source_descriptor,Room_4_C_Organism_1 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_4_E_Organism_3,4,raw_code_or_artifact,route_to_non_source_descriptor,Room_4_E_Organism_3 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_5_C_Organism_1,4,raw_code_or_artifact,route_to_non_source_descriptor,Room_5_C_Organism_1 (4),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Anholt16,3,raw_code_or_artifact,route_to_non_source_descriptor,Anholt16 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Anholt9,3,raw_code_or_artifact,route_to_non_source_descriptor,Anholt9 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
BLDL1,3,raw_code_or_artifact,route_to_non_source_descriptor,BLDL1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Bovine Unknown,3,metadata_descriptor,route_to_non_source_descriptor,Bovine Unknown (3),unresolved_low_priority,manual_review / unresolved,,low,Descriptor-like aggregate is not sufficiently specific for an automatic production rule.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
ENVO_00000446,3,raw_code_or_artifact,route_to_non_source_descriptor,ENVO_00000446 (3),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
EVB15,3,raw_code_or_artifact,route_to_non_source_descriptor,EVB15 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
EVB16,3,raw_code_or_artifact,route_to_non_source_descriptor,EVB16 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
EVB4,3,raw_code_or_artifact,route_to_non_source_descriptor,EVB4 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
EVB6,3,raw_code_or_artifact,route_to_non_source_descriptor,EVB6 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
EVB9,3,raw_code_or_artifact,route_to_non_source_descriptor,EVB9 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
femur_chicken1,3,raw_code_or_artifact,route_to_non_source_descriptor,femur_chicken1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
FOODON_00002403,3,raw_code_or_artifact,route_to_non_source_descriptor,FOODON_00002403 (3),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
HET.02_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,HET.02_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
HET.06_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,HET.06_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
HET.18_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,HET.18_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
HET.24_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,HET.24_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
MDA-MB-231-1833shp27,3,raw_code_or_artifact,route_to_non_source_descriptor,MDA-MB-231-1833shp27 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Mstd3,3,raw_code_or_artifact,route_to_non_source_descriptor,Mstd3 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Nebuliser_P91_BU9,3,raw_code_or_artifact,route_to_non_source_descriptor,Nebuliser_P91_BU9 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
O_Room_2_D_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor,O_Room_2_D_Organism_1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
O_Room_2_D_Organism_2,3,raw_code_or_artifact,route_to_non_source_descriptor,O_Room_2_D_Organism_2 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
O_Room_2_D_Organism_3,3,raw_code_or_artifact,route_to_non_source_descriptor,O_Room_2_D_Organism_3 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
O_Room_3_D_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor,O_Room_3_D_Organism_1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
O_Room_4_D_Organism_2,3,raw_code_or_artifact,route_to_non_source_descriptor,O_Room_4_D_Organism_2 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
O_Room_4_D_Organism_3,3,raw_code_or_artifact,route_to_non_source_descriptor,O_Room_4_D_Organism_3 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Product-Rinse-Unknown species,3,metadata_descriptor,route_to_non_source_descriptor,Product-Rinse-Unknown species (3),unresolved_low_priority,manual_review / unresolved,,low,Descriptor-like aggregate is not sufficiently specific for an automatic production rule.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_1_C_Organism_3,3,raw_code_or_artifact,route_to_non_source_descriptor,Room_1_C_Organism_3 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_4_E_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor,Room_4_E_Organism_1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_6_E_Organism_1,3,raw_code_or_artifact,route_to_non_source_descriptor,Room_6_E_Organism_1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_6_E_Organism_2,3,raw_code_or_artifact,route_to_non_source_descriptor,Room_6_E_Organism_2 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Stethoscope_P91_BU9,3,raw_code_or_artifact,route_to_non_source_descriptor,Stethoscope_P91_BU9 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Table-1,3,raw_code_or_artifact,route_to_non_source_descriptor,Table-1 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Table-2,3,raw_code_or_artifact,route_to_non_source_descriptor,Table-2 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
TD2_unenriched,3,raw_code_or_artifact,route_to_non_source_descriptor,TD2_unenriched (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P101_BU22,3,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P101_BU22 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P19_BU20,3,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P19_BU20 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P22_BU23,3,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P22_BU23 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Ventilator_P25_BU27,3,raw_code_or_artifact,route_to_non_source_descriptor,Ventilator_P25_BU27 (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
WT.02_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,WT.02_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
WT.06_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,WT.06_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
WT.18_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,WT.18_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
WT.24_hemi-forebrain,3,raw_code_or_artifact,route_to_non_source_descriptor,WT.24_hemi-forebrain (3),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
1-BSinkInterior,2,raw_code_or_artifact,route_to_non_source_descriptor,1-BSinkInterior (2),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Aamose2,2,raw_code_or_artifact,route_to_non_source_descriptor,Aamose2 (2),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Aamose4,2,raw_code_or_artifact,route_to_non_source_descriptor,Aamose4 (2),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Aamose8,2,raw_code_or_artifact,route_to_non_source_descriptor,Aamose8 (2),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
