raw_value,affected_rows,current_standardized_value,current_broad_value,review_signal_type,current_recommended_action,proposed_destination_field,proposed_standardized_value,proposed_broad_value,confidence,rationale,reviewer_decision,rule_file_to_update,rule_to_add,test_to_add,notes
animal by-product,112,animal by-product,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
ENVO_00005801,112,ENVO_00005801,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
pooled tissue,110,pooled tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
TISSUE,95,TISSUE,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Connective tissue,91,Connective tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Animal-Calf-Formula-fed Veal,90,Animal-Calf-Formula-fed Veal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
cat,90,cat,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
animal feed,85,animal feed,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Broncho-alveolar lavage,72,Broncho-alveolar lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Gastric tissue,65,Gastric tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
fermented milk/dairy product,64,fermented milk/dairy product,food/dairy,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Mouse embryonic cells,64,Mouse embryonic cells,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Tick tissue,63,Tick tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
tissue pool,62,tissue pool,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Bladder,61,Bladder,,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Infected tissue,55,Infected tissue,tissue,sample_type|disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
periprosthetic tissue,55,periprosthetic tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Gall bladder tissue,54,Gall bladder tissue,tissue,body_site|sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Domestic animal,47,Domestic animal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Animal-Goat,43,Animal-Goat,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
plant root/rhizosphere,42,plant root/rhizosphere,plant-associated material,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
plasma,40,plasma,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Soft tissue,37,Soft tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
broncho-alveolar lavage,35,broncho-alveolar lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Animal feed,34,Animal feed,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Tissue fragment,30,Tissue fragment,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Animal-Calf-Non Formula-fed Veal,29,Animal-Calf-Non Formula-fed Veal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Deep Tissue,29,Deep Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Tissue Pool,29,Tissue Pool,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
coral tissue,26,coral tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
infected vegetal samples,26,infected vegetal samples,,disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
poultry meat,26,poultry meat,food/meat,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
bladder,25,bladder,,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
oyster product,25,oyster product,aquatic food product,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Nasopharygneal lavage,24,Nasopharygneal lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
serum,24,serum,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Plasma,23,Plasma,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Computer keyboard and mouse,22,Computer keyboard and mouse,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
lavage,22,lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
citrus infected tissue,21,citrus infected tissue,tissue,sample_type|disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
plant stem,21,plant stem,plant-associated material,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
tissue composite,21,tissue composite,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
animal feed canola meal,20,animal feed canola meal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Domestic cat,19,Domestic cat,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Wild animal,19,Wild animal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
dog chew,18,dog chew,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Mouse ES Cells,17,Mouse ES Cells,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
tissue samples,17,tissue samples,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
dog treat,16,dog treat,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
hot dog,16,hot dog,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Deep tissue,15,Deep tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
ENVO_01000248,15,ENVO_01000248,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Gall bladder,15,Gall bladder,,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Tracheal lavage,15,Tracheal lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Homogenized tissue,14,Homogenized tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
"combination of 24 samples (8 from lake Croche, 8 from Montjoie and 8 from Simoncouche) collected from 2013 through 2014",13,"combination of 24 samples (8 from lake Croche, 8 from Montjoie and 8 from Simoncouche) collected from 2013 through 2014",,environment_medium,route_to_environment_medium,Environment_Medium_SD,,,needs_review,Environmental-medium signal; retain broad source context only when intentional.,unreviewed,,,,"Batch 4 - environmental media. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
gall bladder,13,gall bladder,,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
guttural pouch lavage,13,guttural pouch lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
mouse spinal cord microglia,13,mouse spinal cord microglia,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Pooled Tissue,13,Pooled Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
