raw_value,affected_rows,current_signal_type,current_standardized_value,current_broad_value,current_recommended_action,reviewer_decision,proposed_sample_type_sd,proposed_isolation_site_sd,proposed_isolation_source_sd,proposed_isolation_source_broad,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
biopsy,2,sample_type,biopsy,,route_to_sample_type,route_to_sample_type,biopsy,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncho alveolaire lavage,2,sample_type,Broncho alveolaire lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncho alveolar lavage,2,sample_type,Broncho alveolar lavage,,route_to_sample_type,route_to_sample_type,bronchoalveolar lavage fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
broncho alveolar lavage,2,sample_type,broncho alveolar lavage,,route_to_sample_type,route_to_sample_type,bronchoalveolar lavage fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Catether (Blood),2,sample_type,Catether (Blood),,route_to_sample_type,route_to_sample_type,blood,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
cerebrospinal,2,sample_type,cerebrospinal,,route_to_sample_type,unresolved_low_priority,cerebrospinal,,,,low,Sample-like aggregate is insufficiently specific for a new automatic rule.,,,,Review signals are triage; retained context is intentional.
kite (cloacal swab),2,sample_type,kite (cloacal swab),,route_to_sample_type,split_sample_type_and_site,kite (cloacal swab),cloaca,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Lizards faeces,2,sample_type,Lizards faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Post-lavage,2,sample_type,Post-lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Tracheobronchial lavage,2,sample_type,Tracheobronchial lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Abdominal (drain aspirate),1,sample_type,Abdominal (drain aspirate),,route_to_sample_type,route_to_sample_type,aspirate,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
alveolar lavage,1,sample_type,alveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Alveolar lavage specimen,1,sample_type,Alveolar lavage specimen,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Brochoalveolar lavage,1,sample_type,Brochoalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
broncheoalveolar lavage,1,sample_type,broncheoalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchialveolar Lavage,1,sample_type,Bronchialveolar Lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchioaleveolar lavage,1,sample_type,Bronchioaleveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchioalveolar lavage,1,sample_type,Bronchioalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
broncho-alveolar lavage (BAL),1,sample_type,broncho-alveolar lavage (BAL),,route_to_sample_type,route_to_sample_type,bronchoalveolar lavage fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
broncho-aveolar lavage,1,sample_type,broncho-aveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchoalve. Lavage,1,sample_type,Bronchoalve. Lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchoalvelar lavage (BAL),1,sample_type,Bronchoalvelar lavage (BAL),,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
bronchoavelar lavage,1,sample_type,bronchoavelar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchoavleolar lavage,1,sample_type,Bronchoavleolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncholaveolar lavage,1,sample_type,Broncholaveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncial Lavage,1,sample_type,Broncial Lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronco-alveolar lavage,1,sample_type,Bronco-alveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronko-alveolær lavage,1,sample_type,Bronko-alveolær lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Canine faeces,1,sample_type,Canine faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Cat faeces,1,sample_type|host_taxon_or_context,Cat faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Cerebrospinal,1,sample_type,Cerebrospinal,,route_to_sample_type,unresolved_low_priority,Cerebrospinal,,,,low,Sample-like aggregate is insufficiently specific for a new automatic rule.,,,,Review signals are triage; retained context is intentional.
cerebrospinal fluid,1,sample_type,cerebrospinal fluid,,route_to_sample_type,route_to_sample_type,bodily fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Chest (PUS),1,sample_type,Chest (PUS),,route_to_sample_type,route_to_sample_type,Chest (PUS),,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Corn Snake (Faeces),1,sample_type,Corn Snake (Faeces),,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Elbow(PUS)-left,1,sample_type,Elbow(PUS)-left,,route_to_sample_type,route_to_sample_type,Elbow(PUS)-left,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
endotrach lavage,1,sample_type,endotrach lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Faeces - Goat - Local livestock market,1,sample_type,Faeces - Goat - Local livestock market,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.10,1,sample_type,faeces 9.10,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.11,1,sample_type,faeces 9.11,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.12,1,sample_type,faeces 9.12,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.13,1,sample_type,faeces 9.13,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.14,1,sample_type,faeces 9.14,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.15,1,sample_type,faeces 9.15,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.16,1,sample_type,faeces 9.16,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.17,1,sample_type,faeces 9.17,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.7,1,sample_type,faeces 9.7,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.8,1,sample_type,faeces 9.8,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces 9.9,1,sample_type,faeces 9.9,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
faeces of a thoroughbred horse,1,sample_type,faeces of a thoroughbred horse,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Faeces of piglets,1,sample_type,Faeces of piglets,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Focus (Wound swab),1,body_site|sample_type,Focus (Wound swab),,route_to_sample_type,split_sample_type_and_site,Focus (Wound swab),wound,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Infant faeces,1,sample_type,Infant faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
infant faeces,1,sample_type,infant faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Ixodes ricinus larvae cultured in MKP-F (human serum),1,sample_type|host_taxon_or_context,Ixodes ricinus larvae cultured in MKP-F (human serum),,route_to_sample_type,route_to_sample_type,blood-derived material,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
lamb faeces,1,sample_type,lamb faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
leaf tissue,1,sample_type,leaf tissue,,route_to_sample_type,plant_material_context,plant tissue,,plant-associated material,plant-associated material,high,Plant material should route to plant tissue while preserving plant-associated context.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Lizard Faeces,1,sample_type,Lizard Faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Lizard faeces,1,sample_type,Lizard faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
"Lizard, faeces",1,sample_type,"Lizard, faeces",,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
neonatal calf faeces,1,sample_type,neonatal calf faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Peritoneal lavage,1,sample_type,Peritoneal lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
peritoneal lavage,1,sample_type,peritoneal lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Post lavage,1,sample_type,Post lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
poulltry faeces,1,sample_type,poulltry faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Rodent faeces,1,sample_type,Rodent faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
