assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_052497575.1	SAMN50796169	Paenibacillus polymyxa	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002554755.1	SAMN07597500	Bacillus toyonensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_056846615.1	SAMN47254572	Xanthomonas citri pv. citri	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Citrus	2706				plant-associated material	plant-associated material	
GCA_046549365.1	SAMN16788666	Streptomyces sp. 049-1	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_025654235.1	SAMN25232815	Shewanella sp. SM32	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_019104045.1	SAMN19813354	Pseudomonas viridiflava	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Medicago sativa	3879				plant-associated material	plant-associated material	
GCA_022525925.1	SAMN25988962	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022527825.1	SAMN25988618	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022531405.1	SAMN25988456	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_053834525.1	SAMEA120398500	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	drain
GCA_015015595.1	SAMN14091595	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015017195.1	SAMN14091662	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015018535.1	SAMN14091622	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015019075.1	SAMN14091644	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015019275.1	SAMN14091733	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015117075.1	SAMN07807110	Escherichia coli	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Bos taurus	9913				plant-associated material	plant-associated material	
GCA_022520805.1	SAMN25989244	Citrobacter farmeri	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_910585095.1	SAMEA8805476	uncultured Lachnospira sp.	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_910585675.1	SAMEA8805473	uncultured Desulfovibrio sp.	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_051040505.1	SAMN37308746	Clavibacter michiganensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	cell culture
GCA_053903145.1	SAMN27610179	Bacillus sp. JZ39	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Tribulus terrestris	210369				plant-associated material	plant-associated material	
GCA_047978695.1	SAMN45227933	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047984265.1	SAMN45227856	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_002252075.2	SAMN06821038	Acholeplasma laidlawii	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_004462905.1	SAMN11110190	Micrococcus yunnanensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_017933235.1	SAMN12730703	Streptomyces scabiei	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum tuberosum	4113				plant-associated material	plant-associated material	
GCA_024979275.1	SAMN30149034	Herbiconiux oxytropis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Oxytropis	20802				plant-associated material		
GCA_004078655.1	SAMN10640885	Labedella populi	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085485.1	SAMEA111451394	uncultured Prolixibacteraceae bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947084865.1	SAMEA111451372	uncultured Nitrospinota bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085905.1	SAMEA111451296	uncultured Actinomycetes bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085885.1	SAMEA111451404	uncultured Syntrophobacterales bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085585.1	SAMEA111451398	uncultured Rhodocyclaceae bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002571315.1	SAMN07598186	Bacillus thuringiensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_002576875.1	SAMN07598007	Bacillus thuringiensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_001854185.1	SAMN05858599	Andreesenella formicacetica	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	environmental material	
GCA_000633215.1	SAMN02729844	Microbacterium paraoxydans DH1b	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_001692245.1	SAMN04901298	Agrobacterium tumefaciens	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Prunus persica	3760				plant-associated material	plant-associated material	
GCA_001623415.1	SAMN03418705	Pseudomonas syringae pv. syringae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		populus	3689				plant-associated material	plant-associated material	
GCA_018951915.1	SAMN13738868	Clostridioides difficile	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_051949415.1	SAMN41787766	Xanthomonas citri pv. mangiferaeindicae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Mangifera indica	29780				plant-associated material	plant-associated material	microbial isolate
GCA_022517985.1	SAMN25989974	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022519395.1	SAMN25989172	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022533735.1	SAMN25988749	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022534315.1	SAMN25988875	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022535095.1	SAMN25989091	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_009796045.1	SAMN09427695	Clavibacter michiganensis subsp. michiganensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	
GCA_020093375.1	SAMN21169274	Pseudomonas fluorescens group sp.	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Sugar beet	3555				plant-associated material	plant-associated material	
GCA_054161375.1	SAMN27610219	Bacillus sp. PK3-130	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Janochloa antidotale	3031383				plant-associated material	plant-associated material	
GCA_056738245.1	SAMN41787751	Xanthomonas citri pv. mangiferaeindicae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Mangifera indica	29780				plant-associated material	plant-associated material	microbial isolate
GCA_056738285.1	SAMN41787736	Xanthomonas citri pv. mangiferaeindicae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Mangifera indica	29780				plant-associated material	plant-associated material	microbial isolate
GCA_056868445.1	SAMN47254636	Xanthomonas citri pv. glycines	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Gossypium hirsutum	3635				plant-associated material	plant-associated material	
GCA_015319165.1	SAMN16632632	Nocardioides acrostichi	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_021892805.1	SAMN14372652	Lactiplantibacillus plantarum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_051040495.1	SAMN37308747	Clavibacter michiganensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	cell culture
GCA_036345095.1	SAMN30553145	Streptomyces sp. NBC_00588	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002575275.1	SAMN07598089	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_039668665.1	SAMN40017597	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false							plant-associated material	plant-associated material	meat product
GCA_043984615.1	SAMN35524841	Acinetobacter baumannii	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	
GCA_047979005.1	SAMN45227919	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047983705.1	SAMN45227877	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_051132105.1	SAMN18220745	Pseudomonas sp. R1-7	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Plantago cylindrica	1928669				plant-associated material	plant-associated material	
GCA_037414965.1	SAMN40422411	Bacillus tropicus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Arachis hypogaea	3818				plant-associated material	clinical/host-associated material	cell culture
GCA_025654545.1	SAMN25232811	Shewanella sp. SM20	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_043195235.1	SAMN40385057	Xylella fastidiosa subsp. multiplex	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_048824055.1	SAMN47426705	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_056738275.1	SAMN41787745	Xanthomonas citri pv. mangiferaeindicae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Mangifera indica	29780				plant-associated material	plant-associated material	microbial isolate
GCA_022532225.1	SAMN25989694	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022519965.1	SAMN25988854	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022530525.1	SAMN25989399	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022532285.1	SAMN25989293	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022534835.1	SAMN25989486	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_000633275.1	SAMN02729845	Lysinibacillus fusiformis H1k	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002558195.1	SAMN07597410	Bacillus anthracis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_001602215.1	SAMN04216069	Rickettsia prowazekii	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false		Simiiformes	314293		patient				blood
GCA_015015915.1	SAMN14091652	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015017475.1	SAMN14091731	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015018755.1	SAMN14091708	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_014210335.1	SAMN15371200	Ralstonia solanacearum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Musa	4640		diseased		plant-associated material	plant-associated material	
GCA_003600835.1	SAMN07514321	Bacillus sp. PK3_68	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Janochloa antidotale	3031383				plant-associated material	plant-associated material	
GCA_964414565.1	SAMEA117375456	uncultured Cellvibrionaceae bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material		
GCA_023845705.1	SAMN27478409	Clostridium sp. ZBS15	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002575135.1	SAMN07598099	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Zea mays	4577				plant-associated material	plant-associated material	
GCA_015015115.1	SAMN14091658	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false							plant-associated material	plant-associated material	
GCA_015019195.1	SAMN14091688	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false							plant-associated material	plant-associated material	
GCA_047979525.1	SAMN45227905	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047986005.1	SAMN45227799	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_000633455.1	SAMN02729849	Pedobacter jeongneungensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_022529785.1	SAMN25988858	Citrobacter freundii	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022533065.1	SAMN25989989	Citrobacter freundii	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_947085245.1	SAMEA111451337	uncultured Chitinophagaceae bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085655.1	SAMEA111451287	uncultured Omnitrophica bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_021892735.1	SAMN14372655	Lactiplantibacillus plantarum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_021893095.1	SAMN14372635	Lactiplantibacillus plantarum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_003985025.1	SAMN10531140	Bacillus pumilus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Lathyrus oleraceus	3888				plant-associated material	plant-associated material	cell culture
GCA_017968935.1	SAMN12730711	Streptomyces scabiei	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum tuberosum	4113				plant-associated material	plant-associated material	
GCA_022602315.1	SAMN26199808	Rosenbergiella epipactidis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		diplacus aurantiacus	68869				plant-associated material	plant-associated material	
GCA_029686065.1	SAMN25989336	Enterobacter asburiae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_056850515.1	SAMN47254752	Xanthomonas citri pv. malvacearum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Prunus persica	3760				plant-associated material	plant-associated material	
GCA_014960805.1	SAMN16434557	Litchfieldia suaedae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_021044925.1	SAMN23489722	Jiella flava	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material		
GCA_021365485.1	SAMN24011484	Erwinia tracheiphila	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Cucumis melo	3656				plant-associated material	plant-associated material	cell culture
GCA_025653905.1	SAMN25232823	Shewanella sp. SM71	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_051949535.1	SAMN41787760	Xanthomonas citri pv. mangiferaeindicae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Mangifera indica	29780				plant-associated material	plant-associated material	microbial isolate
GCA_051949855.1	SAMN41787744	Xanthomonas citri pv. mangiferaeindicae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Mangifera indica	29780				plant-associated material	plant-associated material	microbial isolate
GCA_008014695.1	SAMN12541752	Chryseobacterium sp.	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
