normalized_lookup	raw_value	source_column	target_field	standardized_value	broad_value	review_status	confidence	batch_id	issue_type	severity	recommended_action
bacterial cell culture	bacterial cell culture		Sample_Type_SD	bacterial culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
pure culture	pure culture		Sample_Type_SD	culture	culture	approved	high	batch1	none	pass	none
pure cultures of bacteria	pure cultures of bacteria		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
pure culture of bacteria	pure culture of bacteria		Sample_Type_SD	culture	culture	approved	high	batch1	none	pass	none
pure bacterial culture	pure bacterial culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
pure culture one microbial species	pure culture one microbial species		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
bacterial strain	Bacterial strain		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
bacterial pure culture	bacterial pure culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
isolated pure culture	isolated pure culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
pure isolate culture	pure isolate culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
axenic culture	axenic culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
monoculture	monoculture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
culture	culture		Sample_Type_SD	culture	culture	approved	high	batch1	none	pass	none
cell culture collection	Cell culture collection		Sample_Type_SD	cell culture	culture	approved	high	batch1	none	pass	none
grown in blood agar culture medium	Grown in Blood agar culture medium		Sample_Type_SD	culture medium	culture	approved	high	batch1	none	pass	none
grown in chocolate agar culture medium	Grown in chocolate agar culture medium		Sample_Type_SD	culture medium	culture	approved	high	batch1	none	pass	none
hayflick modified culture medium	HayFlick modified culture medium		Sample_Type_SD	culture medium	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
bacterial monoculture	Bacterial Monoculture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
bacterial monoisolate	bacterial monoisolate		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
monoisolate	Monoisolate		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
single culture	single culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
strain culture	strain culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
cultured isolate	cultured isolate		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
microbial isolate culture	microbial isolate culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
cell culture	cell culture		Sample_Type_SD	cell culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
microbial culture	microbial culture		Sample_Type_SD	microbial culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
microbe culture	microbe culture		Sample_Type_SD	microbial culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
unicyanobacterial culture	unicyanobacterial culture		Sample_Type_SD	unicyanobacterial culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
leaf tissue	Leaf tissue		Sample_Type_SD	leaf tissue		approved	high	preexisting	none	pass	none
saline water	Saline water		Sample_Type_SD	saline water	environmental material	approved	high	preexisting	none	pass	none
marine sediment	marine sediment		Environment_Medium_SD	marine sediment	environmental material	approved	high	preexisting	none	pass	none
tidal flat sediment	Tidal flat sediment		Environment_Medium_SD	tidal flat sediment	environmental material	approved	high	preexisting	none	pass	none
salt marsh sediment	salt marsh sediment		Environment_Medium_SD	salt marsh sediment	environmental material	approved	high	preexisting	none	pass	none
pond sediment	Pond sediment		Environment_Medium_SD	pond sediment	environmental material	approved	high	preexisting	none	pass	none
sediment of yellow river	sediment of Yellow River		Environment_Medium_SD	river sediment	environmental material	approved	high	preexisting	none	pass	none
activated sludge	activated sludge		Environment_Medium_SD	activated sludge	environmental material	approved	high	preexisting	none	pass	none
sludge	sludge		Environment_Medium_SD	sludge	environmental material	approved	high	preexisting	none	pass	none
aerobic activated sludge from the secondary sedimentation tank of wwtp of nb production plant	aerobic activated sludge from the secondary sedimentation tank of WWTP of NB production plant		Environment_Medium_SD	activated sludge	environmental material	approved	high	preexisting	none	pass	none
estuarine water	estuarine water		Environment_Medium_SD	estuarine water	environmental material	approved	high	preexisting	none	pass	none
surface seawater	Surface seawater		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
surface	Surface		Sample_Type_SD	surface		approved	high	preexisting	none	pass	none
manure	manure		Sample_Type_SD	manure		approved	high	preexisting	none	pass	none
livestock manure compost	livestock manure compost		Sample_Type_SD	manure compost		approved	high	preexisting	none	pass	none
salted seafood	salted seafood		Sample_Type_SD	seafood	food/source material	approved	high	preexisting	none	pass	none
gut	gut		Sample_Type_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
intestinal	intestinal		Sample_Type_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
gut of protaetia brevitarsis seulensis larva	Gut of Protaetia brevitarsis seulensis (larva)		Sample_Type_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
gut of wasp	Gut of wasp		Sample_Type_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
milk thistle	Milk thistle		Sample_Type_SD	plant material		approved	high	preexisting	none	pass	none
guangdong microbial culture collection center gdmcc	Guangdong Microbial Culture Collection Center (GDMCC)		Isolation_Source_SD	culture collection	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
oyster pond	Oyster Pond		Environment_Medium_SD	Oyster pond		approved	high	preexisting	none	pass	none
bathing seawater	Bathing seawater		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
groundwater	groundwater		Environment_Medium_SD	groundwater	environmental material	approved	high	preexisting	none	pass	none
soild	soild		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil7	soil7		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil11	soil11		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil45	soil45		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil46	soil46		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil153	soil153		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil186	soil186		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil195	soil195		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
metagenomic assembly	metagenomic assembly		Sample_Type_SD	metagenomic assembly	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
raw intact chicken	raw intact chicken		Sample_Type_SD	chicken meat	food/source material	approved	high	preexisting	none	pass	none
ground turkey	ground turkey		Sample_Type_SD	turkey meat	food/source material	approved	high	preexisting	none	pass	none
comminuted chicken	comminuted chicken		Sample_Type_SD	chicken meat	food/source material	approved	high	preexisting	none	pass	none
comminuted beef	comminuted beef		Sample_Type_SD	beef	food/source material	approved	high	preexisting	none	pass	none
chicken breast	chicken breast		Sample_Type_SD	chicken meat	food/source material	approved	high	preexisting	none	pass	none
soil biome envo 01001044	soil biome [ENVO:01001044]		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
clinical	clinical		Sample_Type_SD	clinical sample		approved	high	preexisting	none	pass	none
river water	river water		Environment_Medium_SD	river water	environmental material	approved	high	preexisting	none	pass	none
comminuted turkey	Comminuted Turkey		Sample_Type_SD	turkey meat	food/source material	approved	high	preexisting	none	pass	none
single cell	single cell		Sample_Type_SD	single cell		approved	high	preexisting	none	pass	none
infant feces	infant feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
marine	marine		Environment_Medium_SD	marine		approved	high	preexisting	none	pass	none
nonintact chicken	Nonintact Chicken		Sample_Type_SD	chicken meat	food/source material	approved	high	preexisting	none	pass	none
single cell amplified by wga x bigelow laboratory dock	single cell amplified by WGA-X; Bigelow Laboratory Dock		Sample_Type_SD	single cell		approved	high	preexisting	none	pass	none
beef	beef		Sample_Type_SD	beef	food/source material	approved	high	preexisting	none	pass	none
ground beef	Ground Beef		Sample_Type_SD	beef	food/source material	approved	high	preexisting	none	pass	none
water sediment	water sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
soil metagenome	soil metagenome		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
chicken breasts	Chicken Breasts		Sample_Type_SD	chicken meat	food/source material	approved	high	preexisting	none	pass	none
coastal bare tidal sandflat sediment	Coastal bare tidal sandflat sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
metagenome assembly	metagenome assembly		Sample_Type_SD	metagenomic assembly	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
water envo 00002006	water [ENVO:00002006]		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
stream sediment	stream sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
dairy calf feces	dairy calf feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
whole blood	whole blood		Sample_Type_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
permafrost soil	permafrost soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
peripheral blood	Peripheral Blood		Sample_Type_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
rhizosphere soil	rhizosphere soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
antarctic soil	antarctic soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil envo 00001998	soil [ENVO:00001998]		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
water kefir	water kefir		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
saline water envo 00002010 including plankton envo xxxxxxxx	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)		Environment_Medium_SD	saline/brine water	environmental material	approved	high	preexisting	none	pass	none
active layer soil	active layer soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
water from urban wastewater	Water from Urban Wastewater		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
boneless beef	boneless beef		Sample_Type_SD	beef	food/source material	approved	high	preexisting	none	pass	none
urban wastewater	Urban Wastewater		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
water filtration membrane	water filtration membrane		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
feces of wild boar	feces of wild boar		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
mangrove wetland sediment	mangrove wetland sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
feces gull larus spp	Feces, Gull (Larus spp.)		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
soil from natural forests	Soil from Natural Forests		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
wastewater influent	Wastewater influent		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
sediment metagenome	sediment metagenome		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
wastewater metagenome	wastewater metagenome		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
forest soil	forest soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
blood derived normal	Blood Derived Normal		Sample_Type_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
waste water envo 00002001	Waste Water [ENVO:00002001]		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
animal cattle beef cow cecal	Animal-Cattle-Beef Cow (cecal)		Sample_Type_SD	beef	food/source material	approved	high	preexisting	none	pass	none
hotspring water	hotspring water		Environment_Medium_SD	spring water	environmental material	approved	high	preexisting	none	pass	none
microbial mat sediment	microbial mat|sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
cattle feces	cattle feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
wastewater treatment plant	Wastewater treatment plant		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
municipal wastewater sand island wwtp	Municipal wastewater, Sand Island WWTP		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
water deer	water deer		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
agricultural soil	agricultural soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
fecal microbiome of nelore	Fecal microbiome of Nelore		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
fecal microbiome of bos indicus	Fecal microbiome of Bos indicus		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
feces of bos indicus	Feces of Bos indicus		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
human stool	Human, Stool		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
paddy soil	paddy soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
cattle fecal samples	cattle fecal samples		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
clinical or host associated pathogen	Clinical or host-associated pathogen		Sample_Type_SD	clinical sample		approved	high	preexisting	none	pass	none
coastal bare tidal mudflat sediment	Coastal bare tidal mudflat sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
water metagenome	water metagenome		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
calf fecal composite	Calf fecal composite		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
water column	water column		Environment_Medium_SD	water column	environmental material	approved	high	preexisting	none	pass	none
peat soil	peat soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
hypersaline soda lake sediment	hypersaline soda lake sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
water buffalo	water buffalo		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
mine wastewater	Mine wastewater		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
soil sample	soil sample		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil adjacent to human cadaver hip	soil adjacent to human cadaver hip		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
non tidal fresh water river	non tidal fresh water river		Environment_Medium_SD	river water	environmental material	approved	high	preexisting	none	pass	none
glacier foreland soil	Glacier foreland soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
sugarcane leaf stem root and rhizosphere soil	sugarcane leaf, stem, root and rhizosphere soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
peat soil envo 00005774	peat soil [ENVO:00005774]		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
water river	water river		Environment_Medium_SD	river water	environmental material	approved	high	preexisting	none	pass	none
grassland soil	Grassland soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
hot spring sediment	hot spring sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
poultry farm soil	poultry farm soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
sediment from urban saltwater	Sediment from Urban Saltwater		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
surface soil envo 02000059	surface soil [ENVO:02000059]		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
suwannee river water	Suwannee river water		Environment_Medium_SD	river water	environmental material	approved	high	preexisting	none	pass	none
ant built patch material	ant-built patch material		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
well water	well water		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
clinical sample	clinical sample		Sample_Type_SD	clinical sample		approved	high	preexisting	none	pass	none
antartic soil	antartic soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
water dead end ultrafiltration deuf	water (Dead-end ultrafiltration (DEUF))		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
finished ground turkey	finished ground turkey		Sample_Type_SD	turkey meat	food/source material	approved	high	preexisting	none	pass	none
water canal	water canal		Environment_Medium_SD	environmental water	environmental material	approved	high	preexisting	none	pass	none
soil from natural grassland formations	Soil from Natural Grassland formations		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil envo 00001998 sphagnum bog envo 00002268	soil [ENVO:00001998] |sphagnum bog [ENVO:00002268]		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
river sediment	river sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
fecal material	fecal material		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
saline water	saline water		Environment_Medium_SD	saline/brine water	environmental material	approved	high	preexisting	none	pass	none
active sludge of wastewater treatment plant	Active sludge of wastewater treatment plant		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
burned soil	burned soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil from natural bogs mires and fens	Soil from Natural Bogs, mires and fens		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
drinking water	drinking water		Environment_Medium_SD	drinking/distribution water	environmental material	approved	high	preexisting	none	pass	none
chicken feces	Chicken feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
cooling tower water	Cooling tower water		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
sanitary water	sanitary water		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
wastewater influent sample	Wastewater influent sample		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
fecal incubation	fecal incubation		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
wastewater outflow	wastewater outflow		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
single cell amplified by wga x equitorial atlantic	single cell amplified by WGA-X; Equitorial atlantic		Sample_Type_SD	single cell		approved	high	preexisting	none	pass	none
freswater water column	freswater water column		Environment_Medium_SD	water column	environmental material	approved	high	preexisting	none	pass	none
soil from natural dunes	Soil from Natural Dunes		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
sediments	sediments		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
raw ground beef	raw ground beef		Sample_Type_SD	beef	food/source material	approved	high	preexisting	none	pass	none
mangrove sediment	mangrove sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
canine feces	canine feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
geothermal water	geothermal water		Environment_Medium_SD	chemically distinct water	environmental material	approved	high	preexisting	none	pass	none
bacterial strain pure culture	Bacterial strain, pure culture		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
human feces	human feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
permeable sediment	Permeable sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
non axenic culture inoculated from ocean water sample	non-axenic culture inoculated from ocean water sample		Sample_Type_SD	pure/single culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
water stream	water stream		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
single cell amplified by wga x southern atlantic	single cell amplified by WGA-X; Southern Atlantic		Sample_Type_SD	single cell		approved	high	preexisting	none	pass	none
lake sediment	lake sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
saline lake sediment	saline lake sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
feral swine feces	Feral swine feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
turkey ground turkey	Turkey Ground Turkey		Sample_Type_SD	turkey meat	food/source material	approved	high	preexisting	none	pass	none
human clinical specimen	human clinical specimen		Sample_Type_SD	clinical sample		approved	high	preexisting	none	pass	none
stool odocoileus hemionus	stool (Odocoileus hemionus)		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
stool cervus canadensis	stool (Cervus canadensis)		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
environmental swab sponge powder infant formula manufacturing facility	environmental swab sponge powder infant formula manufacturing facility		Sample_Type_SD	environmental swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
soil from natural temperate heath and scrub	Soil from Natural Temperate heath and scrub		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
sediment from urban other	Sediment from Urban Other		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
agricultural field envo 00000100 tropical climate envo 01000204 aerobic soil envo 00002256	agricultural field [ENVO:00000100]|tropical climate [ENVO:01000204]|aerobic soil [ENVO:00002256]		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
