assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_002162195.1	SAMN06141920	Histophilus somni	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		28113					28113 | nasopharynx/oropharynx | 28113 | nasopharynx | mucus | nasopharynx
GCA_056342665.1	SAMN45853072	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_056342865.1	SAMN45853061	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_053570445.1	SAMN50285117	Yersinia pestis	keep	vital-status audit	Meriones meridianus	Meriones meridianus	Meriones meridianus	261754				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | dead rodent | dead rodent
GCA_031714255.1	SAMN36398568	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_056342845.1	SAMN45853062	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_033206675.1	SAMN03121727	Campylobacter jejuni	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_033206935.1	SAMN03121731	Campylobacter jejuni	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_025629725.1	SAMN30823454	Riemerella anatipestifer	keep	vital-status audit	goose	goose	Anser anser	8843				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead goose | tissue sample | Brain tissue of dead goose | tissue sample
GCA_002003525.1	SAMN06345902	Basilea psittacipulmonis DSM 24701	keep	vital-status audit	parakeet	parakeet	Aves	8782				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | lungs of a dead parakeet | lungs of a dead parakeet
GCA_031714615.1	SAMN36398573	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_031714535.1	SAMN36398575	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | brain | brain
GCA_025907595.1	SAMN31394338	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead waterfowl | Dead waterfowl
GCA_031716815.1	SAMN36398633	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_056342605.1	SAMN45853073	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_048808045.1	SAMN47516350	Vibrio parahaemolyticus	clear	vital-status audit	unknown	unknown						alive		seafood/aquatic food product	seafood				seafood | aquatic food product | seafood/aquatic food product | aquatic food product | shrimp Alive bait
GCA_001518835.1	SAMN04158503	Leclercia adecarboxylata	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | mucus | nasopharynx
GCA_025629415.1	SAMN30816292	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_037450395.1	SAMN37453014	Salmonella enterica subsp. enterica serovar Molade	keep	vital-status audit	unknown	Dead chick	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead chick
GCA_002859405.1	SAMN04622943	Pasteurella multocida	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		28111					28111 | nasopharynx/oropharynx | 28111 | nasopharynx | mucus | nasopharynx
GCA_024436195.1	SAMN29759715	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_056342705.1	SAMN45853069	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_056342825.1	SAMN45853063	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_048944055.1	SAMN47478842	Vibrio parahaemolyticus	clear	vital-status audit	unknown	unknown						alive		seafood/aquatic food product	seafood				seafood | aquatic food product | seafood/aquatic food product | aquatic food product | shrimp Alive bait
GCA_002161865.1	SAMN06710092	Paenibacillus apiarius	keep	vital-status audit	Apis mellifera	Apis mellifera	Apis mellifera	7460				deceased		clinical/host-associated material	culture				culture | culture | clinical/host-associated material | clinical/host-associated material | dead larvae | pure culture | dead larvae | pure culture
GCA_031713675.1	SAMN36398539	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_031710575.1	SAMN36398608	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | brain | brain
GCA_025907455.1	SAMN31394344	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead waterfowl | Dead waterfowl
GCA_029662045.1	SAMN26559362	Pasteurella multocida	keep	vital-status audit	Meleagris gallopavo	Meleagris gallopavo	Meleagris gallopavo	9103				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver | animal | liver | liver
GCA_033206835.1	SAMN03121733	Campylobacter jejuni	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_024159005.1	SAMN29417214	Salmonella sp. S46	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		poultry meat/product	poultry meat				poultry meat | food/meat | poultry meat/product | food/meat | dead chicken liver
GCA_025629325.1	SAMN30816093	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_037450355.1	SAMN37453015	Salmonella enterica subsp. enterica serovar Oranienburg	keep	vital-status audit	unknown	unknown						deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead-in-shell embryo
GCA_019880465.1	SAMN16176831	Enterobacter cancerogenus	keep	vital-status audit	Helicoverpa armigera	Helicoverpa armigera	Helicoverpa armigera	29058				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | dead larvae | metagenomic assembly | dead larvae | metagenomic assembly
GCA_024124945.1	SAMN29359831	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | brain tissue | tissue sample | brain tissue | tissue sample
GCA_024436155.1	SAMN29759712	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_024436185.1	SAMN29759734	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_029661665.1	SAMN26559301	Pasteurella multocida	keep	vital-status audit	Gallus gallus	Gallus gallus	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver | animal | liver | liver
GCA_048719555.1	SAMN47478843	Vibrio parahaemolyticus	clear	vital-status audit	unknown	unknown						alive		seafood/aquatic food product	seafood				seafood | aquatic food product | seafood/aquatic food product | aquatic food product | shrimp Alive bait
GCA_002162295.1	SAMN06141922	Histophilus somni	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		28141					28141 | nasopharynx/oropharynx | 28141 | nasopharynx | mucus | nasopharynx
GCA_031712475.1	SAMN36398538	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_035802875.1	SAMN33769538	Bacillus anthracis	keep	vital-status audit	Thiacidas sp.	Thiacidas sp.	Thiacidas sp.	3064226				deceased			cell culture				cell culture | culture | cell culture | cell culture
GCA_025907745.1	SAMN31394341	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead waterfowl | Dead waterfowl
GCA_040609715.1	SAMN41496047	Streptomyces sp. NPDC004610	keep	vital-status audit	absent	near the bark of the dead tree	Viridiplantae	33090				deceased		clinical/host-associated material		wastewater		plant-associated environment	clinical/host-associated material | clinical/host-associated material | wastewater | plant-associated environment | near the bark of the dead tree | near the bark of the dead tree
GCA_031715215.1	SAMN36398588	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_015845705.1	SAMN03654336	Paenibacillus alvei	keep	vital-status audit	absent	dead mosquito larvae	Culicidae	7157				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead mosquito larvae | cell culture | dead mosquito larvae | cell culture
GCA_033206495.1	SAMN03121744	Campylobacter coli	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_056342765.1	SAMN45853066	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_002859285.1	SAMN04622946	Pasteurella multocida	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		28091					28091 | nasopharynx/oropharynx | 28091 | nasopharynx | mucus | nasopharynx
GCA_001518935.2	SAMN04158500	Corynebacterium glutamicum	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | mucus | nasopharynx
GCA_031714995.1	SAMN36398585	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_033206535.1	SAMN03121741	Campylobacter coli	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_031713915.1	SAMN36398562	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_002859265.1	SAMN04622935	Pasteurella multocida	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		13507					13507 | nasopharynx/oropharynx | 13507 | nasopharynx | mucus | nasopharynx
GCA_002859465.1	SAMN04622940	Pasteurella multocida	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		13522					13522 | nasopharynx/oropharynx | 13522 | nasopharynx | mucus | nasopharynx
GCA_055792845.1	SAMN49907839	Streptomyces sp. DSM 106670	keep	vital-status audit	absent	surface of dead mangrove wood	Viridiplantae	33090				deceased			cell culture				cell culture | culture | surface of dead mangrove wood | cell culture | surface of dead mangrove wood | cell culture
GCA_009664915.1	SAMN13243684	Brucella sp. 10RB9213	keep	vital-status audit	Pyxicephalus edulis (African bullfrog)	Pyxicephalus edulis (African bullfrog)	Pyxicephalus edulis	333692				deceased		clinical/host-associated material	gut content	culture medium			gut content | gut content | clinical/host-associated material | clinical/host-associated material | culture medium | skin/body surface | Tissue samples (liver, spleen, lung, heart, kidney, ovaries, gut, and skin) | Tissue samples (liver, spleen, lung, heart, kidney, ovaries, gut, and skin) were cultured on Columbia sheep blood, Gassner's agar (Oxoid, Wesel, Germany), and brucella agar (Merck, Darmstadt, Germany) at 20C and 37C for up to 96 h in an aerobic and microaerophilic atmosphere (5% H2, 10% CO2, 85% N). | Tissue samples (liver, spleen, lung, heart, kidney, ovaries, gut, and skin)
GCA_025629685.1	SAMN30823492	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_035803775.1	SAMN33770103	Paenibacillus larvae	keep	vital-status audit	honeybee	honeybee	Apis mellifera	7460				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead, powdery scale larvae | cell culture | dead, powdery scale larvae | cell culture
GCA_031463095.1	SAMN37223740	Pasteurella multocida	keep	vital-status audit	Marmota himalayana	Marmota himalayana	Marmota himalayana	93163				deceased		Gansu					Gansu | Gansu | Gansu
GCA_033206475.1	SAMN03121745	Campylobacter coli	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_015845605.1	SAMN03654335	Paenibacillus alvei	keep	vital-status audit	absent	dead mosquito larvae	Culicidae	7157				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead mosquito larvae | cell culture | dead mosquito larvae | cell culture
GCA_031712935.1	SAMN36398555	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_003045745.2	SAMN07644999	Bacillus anthracis	keep	vital-status audit	Ovis aries	Ovis aries	Ovis aries	9940				deceased	blood	clinical/host-associated material	blood				blood | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Blood from dead animal from fresh cut | whole organism with plasmids | Blood from dead animal from fresh cut | whole organism with plasmids
GCA_031711875.1	SAMN36398618	Pasteurella multocida	keep	vital-status audit	Chicken	Chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_025907555.1	SAMN31394339	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead waterfowl | Dead waterfowl
GCA_031712895.1	SAMN36398556	Pasteurella multocida	keep	vital-status audit	Chicken	Chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_031716075.1	SAMN36398593	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_002899415.1	SAMN08373106	Serratia marcescens	keep	vital-status audit	Dillman	Dead Mole Cricket	Gryllidae	6995				deceased		clinical/host-associated material	pure/single culture	environmental material			pure/single culture | culture | clinical/host-associated material | clinical/host-associated material | environmental material | Dead Mole Cricket | Scapteriscus borellii | Single colony | Dead Mole Cricket | Single colony | Scapteriscus borellii
GCA_031716135.1	SAMN36398596	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_040609735.1	SAMN41496048	Streptomyces sp. NPDC004611	keep	vital-status audit	absent	near the bark of the dead tree	Viridiplantae	33090				deceased		clinical/host-associated material		wastewater		plant-associated environment	clinical/host-associated material | clinical/host-associated material | wastewater | plant-associated environment | near the bark of the dead tree | near the bark of the dead tree
GCA_036212385.1	SAMN32975065	Brevibacillus agri	keep	vital-status audit	Apis mellifera	Apis mellifera	Apis mellifera	7460				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead honeybee larvae with powdery scale | cell culture | dead honeybee larvae with powdery scale | cell culture
GCA_046042595.1	SAMN34024041	Myroides odoratimimus	keep	vital-status audit	Pig	Pig	Sus scrofa	9823				deceased		clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Dead piglets clinical sample | Dead piglets clinical sample
GCA_024437765.1	SAMN29759741	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_031711775.1	SAMN36398615	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_031712015.1	SAMN36398621	Pasteurella multocida	keep	vital-status audit	Chicken	Chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_033206915.1	SAMN03121730	Campylobacter jejuni	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_006370265.1	SAMN11962810	Bacillus cereus	keep	vital-status audit	absent	absent						deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead insect from maize field | cell culture | dead insect from maize field | cell culture
GCA_025907495.1	SAMN31394343	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead waterfowl | Dead waterfowl
GCA_031714215.1	SAMN36398567	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_025629365.1	SAMN30816141	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_031716915.1	SAMN36398602	Pasteurella multocida	keep	vital-status audit	Goose	Goose	Anser anser	8843				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_002162255.1	SAMN06141918	Histophilus somni	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive	bronchoalveolar lavage fluid	clinical/host-associated material	bronchoalveolar lavage fluid				bronchoalveolar lavage fluid | respiratory sample | clinical/host-associated material | clinical/host-associated material | lower respiratory tract/bronch/pleural cavity | 17284 | bronchoalveolar lavage | bodily fluid | bronchoalveolar lavage
GCA_001518795.1	SAMN04158504	Aerococcus urinaeequi	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | mucus | nasopharynx
GCA_032669925.1	SAMN37223741	Pasteurella multocida	keep	vital-status audit	Marmota himalayana	Marmota himalayana	Marmota himalayana	93163				deceased		Gansu					Gansu | Gansu | Gansu
GCA_035817495.1	SAMN33940791	Bacillus cereus	keep	vital-status audit	absent	dead insect pupa Choristoneura occidentalis	Insecta	50557				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead insect pupa Choristoneura occidentalis | cell culture | dead insect pupa Choristoneura occidentalis | cell culture
GCA_053603915.1	SAMN41498638	Streptomyces parvulus	keep	vital-status audit	absent	root of the old dead tree from forest	Viridiplantae	33090				deceased		plant-associated material		soil		plant-associated environment	plant-associated material | plant-associated material | soil | plant-associated environment | root | root of the old dead tree from forest | root of the old dead tree from forest
GCA_035817535.1	SAMN33940790	Bacillus cereus	keep	vital-status audit	absent	dead insect pupa Choristomeura occidentalis	Insecta	50557				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead insect pupa Choristomeura occidentalis | cell culture | dead insect pupa Choristomeura occidentalis | cell culture
GCA_025629395.1	SAMN30816140	Riemerella anatipestifer	keep	vital-status audit	duck	duck	Anas platyrhynchos	8839				deceased	tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | organ/tissue site | Brain tissue of dead ducks | tissue sample | Brain tissue of dead ducks | tissue sample
GCA_002162235.1	SAMN06141921	Histophilus somni	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		28126					28126 | nasopharynx/oropharynx | 28126 | nasopharynx | mucus | nasopharynx
GCA_000687395.1	SAMN02729061	Chlamydia psittaci	keep	vital-status audit	Parrotbill	Parrotbill	Passeriformes	9126				deceased		the spleens of the free-living vinous-throated Parrotbill					the spleens of the free-living vinous-throated Parrotbill | the spleens of the free-living vinous-throated Parrotbill | the spleens of the free-living vinous-throated Parrotbill
GCA_031712175.1	SAMN36398624	Pasteurella multocida	keep	vital-status audit	Chicken	Chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_037907125.1	SAMN33770102	Paenibacillus larvae	keep	vital-status audit	honeybee	honeybee	Apis mellifera	7460				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead, powdery scale larvae | cell culture | dead, powdery scale larvae | cell culture
GCA_024159125.1	SAMN29417129	Salmonella sp. S87	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		poultry meat/product	poultry meat				poultry meat | food/meat | poultry meat/product | food/meat | dead chicken liver
GCA_033206875.1	SAMN03121736	Campylobacter jejuni	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_031710475.1	SAMN36398606	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_002859445.1	SAMN04622937	Pasteurella multocida	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		13558					13558 | nasopharynx/oropharynx | 13558 | nasopharynx | mucus | nasopharynx
GCA_035796215.1	SAMN33769768	Bacillus cereus	keep	vital-status audit	honeybee	honeybee	Apis mellifera	7460				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | larvae with powdery scale | cell culture | larvae with powdery scale | cell culture
