rule_id	destination_field	proposed_value	existing_or_detail	count	interpretation	representative_examples
SEC-LOCAL-SINK	Environment_Local_Scale_SD	sink	existing_different=healthcare facility	32	preserved existing value; review grouped examples	GCA_003248965.1;GCA_003241175.1;GCA_003241285.1;GCA_003248935.1;GCA_004372345.1
SEC-MATERIAL-FECES	Sample_Material_SD	feces/stool	existing_different=manure/fecal material	30	preserved existing value; review grouped examples	GCA_032410565.1;GCA_032411205.1;GCA_032410625.1;GCA_032410905.1;GCA_032410945.1
SEC-MATERIAL-TISSUE	Sample_Material_SD	tissue	existing_different=plant material	26	preserved existing value; review grouped examples	GCA_002174875.1;GCA_002175185.1;GCA_041449415.1;GCA_020092225.1;GCA_002112085.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=environmental sample	24	preserved existing value; review grouped examples	GCA_005999725.1;GCA_045985405.1;GCA_050376695.1;GCA_016519475.1;GCA_016520205.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=wastewater/sewage	22	preserved existing value; review grouped examples	GCA_964293695.1;GCA_964292195.1;GCA_964293445.1;GCA_964292395.1;GCA_041916695.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=host-associated gut/oral/fecal environment	20	preserved existing value; review grouped examples	GCA_057176665.1;GCA_057176985.1;GCA_011007235.1;GCA_032025985.1;GCA_051788645.1
SEC-LOCAL-FARM	Environment_Local_Scale_SD	farm	existing_different=gut/fecal local context	20	preserved existing value; review grouped examples	GCA_057176665.1;GCA_057176985.1;GCA_011007235.1;GCA_032025985.1;GCA_051788645.1
SEC-MEDIUM-BIOFILM	Environment_Medium_SD	biofilm	existing_different=marine	19	preserved existing value; review grouped examples	GCA_056312255.1;GCA_056159905.1;GCA_056160385.1;GCA_056161285.1;GCA_056280865.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=environmental material	19	preserved existing value; review grouped examples	GCA_013297935.1;GCA_038432725.1;GCA_041928395.1;GCA_038432895.1;GCA_041928075.1
SEC-BROAD-LABORATORY	Environment_Broad_Scale_SD	laboratory environment	existing_different=freshwater environment	18	preserved existing value; review grouped examples	GCA_052437905.1;GCA_052437485.1;GCA_052437435.1;GCA_052436255.1;GCA_052436935.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=marine environment	17	preserved existing value; review grouped examples	GCA_030763665.1;GCA_030764425.1;GCA_030763825.1;GCA_030764305.1;GCA_030764105.1
SEC-LOCAL-SINK	Environment_Local_Scale_SD	sink	existing_different=intensive care unit	17	preserved existing value; review grouped examples	GCA_003935525.1;GCA_050046755.1;GCA_003939865.1;GCA_050047495.1;GCA_003935615.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=aquatic sediment environment	15	preserved existing value; review grouped examples	GCA_057708125.1;GCA_041449215.1;GCA_051007375.1;GCA_029718205.1;GCA_029717625.1
SEC-BROAD-LABORATORY	Environment_Broad_Scale_SD	laboratory environment	existing_different=wastewater/sewage	11	preserved existing value; review grouped examples	GCA_023150195.1;GCA_019187555.1;GCA_019187405.1;GCA_026647655.1;GCA_019187525.1
SEC-LOCAL-STREAM	Environment_Local_Scale_SD	stream	existing_different=river	11	preserved existing value; review grouped examples	GCA_030158215.1;GCA_030157685.1;GCA_030157445.1;GCA_030157745.1;GCA_030158375.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=aquatic sediment environment	9	preserved existing value; review grouped examples	GCA_057708125.1;GCA_041449215.1;GCA_051007375.1;GCA_051006555.1;GCA_057708105.1
SEC-MEDIUM-MANURE	Environment_Medium_SD	agricultural organic material	destination_blank=false; existing=wastewater	9	preserved existing value; review grouped examples	GCA_001512885.1;GCA_001513285.1;GCA_001512545.1;GCA_001512945.1;GCA_001513385.1
SEC-MEDIUM-WASTEWATER	Environment_Medium_SD	wastewater	existing_different=sewage	8	preserved existing value; review grouped examples	GCA_052035295.1;GCA_052034235.1;GCA_052034525.1;GCA_052033755.1;GCA_052034805.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=freshwater environment	7	preserved existing value; review grouped examples	GCA_023212325.2;GCA_023212385.2;GCA_026130645.1;GCA_009427975.1;GCA_026435135.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=plant-associated environment	7	preserved existing value; review grouped examples	GCA_053456665.1;GCA_020683105.1;GCA_017146535.1;GCA_030544865.1;GCA_009793285.1
SEC-LOCAL-FARM	Environment_Local_Scale_SD	farm	existing_different=agricultural field	7	preserved existing value; review grouped examples	GCA_054852975.1;GCA_054857975.1;GCA_054852575.1;GCA_054852095.1;GCA_054856655.1
SEC-LOCAL-DRAIN	Environment_Local_Scale_SD	drain	existing_different=healthcare facility	6	preserved existing value; review grouped examples	GCA_057581945.1;GCA_029686625.1;GCA_057573125.1;GCA_057582925.1;GCA_029770025.1
SEC-LOCAL-FARM	Environment_Local_Scale_SD	farm	existing_different=activated sludge	5	preserved existing value; review grouped examples	GCA_035441505.1;GCA_035520055.1;GCA_035441745.1;GCA_035441725.1;GCA_035520535.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=biofilm	5	preserved existing value; review grouped examples	GCA_902500745.1;GCA_002483225.1;GCA_002483305.1;GCA_902500825.1;GCA_002483285.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=plant-associated environment	4	preserved existing value; review grouped examples	GCA_041514415.1;GCA_040152085.1;GCA_052618455.1;GCA_024160725.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=wastewater/sewage	3	preserved existing value; review grouped examples	GCA_035441505.1;GCA_035520055.1;GCA_001892045.1
SEC-CONTEXT-LABORATORY	Sampling_Context_SD	laboratory	existing_different=clinical subject	3	preserved existing value; review grouped examples	GCA_047964875.1;GCA_000736455.1;GCA_047977785.1
SEC-MEDIUM-MANURE	Environment_Medium_SD	agricultural organic material	destination_blank=false; existing=soil	3	preserved existing value; review grouped examples	GCA_015693205.1;GCA_024607895.1;GCA_015693245.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=groundwater	3	preserved existing value; review grouped examples	GCA_002339355.1;GCA_929618895.1;GCA_002323755.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=lake water	3	preserved existing value; review grouped examples	GCA_018854475.1;GCA_018734325.1;GCA_000980855.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=environmental sample	2	preserved existing value; review grouped examples	GCA_010096965.1;GCA_010098785.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=marine environment	2	preserved existing value; review grouped examples	GCA_000325705.1;GCA_001883265.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=wastewater/sewage	2	preserved existing value; review grouped examples	GCA_035441505.1;GCA_035520055.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=clinical/host-associated material	2	preserved existing value; review grouped examples	GCA_035618915.1;GCA_002009415.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=estuarine environment	2	preserved existing value; review grouped examples	GCA_018638275.1;GCA_005577135.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=host-associated environment	2	preserved existing value; review grouped examples	GCA_057175705.1;GCA_056521815.1
SEC-BROAD-HEALTHCARE	Environment_Broad_Scale_SD	healthcare-associated environment	existing_different=built environment	2	preserved existing value; review grouped examples	GCA_937923775.1;GCA_043698845.1
SEC-LOCAL-RHIZOSPHERE	Environment_Local_Scale_SD	rhizosphere	existing_different=farm	2	preserved existing value; review grouped examples	GCA_053456665.1;GCA_053456765.1
SEC-MEDIUM-MANURE	Environment_Medium_SD	agricultural organic material	destination_blank=false; existing=compost	2	preserved existing value; review grouped examples	GCA_003387735.1;GCA_003390775.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=environmental water	2	preserved existing value; review grouped examples	GCA_056135665.1;GCA_056360675.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=pond water	2	preserved existing value; review grouped examples	GCA_007994965.1;GCA_025950525.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=wastewater	2	preserved existing value; review grouped examples	GCA_002473245.1;GCA_040634385.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=clinical/host-associated material	1	preserved existing value; review grouped examples	GCA_035618915.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=estuarine environment	1	preserved existing value; review grouped examples	GCA_018638275.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=freshwater environment	1	preserved existing value; review grouped examples	GCA_009427975.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=host-associated environment	1	preserved existing value; review grouped examples	GCA_052161695.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=air/built environment	1	preserved existing value; review grouped examples	GCA_020386615.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=clinical/host-associated material	1	preserved existing value; review grouped examples	GCA_016465865.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=built/urban environment	1	preserved existing value; review grouped examples	GCA_934277605.1
SEC-LOCAL-FARM	Environment_Local_Scale_SD	farm	existing_different=agricultural environment	1	preserved existing value; review grouped examples	GCA_005171095.1
SEC-LOCAL-FARM	Environment_Local_Scale_SD	farm	existing_different=lake	1	preserved existing value; review grouped examples	GCA_009427975.1
SEC-MEDIUM-MANURE	Environment_Medium_SD	agricultural organic material	destination_blank=false; existing=lake water	1	preserved existing value; review grouped examples	GCA_017355635.1
SEC-MEDIUM-MANURE	Environment_Medium_SD	agricultural organic material	destination_blank=false; existing=sediment	1	preserved existing value; review grouped examples	GCA_043354745.1
SEC-MEDIUM-SEWAGE	Environment_Medium_SD	sewage	existing_different=agricultural/food-production water	1	preserved existing value; review grouped examples	GCA_057194285.1
SEC-MEDIUM-WASTEWATER	Environment_Medium_SD	wastewater	existing_different=agricultural/food-production water	1	preserved existing value; review grouped examples	GCA_030418525.1
SEC-MEDIUM-WASTEWATER	Environment_Medium_SD	wastewater	existing_different=air	1	preserved existing value; review grouped examples	GCA_026796955.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=hot spring water	1	preserved existing value; review grouped examples	GCA_001996285.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=river water	1	preserved existing value; review grouped examples	GCA_009982955.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=seawater	1	preserved existing value; review grouped examples	GCA_004798905.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=soil	1	preserved existing value; review grouped examples	GCA_040611435.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=surface water	1	preserved existing value; review grouped examples	GCA_002214865.1
