current_field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	affected_assignments	additive_destinations	remove_from_current_field	action_class	confidence	rationale	source_flags
Isolation_Site_SD	abscess	anatomical_site	sample_material|disease	sample_material:abscess material|anatomical_site:abscess/lesion site|disease:disease manifestation	4086	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Host_Disease_SD	false	composite_requires_split	medium	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	remaining_non_site_values
Sample_Type_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	4019	Sample_Material_SD|Environment_Medium_SD	false	composite_requires_split	high	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	environment_values_in_sample_type
Sample_Type_SD_Broad	agricultural fecal material	unresolved		unresolved:no deterministic semantic component	4019	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Medium_SD	leachate	unresolved		unresolved:no deterministic semantic component	3937	admin_review	false	classifier_uncertain	low	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Sample_Type_SD	cold seep	environment_local_scale		environment_local_scale:cold seep	3866	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	farm	environment_local_scale		environment_local_scale:farm	3734	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	surface/sample collection material	environment_local_scale		environment_local_scale:local environmental or facility feature	3554	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Site_SD	gut content	anatomical_site	sample_material|anatomical_material	sample_material:gut/intestinal content|anatomical_material:host anatomical material|anatomical_site:gastrointestinal tract	3257	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split	high	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	remaining_non_site_values
Sample_Type_SD_Broad	built environment	environment_broad_scale		environment_broad_scale:broad environmental setting	2990	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	deep-sea hydrothermal deposit	unresolved		unresolved:no deterministic semantic component	2894	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD	urine	sample_material		sample_material:physical specimen/material	2891	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Environment_Local_Scale_SD	intensive care unit	care_setting		care_setting:care setting	2869	Host_Care_Setting_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Sample_Type_SD_Broad	wastewater/sewage	environment_medium		environment_medium:wastewater/sewage	2786	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	broiler	host_context	production_context	production_context:broiler production context|host_context:poultry	2751	Host_Context_SD|Host_Production_Context_SD	false	composite_requires_split	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Local_Scale_SD	laboratory	sampling_context		sampling_context:laboratory context	2481	Sampling_Context_SD	true	manual_review	medium	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Medium_SD	laboratory	sampling_context		sampling_context:laboratory context	2251	Sampling_Context_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	laboratory environment	environment_broad_scale		environment_broad_scale:laboratory environment	2251	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Medium_SD	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	2229	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	2229	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	manual_review	medium	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Sample_Type_SD_Broad	medical device	unresolved		unresolved:no deterministic semantic component	2137	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	enrichment culture	sample_entity	sample_processing	sample_entity:enrichment culture|sample_processing:enrichment	1973	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sampling_Context_SD	plant-associated	host_context		host_context:host-associated context	1891	Host_Context_SD	true	manual_review	high	Sampling_Context_SD should contain sampling-context values only.	invalid_sampling_context_values
Sample_Type_SD	spore release material	unresolved		unresolved:no deterministic semantic component	1793	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	DNA extract	sample_material	sample_processing	sample_material:molecular extract|sample_processing:DNA extraction	1792	Sample_Material_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Environment_Medium_SD_Broad	built environment	environment_broad_scale		environment_broad_scale:broad environmental setting	1758	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Sample_Type_SD	cave biofilm	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	1716	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	drain	environment_local_scale		environment_local_scale:drain	1546	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	anaerobic digester	environment_local_scale		environment_local_scale:anaerobic digester	1532	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	wastewater/organic waste	environment_medium		environment_medium:environmental medium	1532	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	nodule	unresolved		unresolved:no deterministic semantic component	1462	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Local_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	1441	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Sample_Type_SD	sink	environment_local_scale		environment_local_scale:sink	1323	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Environment_Medium_SD	sea ice	unresolved		unresolved:no deterministic semantic component	1317	admin_review	false	classifier_uncertain	low	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Sample_Type_SD	saline water	environment_medium		environment_medium:environmental medium	1316	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	ice core section from central arctic ocean	unresolved		unresolved:no deterministic semantic component	1201	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	hospital wastewater	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	1185	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	bloodstream	anatomical_site		anatomical_site:bloodstream/vascular compartment	1123	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Health_State_SD	healthy/control	health_state	study_group	health_state:healthy|study_group:control group	1077	Host_Study_Group_SD	false	composite_requires_split	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	composite_health_state_values|non_health_values_in_host_health_state|study_group_values_in_health_state
Sample_Type_SD	core	unresolved		unresolved:no deterministic semantic component	1049	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	1041	Sample_Entity_SD|Sample_Type_SD|Sample_Processing_SD	false	composite_requires_split	high	Broad source category is a legacy umbrella or decomposition candidate; document before migration.	ambiguous_broad_source_categories
Environment_Medium_SD_Broad	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	1030	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Medium_SD	healthcare facility	environment_local_scale		environment_local_scale:healthcare facility	1029	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Isolation_Site_SD	plant stem	anatomical_site	host_context	anatomical_site:anatomical site or plant part|host_context:host-associated context	979	Host_Anatomical_Site_SD|Host_Context_SD	false	composite_requires_split	medium	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	remaining_non_site_values
Environment_Broad_Scale_SD	geothermal environment	unresolved		unresolved:no deterministic semantic component	963	admin_review	false	classifier_uncertain	low	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Sample_Type_SD	microbial culture	sample_entity	sample_processing	sample_entity:microbial culture|sample_processing:cultured	957	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	rectovaginal site	unresolved		unresolved:no deterministic semantic component	933	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	hospital sewage	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	913	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Environment_Local_Scale_SD	subsurface shale	unresolved		unresolved:no deterministic semantic component	881	admin_review	false	classifier_uncertain	low	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Sample_Type_SD	salmon	unresolved		unresolved:no deterministic semantic component	878	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Medium_SD	subsurface shale	unresolved		unresolved:no deterministic semantic component	847	admin_review	false	classifier_uncertain	low	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Sample_Type_SD	terrestrial environment	environment_broad_scale		environment_broad_scale:broad environmental setting	845	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	long-term care facility	environment_local_scale	care_setting	care_setting:care setting|environment_local_scale:local environmental or facility feature	841	Environment_Local_Scale_SD|Host_Care_Setting_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	841	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Medium_SD	cryoconite	unresolved		unresolved:no deterministic semantic component	835	admin_review	false	classifier_uncertain	low	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD	biological product	source_context		source_context:biological product/source context	826	Isolation_Source_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	biological/clinical product	source_context		source_context:broad source context	826	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Sample_Type_SD	leaves	unresolved		unresolved:no deterministic semantic component	819	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	surface layer	environment_local_scale		environment_local_scale:local environmental or facility feature	797	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Environment_Medium_SD	biological waste material	unresolved		unresolved:no deterministic semantic component	796	admin_review	false	classifier_uncertain	low	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Sample_Type_SD	produced fluids from hydraulically fractured shales	unresolved		unresolved:no deterministic semantic component	782	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	glacier	environment_local_scale		environment_local_scale:glacier	736	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Environment_Broad_Scale_SD	anthropogenic environment	unresolved		unresolved:no deterministic semantic component	705	admin_review	false	classifier_uncertain	low	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Sample_Type_SD	anaerobic bioreactor effluent	unresolved		unresolved:no deterministic semantic component	688	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	ground chicken	unresolved		unresolved:no deterministic semantic component	667	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	gill	anatomical_site		anatomical_site:gill	665	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
