current_field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	affected_assignments	additive_destinations	remove_from_current_field	action_class	confidence	rationale	source_flags
Environment_Local_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	1441	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Medium_SD_Broad	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	1030	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Medium_SD	healthcare facility	environment_local_scale		environment_local_scale:healthcare facility	1029	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD	biological product	source_context		source_context:biological product/source context	826	Isolation_Source_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	biological/clinical product	source_context		source_context:broad source context	826	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Local_Scale_SD	rumen/gut content	sample_material	anatomical_material	sample_material:gut/rumen content|anatomical_material:host anatomical material	474	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Medium_SD	environmental sample	sampling_context		sampling_context:environmental	463	Sampling_Context_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD	glacier	environment_local_scale		environment_local_scale:glacier	434	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	environmental/geologic material	source_context		source_context:environmental or geologic source context	434	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Medium_SD	built environment surface	environment_local_scale	environment_broad_scale	environment_local_scale:local environmental or facility feature|environment_broad_scale:broad environmental setting	384	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	surface sample	environment_local_scale		environment_local_scale:local environmental or facility feature	379	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Medium_SD	natural/free-living	source_context		source_context:natural or free-living source context	290	Isolation_Source_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Isolation_Site_SD	phyllosphere	environment_local_scale	host_context	environment_local_scale:phyllosphere|host_context:plant-associated	242	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review	medium	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site|remaining_non_site_values
Sample_Material_SD	plant material	host_context		host_context:host-associated context	234	Host_Context_SD	true	manual_review	high	Sample_Material_SD should contain physical specimen/material values only.	invalid_sample_material_values
Environment_Local_Scale_SD	agricultural ecosystem	environment_broad_scale		environment_broad_scale:agricultural environment/ecosystem	127	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Medium_SD	Oyster pond	environment_local_scale		environment_local_scale:local environmental or facility feature	86	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	65	Sample_Material_SD|Sample_Type_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Isolation_Site_SD	endosphere	environment_local_scale	host_context	environment_local_scale:endosphere/plant internal compartment|host_context:plant-associated	55	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review	medium	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site|remaining_non_site_values
Environment_Local_Scale_SD	mariculture biome	environment_broad_scale		environment_broad_scale:mariculture biome	43	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Medium_SD	land crag	environment_local_scale		environment_local_scale:land crag	6	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Isolation_Site_SD	catheter	source_context	collection_device	collection_device:catheter|source_context:medical device	2	Isolation_Source_SD|Sample_Collection_Device_SD	true	confirmed_high_confidence_fix	high	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site|remaining_non_site_values
Environment_Medium_SD	healthcare facility surface	environment_local_scale		environment_local_scale:local environmental or facility feature	1	Environment_Local_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
