source_column,original_value,destination,proposed_value,confidence,decision,reason
Isolation Source,feces market swine,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig fecal,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,peptic ulcer disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,steer feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),forestry envo 01001432 soil envo 00002003,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,stool sample from recent mother human gut biome,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,dairy other animal,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Environment (Local Scale),marine hydrothermal sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,pig faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),south china sea sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),sludge envo 00002044,Environment_Medium_SD,sludge,high,apply,safe
Isolation Source,chicken field feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human missing,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Environment (Local Scale),blood,Sample_Type_SD,blood,high,apply,safe
Environment Medium,stool,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,celiac disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Site,soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),marine water mass envo 01000686,Environment_Medium_SD,seawater,high,apply,safe
Isolation Source,human blood culture,Sample_Type_SD,blood,high,apply,safe
Isolation Source,patient blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,tonsil from healthy pig in slaughterhouse,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Environment (Local Scale),surface sediment,Environment_Medium_SD,sediment,high,apply,safe
Host Disease,sour skin disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,bovine respiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),sandy sediment envo 01000118,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,feces young chicken,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool from hospitalized human,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,hospital biome,Isolation_Source_SD,healthcare facility,high,apply,safe
Environment (Local Scale),wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Environment Medium,center of the feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),surface seawater,Environment_Medium_SD,seawater,high,apply,safe
Isolation Source,feces dairy cow,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces heifer,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,nontuberculous mycobacterial lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,alzheimer disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Broad Scale),biofilm metagenome,Environment_Medium_SD,biofilm,high,apply,safe
Host Disease,bovine respiratory disease complex,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),sediment water,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),red clay soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,swine fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pooled poultry feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human sputum sample,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,patient sputum,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,poultry soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,faecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,cerebrovascular disease hemiplegia,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Broad Scale),disease in fish,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,infected human urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,turkey faecal samples,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum of child cystic fibrosis patient,Sample_Type_SD,sputum,high,apply,safe
Environment Medium,fecal pellets,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,anthrax disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Site,fecal,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),creosote contaminated soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),landscaping soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,cattle fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces young turkey,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cattle faecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood from critically ill patient,Sample_Type_SD,blood,high,apply,safe
Environment (Broad Scale),metagenome assambled genome of coral reef macroalgae biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Environment (Local Scale),blood,Sample_Type_SD,blood,high,apply,safe
Sample Type,human missing,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Environment (Broad Scale),fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),healthy group,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Host Disease,cold water disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),forest soil,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,diseased tissue,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),diseased tissue,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,patient fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,isolated from feces from dairy cow,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,homo sapiens faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),brachypodium rhizosphere enrichment,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),rhizosphere,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),swine faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal swabs,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,coronary artery disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),fecal,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,non progressive alcoholic liver disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Isolation Source,human stool samples,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,brucella disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),seawater,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),hypersaline lagoon sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),active sludge,Environment_Medium_SD,sludge,high,apply,safe
Host Disease,glasser s disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),marine sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),mooring chain links surface biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Environment (Local Scale),sludge envo 00002044,Environment_Medium_SD,sludge,high,apply,safe
Isolation Source,human faecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,a feces sample of swine origin,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,patient blood culture samples,Sample_Type_SD,blood,high,apply,safe
Isolation Source,pig fecal,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,human stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Broad Scale),urine,Sample_Type_SD,urine,high,apply,safe
Host Disease,other animal,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Host Disease,mac lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,pulmonary disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),soil adjacent to cadaver decomposition,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),anaerobic sediment envo 00002045,Environment_Medium_SD,sediment,high,apply,safe
Environment Medium,hypersaline pond,Environment_Medium_SD,pond water,high,apply,safe
Isolation Source,human urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,patient blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,poultry faecal material,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cattle feces juveniles,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,patient s blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human healthy carriers,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Environment Medium,fecal,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),soil environment envo 01001044,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),saline soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,mycobacterium avium complex disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,helicobacter pylori peptic ulcer disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),cf sputum,Sample_Type_SD,sputum,high,apply,safe
Host Disease,hemorrhagic disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,respiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,fecal sample from diarrhoea affected cattle b,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),bashi channel sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,animal poultry feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,fecal pasture close to dairy cow,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces cattle,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool specimen from a guillain barre syndrome patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig slaughterhouse wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Isolation Source,cattle soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),domestic wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Host Disease,infectious disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),soil isolate,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,lake washington,Environment_Medium_SD,lake water,high,apply,safe
Environment (Local Scale),bottom seawater near chesterfield inlet,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),sputum,Sample_Type_SD,sputum,high,apply,safe
Host Disease,lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,infant stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,blood,Sample_Type_SD,blood,high,apply,safe
Host Disease,bovine respiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),deep marine sediment,Environment_Medium_SD,sediment,high,apply,safe
Host Disease,coldwater disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),marine water body,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),sediment envo 00002007,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),surface seawater near chesterfield inlet,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),wastewater treatment plant,Environment_Medium_SD,wastewater,high,apply,safe
Isolation Source,pig fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,dairy cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,dairy cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pooled soil sample collected from floor of sheep farm,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,feces of homo sapiens,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool from healthy human,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,diseased pig,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,sputum from patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,fecal sample from diarrhoea affected cattle a,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool from msm patient,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),rhizosphere soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),marine sediment envo 03000033,Environment_Medium_SD,sediment,high,apply,safe
Sample Type,wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),sandy desert soil,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,nasal swab,Sample_Type_SD,nasal swab,high,apply,safe
Isolation Source,duodenal mucosa of celiac disease patient,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),arid soil plant roots,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),fire blight diseased leaf,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,feces of homo sapiens,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sheep faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sheep soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,urine,Sample_Type_SD,urine,high,apply,safe
Host Disease,urine colonization,Sample_Type_SD,urine,high,apply,safe
Environment (Local Scale),environment associated with a plant part or small plant envo 01001057 rhizosphere environment envo 01000999 soil environment envo 01001044,Environment_Medium_SD,soil,high,apply,safe
Host Disease,foodborne disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,sputum of homo sapiens,Sample_Type_SD,sputum,high,apply,safe
Environment (Broad Scale),sputum,Sample_Type_SD,sputum,high,apply,safe
Host Disease,pulmonary disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,ntm disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,peptic ulcer disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,feces of chicken,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,swab nasopharyngeal,Sample_Type_SD,nasopharyngeal swab,high,apply,safe
Environment (Local Scale),biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Isolation Site,marine sediment,Environment_Medium_SD,sediment,high,apply,safe
Host Disease,crown gall disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),surface soil 5 20 cm,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),biological soil crust,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),marine sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),sub sea sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),paddy rhizospheric soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),wall biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Environment (Local Scale),contaminated air envo 01000676,Environment_Medium_SD,air,high,apply,safe
Environment (Local Scale),bottom seawater near arviat,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),soil envo 00001998,Environment_Medium_SD,soil,high,apply,safe
