synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
environment of equine clinic,Host,environment of equine clinic,environment of equine clinic,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: healthcare environment.
"Environment, animals",Host,"Environment, animals",environment animals,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Dog Environment,Host,Dog Environment,dog environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental avian,Host,environmental avian,environmental avian,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,Host,biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,biofilm non axenic culture containing capilliphycus salinus and associated bacteria,Environment_Medium_SD,biofilm,biofilm,biofilm,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: biofilm source.
turkey environmental,Host,turkey environmental,turkey environmental,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Pig Special Project (Sampling of Livestock and Poultry Environment),Host,Pig Special Project (Sampling of Livestock and Poultry Environment),pig special project sampling of livestock and poultry environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
equine hospital environmental,Host,equine hospital environmental,equine hospital environmental,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: healthcare environment.
pigeon farm environment,Host,pigeon farm environment,pigeon farm environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental turtle tank,Host,environmental turtle tank,environmental turtle tank,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental-chicken,Host,environmental-chicken,environmental chicken,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
equine environment,Host,equine environment,equine environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental feline,Host,environmental feline,environmental feline,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
"Environment, poultry farm",Host,"Environment, poultry farm",environment poultry farm,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environment corn silage,Host,environment corn silage,environment corn silage,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
"Environment, poultry barn",Host,"Environment, poultry barn",environment poultry barn,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Avian Environment,Host,Avian Environment,avian environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
bacteria cells (from culture that grew from a isolated colony),Host,bacteria cells (from culture that grew from a isolated colony),bacteria cells from culture that grew from a isolated colony,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
Pure culture of Gram (+) bacteria,Host,Pure culture of Gram (+) bacteria,pure culture of gram bacteria,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
a piece of sunken bamboo in the marine environment,Host,a piece of sunken bamboo in the marine environment,a piece of sunken bamboo in the marine environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environmental-turtle tank water,Host,Environmental-turtle tank water,environmental turtle tank water,Environment_Medium_SD,water,water,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: water source.
Poultry-Environmental,Host,Poultry-Environmental,poultry environmental,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Chicken slaughterhouse environment,Host,Chicken slaughterhouse environment,chicken slaughterhouse environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
broiler environment - boot sock,Host,broiler environment - boot sock,broiler environment boot sock,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environmental surface sponge,Host,Environmental surface sponge,environmental surface sponge,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Duck Pemise. Environmental drag booties from the duck barn floor,Host,Duck Pemise. Environmental drag booties from the duck barn floor,duck pemise environmental drag booties from the duck barn floor,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental clean incubator pheasant barn,Host,environmental clean incubator pheasant barn,environmental clean incubator pheasant barn,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental-quail,Host,environmental-quail,environmental quail,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environment feeding stuffs plant,Host,Environment feeding stuffs plant,environment feeding stuffs plant,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
bovine environmental plant leaves,Host,bovine environmental plant leaves,bovine environmental plant leaves,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
avian environmental incubator,Host,avian environmental incubator,avian environmental incubator,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
"Animal Feed, Environment, Feed Mill",Host,"Animal Feed, Environment, Feed Mill",animal feed environment feed mill,Isolation_Source_SD,food-processing environment,food-processing environment,food-processing environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: food/processing environment.
environmental porcine,Host,environmental porcine,environmental porcine,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Lab bacteria culture,Host,Lab bacteria culture,lab bacteria culture,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
Environment sponge from processin plant,Host,Environment sponge from processin plant,environment sponge from processin plant,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Processing environment sponge from retailer,Host,Processing environment sponge from retailer,processing environment sponge from retailer,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environment contaminated by Homo sapiens patients,Host,environment contaminated by Homo sapiens patients,environment contaminated by homo sapiens patients,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
non mosquito Diptera environment,Host,non mosquito Diptera environment,non mosquito diptera environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Mushroom environment,Host,Mushroom environment,mushroom environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Dairy plant (environmental),Host,Dairy plant (environmental),dairy plant environmental,Isolation_Source_SD,food-processing environment,food-processing environment,food-processing environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: food/processing environment.
environmental sponges,Host,environmental sponges,environmental sponges,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Plant-associated environment,Host,Plant-associated environment,plant associated environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environment of live poultry market,Host,environment of live poultry market,environment of live poultry market,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
animal-associated environment [ENVO:01001002],Host,animal-associated environment [ENVO:01001002],animal associated environment envo 01001002,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environment,Host,Environment,environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
environmental sample,Host,environmental sample,environmental sample,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Hospital environment,Host,Hospital environment,hospital environment,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: healthcare environment.
freshwater metagenome,Host,freshwater metagenome,freshwater metagenome,Environment_Medium_SD,freshwater,freshwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: freshwater source.
imported food,Host,imported food,imported food,Isolation_Source_SD,food/food product,food/food product,food,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: food source.
"Poultry Environment, bootsock",Host,"Poultry Environment, bootsock",poultry environment bootsock,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
ICU environment,Host,ICU environment,icu environment,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: healthcare environment.
farm environment,Host,farm environment,farm environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
meat products,Host,meat products,meat products,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
rain water,Host,rain water,rain water,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
lamb offal or meat,Host,lamb offal or meat,lamb offal or meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
"Poultry Environment, water",Host,"Poultry Environment, water",poultry environment water,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
soil substrate,Host,soil substrate,soil substrate,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
industrial environment,Host,industrial environment,industrial environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Storm water,Host,Storm water,storm water,Environment_Medium_SD,stormwater,stormwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: stormwater source.
pork offal or meat,Host,pork offal or meat,pork offal or meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Environment of nosocomial settings,Host,Environment of nosocomial settings,environment of nosocomial settings,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Soil aggregate,Host,Soil aggregate,soil aggregate,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
seawater metagenome,Host,seawater metagenome,seawater metagenome,Environment_Medium_SD,seawater,seawater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: marine water source.
sample from the maternity hospital,Host,sample from the maternity hospital,sample from the maternity hospital,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: healthcare environment.
Soil in chicken farm,Host,Soil in chicken farm,soil in chicken farm,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
minced meat,Host,minced meat,minced meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
inter-root soil,Host,inter-root soil,inter root soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
natural environment,Host,natural environment,natural environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
soil microorganism,Host,soil microorganism,soil microorganism,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Fresh water lake,Host,Fresh water lake,fresh water lake,Environment_Medium_SD,freshwater,freshwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: freshwater source.
alkali-saline soil,Host,alkali-saline soil,alkali saline soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Water in pipe,Host,Water in pipe,water in pipe,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
Water from a lake,Host,Water from a lake,water from a lake,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
red meat,Host,red meat,red meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
beef offal or meat,Host,beef offal or meat,beef offal or meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Meat unspecified,Host,Meat unspecified,meat unspecified,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Plant and soil,Host,Plant and soil,plant and soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
waste water effluent,Host,waste water effluent,waste water effluent,Environment_Medium_SD,wastewater,wastewater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: wastewater source.
Soil (polluted),Host,Soil (polluted),soil polluted,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
rhizospheric soil of Cistus ladanifer L.,Host,rhizospheric soil of Cistus ladanifer L.,rhizospheric soil of cistus ladanifer l,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Torreya grandis soil,Host,Torreya grandis soil,torreya grandis soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Meat (Mutton),Host,Meat (Mutton),meat mutton,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Environmental surface,Host,Environmental surface,environmental surface,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Water Hyacinth,Host,Water Hyacinth,water hyacinth,Isolation_Source_SD,plant-associated material,plant-associated material,plant-associated material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: aquatic plant/source material.
Soil Kebili,Host,Soil Kebili,soil kebili,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Soil in tiger area of zoo,Host,Soil in tiger area of zoo,soil in tiger area of zoo,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Zoo anteater area soil,Host,Zoo anteater area soil,zoo anteater area soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Soil Gabes,Host,Soil Gabes,soil gabes,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
sow feces,Host,sow feces,sow feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: feces/stool material.
Food Crop,Host,Food Crop,food crop,Isolation_Source_SD,food/food product,food/food product,food,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: food source.
Food Material,Host,Food Material,food material,Isolation_Source_SD,food/food product,food/food product,food,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: food source.
broad-scale environmental context,Host,broad-scale environmental context,broad scale environmental context,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
fresh water green algae,Host,fresh water green algae,fresh water green algae,Environment_Medium_SD,freshwater,freshwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: freshwater source.
Soil in kangaroo area of zoo,Host,Soil in kangaroo area of zoo,soil in kangaroo area of zoo,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Aquatic environment,Host,Aquatic environment,aquatic environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Hanam-si wastewater treatment,Host,Hanam-si wastewater treatment,hanam si wastewater treatment,Environment_Medium_SD,wastewater,wastewater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: wastewater source.
stool sample from asymptomatic human participant,Isolation Source,stool sample from asymptomatic human participant,stool sample from asymptomatic human participant,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
saline sediment environment,Environment (Local Scale),saline sediment environment,saline sediment environment,Environment_Medium_SD,sediment,sediment,sediment,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
feces from domestic chicken,Isolation Source,feces from domestic chicken,feces from domestic chicken,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
hospital biome,Environment Medium,hospital biome,hospital biome,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare facility,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: healthcare-associated location
feces dairy cow,Isolation Source,feces dairy cow,feces dairy cow,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,Environment (Local Scale),anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
brachypodium rhizosphere enrichment,Environment (Local Scale),brachypodium rhizosphere enrichment,brachypodium rhizosphere enrichment,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
hypersaline pond,Environment Medium,hypersaline pond,hypersaline pond,Environment_Medium_SD,pond water,pond water,pond water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
lake washington,Isolation Site,lake washington,lake washington,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
feces of homo sapiens,Isolation Source,feces of homo sapiens,feces of homo sapiens,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
urine colonization,Host Disease,urine colonization,urine colonization,Sample_Type_SD,urine,urine,urine,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: clinical material
stool sample from patient with hemolytic uremic syndrome,Isolation Source,stool sample from patient with hemolytic uremic syndrome,stool sample from patient with hemolytic uremic syndrome,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
stool sample from septic human participant,Isolation Source,stool sample from septic human participant,stool sample from septic human participant,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
pond,Environment Medium,pond,pond,Environment_Medium_SD,pond water,pond water,pond water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
saline lake,Sample Type,saline lake,saline lake,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
plant rhizosphere,Environment (Local Scale),plant rhizosphere,plant rhizosphere,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
rhizosphere envo 00005801,Environment (Local Scale),rhizosphere envo 00005801,rhizosphere envo 00005801,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
mature fine tailings from oil sands tailings pond,Environment Medium,mature fine tailings from oil sands tailings pond,mature fine tailings from oil sands tailings pond,Environment_Medium_SD,pond water,pond water,pond water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
sakinaw lake,Isolation Site,sakinaw lake,sakinaw lake,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
rhizosphere of pinus,Environment (Local Scale),rhizosphere of pinus,rhizosphere of pinus,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
feces from bloody feces of infected patient,Isolation Source,feces from bloody feces of infected patient,feces from bloody feces of infected patient,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cattle fecal matter,Isolation Source,cattle fecal matter,cattle fecal matter,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cow pasture fecal,Isolation Source,cow pasture fecal,cow pasture fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal steer,Isolation Source,fecal steer,fecal steer,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
human feces of different individuals,Isolation Source,human feces of different individuals,human feces of different individuals,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cattle fecal,Isolation Source,cattle fecal,cattle fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
chicken blood,Isolation Source,chicken blood,chicken blood,Sample_Type_SD,blood,blood,blood,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: clinical material
fecal sample from patient,Isolation Source,fecal sample from patient,fecal sample from patient,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cow fecal,Isolation Source,cow fecal,cow fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
