synonym,decision,note
Environmental-turtle tank water,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Poultry-Environmental,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Chicken slaughterhouse environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
broiler environment - boot sock,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Environmental surface sponge,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Duck Pemise. Environmental drag booties from the duck barn floor,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental clean incubator pheasant barn,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental-quail,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Environment feeding stuffs plant,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
bovine environmental plant leaves,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
avian environmental incubator,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
"Animal Feed, Environment, Feed Mill",non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental porcine,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Lab bacteria culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
Environment sponge from processin plant,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Processing environment sponge from retailer,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Bacteria Culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
environment contaminated by Homo sapiens patients,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
non mosquito Diptera environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Mushroom environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Dairy plant (environmental),non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental sponges,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Plant-associated environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environment of live poultry market,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
animal-associated environment [ENVO:01001002],non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
