synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
environment of equine clinic,Host,environment of equine clinic,environment of equine clinic,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: healthcare environment.
"Environment, animals",Host,"Environment, animals",environment animals,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Dog Environment,Host,Dog Environment,dog environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental avian,Host,environmental avian,environmental avian,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,Host,biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,biofilm non axenic culture containing capilliphycus salinus and associated bacteria,Environment_Medium_SD,biofilm,biofilm,biofilm,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: biofilm source.
turkey environmental,Host,turkey environmental,turkey environmental,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Pig Special Project (Sampling of Livestock and Poultry Environment),Host,Pig Special Project (Sampling of Livestock and Poultry Environment),pig special project sampling of livestock and poultry environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
equine hospital environmental,Host,equine hospital environmental,equine hospital environmental,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: healthcare environment.
pigeon farm environment,Host,pigeon farm environment,pigeon farm environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental turtle tank,Host,environmental turtle tank,environmental turtle tank,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental-chicken,Host,environmental-chicken,environmental chicken,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
equine environment,Host,equine environment,equine environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental feline,Host,environmental feline,environmental feline,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
"Environment, poultry farm",Host,"Environment, poultry farm",environment poultry farm,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environment corn silage,Host,environment corn silage,environment corn silage,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
"Environment, poultry barn",Host,"Environment, poultry barn",environment poultry barn,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Avian Environment,Host,Avian Environment,avian environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
bacteria cells (from culture that grew from a isolated colony),Host,bacteria cells (from culture that grew from a isolated colony),bacteria cells from culture that grew from a isolated colony,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
Pure culture of Gram (+) bacteria,Host,Pure culture of Gram (+) bacteria,pure culture of gram bacteria,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
a piece of sunken bamboo in the marine environment,Host,a piece of sunken bamboo in the marine environment,a piece of sunken bamboo in the marine environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environmental-turtle tank water,Host,Environmental-turtle tank water,environmental turtle tank water,Environment_Medium_SD,water,water,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: water source.
Poultry-Environmental,Host,Poultry-Environmental,poultry environmental,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Chicken slaughterhouse environment,Host,Chicken slaughterhouse environment,chicken slaughterhouse environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
broiler environment - boot sock,Host,broiler environment - boot sock,broiler environment boot sock,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environmental surface sponge,Host,Environmental surface sponge,environmental surface sponge,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Duck Pemise. Environmental drag booties from the duck barn floor,Host,Duck Pemise. Environmental drag booties from the duck barn floor,duck pemise environmental drag booties from the duck barn floor,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental clean incubator pheasant barn,Host,environmental clean incubator pheasant barn,environmental clean incubator pheasant barn,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental-quail,Host,environmental-quail,environmental quail,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environment feeding stuffs plant,Host,Environment feeding stuffs plant,environment feeding stuffs plant,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
bovine environmental plant leaves,Host,bovine environmental plant leaves,bovine environmental plant leaves,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
avian environmental incubator,Host,avian environmental incubator,avian environmental incubator,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
"Animal Feed, Environment, Feed Mill",Host,"Animal Feed, Environment, Feed Mill",animal feed environment feed mill,Isolation_Source_SD,food-processing environment,food-processing environment,food-processing environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: food/processing environment.
environmental porcine,Host,environmental porcine,environmental porcine,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Lab bacteria culture,Host,Lab bacteria culture,lab bacteria culture,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
Environment sponge from processin plant,Host,Environment sponge from processin plant,environment sponge from processin plant,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Processing environment sponge from retailer,Host,Processing environment sponge from retailer,processing environment sponge from retailer,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environment contaminated by Homo sapiens patients,Host,environment contaminated by Homo sapiens patients,environment contaminated by homo sapiens patients,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
non mosquito Diptera environment,Host,non mosquito Diptera environment,non mosquito diptera environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Mushroom environment,Host,Mushroom environment,mushroom environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Dairy plant (environmental),Host,Dairy plant (environmental),dairy plant environmental,Isolation_Source_SD,food-processing environment,food-processing environment,food-processing environment,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: food/processing environment.
environmental sponges,Host,environmental sponges,environmental sponges,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Plant-associated environment,Host,Plant-associated environment,plant associated environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environment of live poultry market,Host,environment of live poultry market,environment of live poultry market,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
animal-associated environment [ENVO:01001002],Host,animal-associated environment [ENVO:01001002],animal associated environment envo 01001002,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
