current_field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	affected_assignments	additive_destinations	remove_from_current_field	action_class	confidence	rationale	source_flags
Isolation_Source_SD_Broad	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	9023	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Source_SD	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	9021	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Sample_Type_SD	laboratory	environment_local_scale		environment_local_scale:local environmental or facility feature	8034	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	laboratory environment	environment_local_scale	environment_broad_scale	environment_local_scale:local environmental or facility feature|environment_broad_scale:broad environmental setting	8034	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD_Broad	water	environment_medium		environment_medium:environmental medium	7606	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Health_State_SD	patient	host_context		host_context:patient/human clinical subject	7540	Host_Context_SD	true	confirmed_high_confidence_fix	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	non_health_values_in_host_health_state
Sample_Type_SD	stream	environment_local_scale		environment_local_scale:local environmental or facility feature	5416	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	pure/single culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:pure/single culture	5271	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Isolation_Site_SD	cerebrospinal fluid	anatomical_material	sample_material	sample_material:cerebrospinal fluid|anatomical_material:host anatomical material	5264	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	confirmed_high_confidence_fix	high	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD	mixed culture	sample_entity	sample_processing	sample_entity:mixed culture|sample_processing:mixed culture	4790	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	bacterial culture	sample_entity	sample_processing	sample_entity:bacterial culture|sample_processing:cultured	4744	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Host_Disease_SD	healthy/no disease reported	health_state		health_state:healthy/no disease reported	4589	Host_Health_State_SD	true	confirmed_high_confidence_fix	high	Host_Disease_SD should contain named diseases or defensible disease classes only.	non_disease_values_in_host_disease
Isolation_Site_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	4577	Sample_Material_SD|Sample_Type_SD|Environment_Medium_SD	true	confirmed_high_confidence_fix	high	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale		environment_broad_scale:broad environmental setting	4379	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD_Broad	plant-associated material	host_context		host_context:host-associated context	4349	Host_Context_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	drainage	unresolved		unresolved:no deterministic semantic component	4174	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	4019	Sample_Material_SD|Environment_Medium_SD	false	composite_requires_split	high	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	environment_values_in_sample_type
Sample_Type_SD_Broad	agricultural fecal material	unresolved		unresolved:no deterministic semantic component	4019	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	cold seep	unresolved		unresolved:no deterministic semantic component	3866	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	farm	environment_local_scale		environment_local_scale:farm	3734	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	surface/sample collection material	environment_local_scale		environment_local_scale:local environmental or facility feature	3554	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD_Broad	built environment	environment_broad_scale		environment_broad_scale:broad environmental setting	2990	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	deep-sea hydrothermal deposit	unresolved		unresolved:no deterministic semantic component	2894	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD	urine	sample_material		sample_material:physical specimen/material	2891	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Sample_Type_SD_Broad	wastewater/sewage	environment_medium		environment_medium:environmental medium	2786	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	broiler	host_context	production_context	production_context:broiler production context|host_context:poultry	2751	Host_Context_SD|Host_Production_Context_SD	false	composite_requires_split	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Site_SD	pus	anatomical_material	sample_material	sample_material:pus/purulent material|anatomical_material:host anatomical material	2645	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	confirmed_high_confidence_fix	high	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site
Sample_Type_SD_Broad	medical device	unresolved		unresolved:no deterministic semantic component	2137	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Site_SD	plant-associated material	host_context		host_context:host-associated context	2016	Host_Context_SD	true	confirmed_high_confidence_fix	high	Isolation_Site_SD should contain anatomical sites or plant parts only.	non_site_values_in_isolation_site
Sample_Type_SD	enrichment culture	sample_entity	sample_processing	sample_entity:enrichment culture|sample_processing:enrichment	1973	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	secretion	unresolved		unresolved:no deterministic semantic component	1917	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	spore release material	unresolved		unresolved:no deterministic semantic component	1793	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	DNA extract	sample_material	sample_processing	sample_material:molecular extract|sample_processing:DNA extraction	1792	Sample_Material_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	cave biofilm	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	1716	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	drain	environment_local_scale		environment_local_scale:drain	1546	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	anaerobic digester	unresolved		unresolved:no deterministic semantic component	1532	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD_Broad	wastewater/organic waste	environment_medium		environment_medium:environmental medium	1532	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	skin/body-surface swab	collection_device	anatomical_site|environment_local_scale	collection_device:collection device|anatomical_site:anatomical site or plant part|environment_local_scale:local environmental or facility feature	1517	Sample_Collection_Device_SD|Host_Anatomical_Site_SD|Isolation_Site_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	environment_values_in_sample_type
Sample_Type_SD	nodule	unresolved		unresolved:no deterministic semantic component	1462	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	sink	environment_local_scale		environment_local_scale:sink	1323	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	saline water	environment_medium		environment_medium:environmental medium	1316	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	ice core section from central arctic ocean	unresolved		unresolved:no deterministic semantic component	1201	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	hospital wastewater	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	1185	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Host_Health_State_SD	hospitalized	hospitalization_status		hospitalization_status:hospitalized	1183	Host_Hospitalization_Status_SD	true	confirmed_high_confidence_fix	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	care_setting_values_in_health_state|non_health_values_in_host_health_state
Sample_Type_SD	bloodstream	unresolved		unresolved:no deterministic semantic component	1123	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Health_State_SD	healthy/control	health_state	study_group	health_state:healthy|study_group:control group	1077	Host_Study_Group_SD	false	composite_requires_split	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	non_health_values_in_host_health_state|study_group_values_in_health_state
Host_Disease_SD	diseased	health_state		health_state:diseased	1071	Host_Health_State_SD	true	confirmed_high_confidence_fix	high	Host_Disease_SD should contain named diseases or defensible disease classes only.	non_disease_values_in_host_disease
Sample_Type_SD	core	unresolved		unresolved:no deterministic semantic component	1049	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	1041	Sample_Entity_SD|Sample_Type_SD|Sample_Processing_SD	false	composite_requires_split	high	Broad source category is a legacy umbrella or decomposition candidate; document before migration.	ambiguous_broad_source_categories
Sample_Type_SD	microbial culture	sample_entity	sample_processing	sample_entity:microbial culture|sample_processing:cultured	957	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	rectovaginal site	unresolved		unresolved:no deterministic semantic component	933	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Health_State_SD	carrier	colonization_status		colonization_status:carrier	922	Host_Colonization_Status_SD	true	confirmed_high_confidence_fix	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	colonization_values_in_health_state|non_health_values_in_host_health_state
Sample_Type_SD	hospital sewage	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	913	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	salmon	unresolved		unresolved:no deterministic semantic component	878	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	terrestrial environment	environment_broad_scale		environment_broad_scale:broad environmental setting	845	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	long-term care facility	environment_local_scale	care_setting	care_setting:care setting|environment_local_scale:local environmental or facility feature	841	Environment_Local_Scale_SD|Host_Care_Setting_SD	false	composite_requires_split	medium	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD_Broad	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	841	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	leaves	unresolved		unresolved:no deterministic semantic component	819	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	surface layer	environment_local_scale		environment_local_scale:local environmental or facility feature	797	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	produced fluids from hydraulically fractured shales	unresolved		unresolved:no deterministic semantic component	782	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	glacier	unresolved		unresolved:no deterministic semantic component	736	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	anaerobic bioreactor effluent	unresolved		unresolved:no deterministic semantic component	688	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	gill	unresolved		unresolved:no deterministic semantic component	665	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	dairy farm	food_commodity	environment_local_scale	food_commodity:food or commodity context|environment_local_scale:local environmental or facility feature	645	Isolation_Source_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	environment_values_in_sample_type
Sample_Type_SD	ice cream	unresolved		unresolved:no deterministic semantic component	605	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	potato	unresolved		unresolved:no deterministic semantic component	596	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	wood	unresolved		unresolved:no deterministic semantic component	582	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	deciduous forest	unresolved		unresolved:no deterministic semantic component	570	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	enoki mushroom	unresolved		unresolved:no deterministic semantic component	522	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	kratom	unresolved		unresolved:no deterministic semantic component	520	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Health_State_SD	non-hospitalized	hospitalization_status		hospitalization_status:not hospitalized	497	Host_Hospitalization_Status_SD	true	confirmed_high_confidence_fix	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	care_setting_values_in_health_state|non_health_values_in_host_health_state
Sample_Type_SD	ready-to-eat product	unresolved		unresolved:no deterministic semantic component	497	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	cubital fossa	anatomical_site		anatomical_site:anatomical site or plant part	487	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	dental plaque	unresolved		unresolved:no deterministic semantic component	423	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	ascites	unresolved		unresolved:no deterministic semantic component	417	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	intestinal epithelial cells	unresolved		unresolved:no deterministic semantic component	411	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	fluff/lint material	unresolved		unresolved:no deterministic semantic component	384	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	wildlife	unresolved		unresolved:no deterministic semantic component	371	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	343	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split	medium	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Source_SD_Broad	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	343	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split	medium	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Sample_Type_SD	lettuce	unresolved		unresolved:no deterministic semantic component	313	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	peanut butter	unresolved		unresolved:no deterministic semantic component	290	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Health_State_SD	dead	vital_status		vital_status:deceased	289	Host_Vital_Status_SD	true	confirmed_high_confidence_fix	high	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	non_health_values_in_host_health_state|vital_status_values_in_health_state
Sample_Type_SD	endovascular	unresolved		unresolved:no deterministic semantic component	271	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	tree nut	unresolved		unresolved:no deterministic semantic component	268	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	spinach	unresolved		unresolved:no deterministic semantic component	256	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	root	anatomical_site		anatomical_site:anatomical site or plant part	237	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	tomato	unresolved		unresolved:no deterministic semantic component	219	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	catfish product	unresolved		unresolved:no deterministic semantic component	200	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	avocado	unresolved		unresolved:no deterministic semantic component	178	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	culture/isolate	sample_entity	sample_processing	sample_entity:sample entity or biological material form|sample_processing:processing or molecular preparation	158	Sample_Entity_SD|Sample_Type_SD|Sample_Processing_SD	false	composite_requires_split	medium	Broad source category is a legacy umbrella or decomposition candidate; document before migration.	ambiguous_broad_source_categories
Sample_Type_SD	cantaloupe	unresolved		unresolved:no deterministic semantic component	125	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD	milk	sample_material		sample_material:physical specimen/material	123	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Sample_Type_SD	kimchi	unresolved		unresolved:no deterministic semantic component	122	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	cleanroom floor	environment_local_scale		environment_local_scale:local environmental or facility feature	121	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Host_Health_State_SD	exposure/contact context	unresolved		unresolved:no deterministic semantic component	95	admin_review	false	classifier_uncertain	low	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	non_health_values_in_host_health_state
Sample_Type_SD	cucumber	unresolved		unresolved:no deterministic semantic component	86	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD	caeca content	sample_material		sample_material:physical specimen/material	80	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Sample_Type_SD	estuary	unresolved		unresolved:no deterministic semantic component	77	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	probiotic product	unresolved		unresolved:no deterministic semantic component	77	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Source_SD	Broncho-alveolar lavage	sample_material	collection_method	collection_method:collection method|sample_material:physical specimen/material	72	Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	false	composite_requires_split	medium	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Sample_Type_SD	grain product	unresolved		unresolved:no deterministic semantic component	72	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
